訓練日期,20181011 - 20190115
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11281303.329999998211861
真實報酬,1281303.329999998211861

夏普值報酬,0.119430333000000
夏普值風險,0.036109808260895
夏普值,3.307420857433216

預期報酬,30391.130229861722910
風險,490128.529109350405633
趨勢值,0.062006450196008
找到最佳解世代,2159
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](2),PG[21](1),
Stock#,MRK[17](2),PG[21](1),
張數,73131,63395,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,33.529999999329448,36.349999999627471,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5105308.639999999664724,5012045.049999999813735,10117353.689999999478459
FS( 3 ),5079712.789999999105930,5079877.699999999254942,10159590.489999998360872
FS( 4 ),5208423.349999999627471,5135665.299999999813735,10344088.649999998509884
FS( 5 ),5252301.949999999254942,5189551.049999999813735,10441853.000000000000000
FS( 6 ),5280823.039999999105930,5086851.149999999441206,10367674.189999997615814
FS( 7 ),5291061.379999998956919,5534419.849999999627471,10825481.229999998584390
FS( 8 ),5307150.199999999254942,5490043.349999999627471,10797193.549999998882413
FS( 9 ),5272778.629999998956919,5525544.549999999813735,10798323.179999999701977
FS( 10 ),5158694.269999999552965,5671353.049999998882413,10830047.319999998435378
FS( 11 ),5116278.289999999105930,5642191.349999999627471,10758469.639999998733401
FS( 12 ),5148455.929999999701977,5569921.049999999813735,10718376.980000000447035
FS( 13 ),5225243.479999999515712,5594011.149999999441206,10819254.629999998956919
FS( 14 ),5329089.500000000000000,5654236.399999999441206,10983325.899999998509884
FS( 15 ),5383206.439999999478459,5621904.950000000186265,11005111.390000000596046
FS( 16 ),5347372.250000000000000,5679594.399999999441206,11026966.649999998509884
FS( 17 ),5285210.899999999441206,5693541.299999999813735,10978752.199999999254942
FS( 18 ),5347372.250000000000000,5781660.349999999627471,11129032.599999999627471
FS( 19 ),5361267.139999999664724,5801312.799999999813735,11162579.939999999478459
FS( 20 ),5490709.009999998845160,5787365.900000000372529,11278074.910000000149012
FS( 21 ),5519961.409999999217689,5791803.549999999813735,11311764.959999999031425
FS( 22 ),5474620.189999999478459,5858368.299999999813735,11332988.489999998360872
FS( 23 ),5462187.919999998994172,5876752.849999999627471,11338940.769999999552965
FS( 24 ),5456337.439999999478459,5925567.000000000000000,11381904.439999999478459
FS( 25 ),5418309.319999999366701,5926834.899999999441206,11345144.219999998807907
FS( 26 ),5473157.569999999366701,5948389.199999999254942,11421546.769999999552965
FS( 27 ),5562377.389999999664724,5947755.249999999068677,11510132.639999998733401
FS( 28 ),5583585.379999998956919,5914155.900000000372529,11497741.279999999329448
FS( 29 ),5468769.709999999031425,5838715.849999999627471,11307485.559999998658895
FS( 30 ),5469501.019999999552965,5794973.299999999813735,11264474.320000000298023
FS( 31 ),5460725.299999999813735,5803214.650000000372529,11263939.949999999254942
FS( 32 ),5517036.169999998994172,5828572.649999999441206,11345608.819999998435378
FS( 33 ),5582854.069999999366701,5878020.750000000000000,11460874.820000000298023
FS( 34 ),5647940.659999999217689,5896405.299999999813735,11544345.959999999031425
FS( 35 ),5697669.739999999292195,5884360.249999999068677,11582029.989999998360872
FS( 36 ),5802247.069999999366701,5991497.799999999813735,11793744.869999999180436
FS( 37 ),5793471.349999999627471,5916057.749999999068677,11709529.099999997764826
FS( 38 ),5719609.039999999105930,5915423.799999999813735,11635032.839999999850988
FS( 39 ),5731310.000000000000000,5930638.599999999627471,11661948.599999999627471
FS( 40 ),5610643.849999999627471,5860904.099999999627471,11471547.949999999254942
FS( 41 ),5661835.549999999813735,5897673.199999999254942,11559508.750000000000000
FS( 42 ),5639164.939999999478459,5953460.799999999813735,11592625.739999998360872
FS( 43 ),5704982.839999999850988,5961068.199999999254942,11666051.039999999105930
FS( 44 ),5778113.839999999850988,6117019.899999999441206,11895133.739999998360872
FS( 45 ),5593092.409999999217689,6126529.149999999441206,11719621.559999998658895
FS( 46 ),5501678.659999999217689,5881190.499999999068677,11382869.159999998286366
FS( 47 ),5435860.759999998845160,5863439.899999999441206,11299300.659999998286366
FS( 48 ),5394907.399999999441206,5817161.549999999813735,11212068.949999999254942
FS( 49 ),5374430.719999998807907,5767713.450000000186265,11142144.169999998062849
FS( 50 ),5331283.429999999701977,5767079.500000000000000,11098362.929999999701977
FS( 51 ),5203304.179999999701977,5538223.549999999813735,10741527.730000000447035
FS( 52 ),5411727.529999999329448,5711291.899999999441206,11123019.429999999701977
FS( 53 ),5512648.309999998658895,5833644.249999999068677,11346292.559999998658895
FS( 54 ),5511917.000000000000000,5780392.450000000186265,11292309.449999999254942
FS( 55 ),5587973.239999999292195,5827304.750000000000000,11415277.989999998360872
FS( 56 ),5528005.819999999366701,5786731.949999999254942,11314737.769999999552965
FS( 57 ),5414652.769999999552965,5746159.149999999441206,11160811.919999998062849
FS( 58 ),5577734.899999999441206,5863439.899999999441206,11441174.799999998882413
FS( 59 ),5516304.859999999403954,5839983.750000000000000,11356288.609999999403954
FS( 60 ),5557258.219999998807907,5861538.049999998882413,11418796.269999997690320
FS( 61 ),5514842.239999999292195,5765811.599999999627471,11280653.839999999850988
FS( 62 ),5446830.409999999217689,5779758.500000000000000,11226588.910000000149012
FS( 63 ),5477545.429999999701977,5817795.499999999068677,11295340.929999999701977
FS( 64 ),5365655.000000000000000,5778490.599999999627471,11144145.599999999627471
FS( 65 ),5448293.029999999329448,5833010.299999999813735,11281303.329999998211861
