訓練日期,20100414 - 20100715
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10233618.000000000000000
真實報酬,233618.000000000000000

夏普值報酬,0.014661800000000
夏普值風險,0.035617958147533
夏普值,0.411640665623486

預期報酬,10485.561009982386167
風險,408405.883005273353774
趨勢值,0.025674363289833
找到最佳解世代,2350
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,284900,
分配資金,10000000.000000000000000,
剩餘資金,10.000000000000000,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10131054.000000000000000,10131054.000000000000000
FS( 3 ),10068376.000000001862645,10068376.000000001862645
FS( 4 ),10056980.000000000000000,10056980.000000000000000
FS( 5 ),9954416.000000000000000,9954416.000000000000000
FS( 6 ),10549857.000000000000000,10549857.000000000000000
FS( 7 ),10846153.000000000000000,10846153.000000000000000
FS( 8 ),11022791.000000000000000,11022791.000000000000000
FS( 9 ),10968660.000000000000000,10968660.000000000000000
FS( 10 ),10663817.000000000000000,10663817.000000000000000
FS( 11 ),10646723.000000000000000,10646723.000000000000000
FS( 12 ),10934472.000000000000000,10934472.000000000000000
FS( 13 ),10626780.000000000000000,10626780.000000000000000
FS( 14 ),10840455.000000000000000,10840455.000000000000000
FS( 15 ),10527065.000000000000000,10527065.000000000000000
FS( 16 ),10418803.000000000000000,10418803.000000000000000
FS( 17 ),10022792.000000000000000,10022792.000000000000000
FS( 18 ),9598291.000000000000000,9598291.000000000000000
FS( 19 ),10336182.000000000000000,10336182.000000000000000
FS( 20 ),10441595.000000000000000,10441595.000000000000000
FS( 21 ),10666666.000000000000000,10666666.000000000000000
FS( 22 ),10515668.999999998137355,10515668.999999998137355
FS( 23 ),10330484.000000000000000,10330484.000000000000000
FS( 24 ),10347578.000000000000000,10347578.000000000000000
FS( 25 ),10270655.000000000000000,10270655.000000000000000
FS( 26 ),10108262.000000000000000,10108262.000000000000000
FS( 27 ),9678063.000000000000000,9678063.000000000000000
FS( 28 ),9863248.000000000000000,9863248.000000000000000
FS( 29 ),10042735.000000000000000,10042735.000000000000000
FS( 30 ),9980057.000000000000000,9980057.000000000000000
FS( 31 ),9934473.000000000000000,9934473.000000000000000
FS( 32 ),10310541.000000000000000,10310541.000000000000000
FS( 33 ),10455840.000000000000000,10455840.000000000000000
FS( 34 ),10615384.000000000000000,10615384.000000000000000
FS( 35 ),10743589.000000000000000,10743589.000000000000000
FS( 36 ),10709401.000000001862645,10709401.000000001862645
FS( 37 ),10418803.000000000000000,10418803.000000000000000
FS( 38 ),10213675.000000000000000,10213675.000000000000000
FS( 39 ),10148148.000000000000000,10148148.000000000000000
FS( 40 ),9897436.000000000000000,9897436.000000000000000
FS( 41 ),10196581.000000000000000,10196581.000000000000000
FS( 42 ),10319088.000000000000000,10319088.000000000000000
FS( 43 ),10350427.000000000000000,10350427.000000000000000
FS( 44 ),10569800.000000000000000,10569800.000000000000000
FS( 45 ),10877492.000000000000000,10877492.000000000000000
FS( 46 ),11065526.000000001862645,11065526.000000001862645
FS( 47 ),11153845.000000000000000,11153845.000000000000000
FS( 48 ),10997150.000000000000000,10997150.000000000000000
FS( 49 ),11145298.000000000000000,11145298.000000000000000
FS( 50 ),11028489.000000000000000,11028489.000000000000000
FS( 51 ),10948717.000000000000000,10948717.000000000000000
FS( 52 ),10854700.000000000000000,10854700.000000000000000
FS( 53 ),10920227.000000000000000,10920227.000000000000000
FS( 54 ),10427350.000000000000000,10427350.000000000000000
FS( 55 ),10236467.000000000000000,10236467.000000000000000
FS( 56 ),10113960.000000000000000,10113960.000000000000000
FS( 57 ),10051282.000000000000000,10051282.000000000000000
FS( 58 ),10119658.000000000000000,10119658.000000000000000
FS( 59 ),10527065.000000000000000,10527065.000000000000000
FS( 60 ),10504273.000000000000000,10504273.000000000000000
FS( 61 ),10566951.000000001862645,10566951.000000001862645
FS( 62 ),10472934.000000000000000,10472934.000000000000000
FS( 63 ),10247863.000000000000000,10247863.000000000000000
FS( 64 ),10284900.000000000000000,10284900.000000000000000
FS( 65 ),10233618.000000000000000,10233618.000000000000000
