訓練日期,20181026 - 20190131
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11277020.369999999180436
真實報酬,1277020.369999999180436

夏普值報酬,0.119002037000000
夏普值風險,0.026523640864043
夏普值,4.486640337576216

預期報酬,19284.719735119841062
風險,373725.910889451915864
趨勢值,0.051601238162008
找到最佳解世代,2384
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
CAT[3](1),PG[21](2),
Stock#,CAT[3](1),PG[21](2),
張數,43459,56908,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,42.049999999813735,63.120000000111759,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4953498.870000000111759,5021625.040000000037253,9975123.910000000149012
FS( 3 ),5104736.189999999478459,5075687.639999999664724,10180423.829999998211861
FS( 4 ),5272487.929999999701977,5046664.560000000521541,10319152.490000000223517
FS( 5 ),5419379.349999999627471,5098450.839999999850988,10517830.189999999478459
FS( 6 ),5466749.660000000149012,5110970.600000000558794,10577720.260000001639128
FS( 7 ),5493694.239999999292195,5190072.720000000670552,10683766.960000000894070
FS( 8 ),5620594.520000000484288,5207714.200000000186265,10828308.720000000670552
FS( 9 ),5871352.949999999254942,5195194.440000000409782,11066547.390000000596046
FS( 10 ),5710120.059999999590218,5199178.000000000000000,10909298.059999998658895
FS( 11 ),5515423.739999999292195,5258931.400000000372529,10774355.140000000596046
FS( 12 ),5432417.049999999813735,5275434.720000000670552,10707851.769999999552965
FS( 13 ),5474137.689999999478459,5319253.879999999888241,10793391.570000000298023
FS( 14 ),5436762.949999999254942,5320392.040000000037253,10757154.989999998360872
FS( 15 ),5624505.829999999143183,5339740.759999999776483,10964246.589999999850988
FS( 16 ),5647973.690000000409782,5339171.679999999701977,10987145.370000001043081
FS( 17 ),5475006.870000000111759,5309010.440000000409782,10784017.310000000521541
FS( 18 ),5313773.979999999515712,5241289.919999999925494,10555063.899999998509884
FS( 19 ),5383308.379999999888241,5202023.400000000372529,10585331.780000001192093
FS( 20 ),5315946.929999999701977,5209421.440000000409782,10525368.370000001043081
FS( 21 ),5423725.250000000000000,5232184.639999999664724,10655909.890000000596046
FS( 22 ),5415033.449999999254942,5276572.879999999888241,10691606.329999998211861
FS( 23 ),5683175.480000000447035,5293076.200000000186265,10976251.679999999701977
FS( 24 ),5659707.619999999180436,5282263.679999999701977,10941971.299999998882413
FS( 25 ),5896124.579999999143183,5378438.200000000186265,11274562.779999999329448
FS( 26 ),6038670.099999999627471,5310717.679999999701977,11349387.779999999329448
FS( 27 ),5620159.929999999701977,5310148.600000000558794,10930308.530000001192093
FS( 28 ),5578873.879999999888241,5323806.519999999552965,10902680.399999998509884
FS( 29 ),5369401.500000000000000,5261207.720000000670552,10630609.220000000670552
FS( 30 ),5362448.059999999590218,5294214.360000000335276,10656662.419999999925494
FS( 31 ),5355929.209999999962747,5344293.400000000372529,10700222.609999999403954
FS( 32 ),5448496.879999999888241,5351122.360000000335276,10799619.240000000223517
FS( 33 ),5471530.150000000372529,5491116.040000000037253,10962646.190000001341105
FS( 34 ),5509339.479999999515712,5499652.240000000223517,11008991.719999998807907
FS( 35 ),5409383.779999999329448,5279418.280000000260770,10688802.059999998658895
FS( 36 ),5400691.979999999515712,5263484.040000000037253,10664176.019999999552965
FS( 37 ),5316381.519999999552965,5221941.200000000186265,10538322.719999998807907
FS( 38 ),5282483.500000000000000,5177552.959999999962747,10460036.460000000894070
FS( 39 ),5218164.179999999701977,5176983.879999999888241,10395148.059999998658895
FS( 40 ),5082572.099999999627471,4971546.000000000000000,10054118.099999999627471
FS( 41 ),5421986.889999999664724,5126904.839999999850988,10548891.730000000447035
FS( 42 ),5504993.580000000074506,5236737.280000000260770,10741730.859999999403954
FS( 43 ),5458927.040000000037253,5188934.560000000521541,10647861.600000001490116
FS( 44 ),5522377.179999999701977,5231046.480000000447035,10753423.660000000149012
FS( 45 ),5492390.469999999739230,5194625.360000000335276,10687015.830000000074506
FS( 46 ),5280745.139999999664724,5158204.240000000223517,10438949.379999998956919
FS( 47 ),5569312.900000000372529,5263484.040000000037253,10832796.940000001341105
FS( 48 ),5572789.619999999180436,5242428.080000000074506,10815217.699999999254942
FS( 49 ),5639716.480000000447035,5261776.799999999813735,10901493.280000001192093
FS( 50 ),5661445.980000000447035,5175845.720000000670552,10837291.700000001117587
FS( 51 ),5778350.690000000409782,5188365.480000000447035,10966716.170000001788139
FS( 52 ),5740975.949999999254942,5222510.280000000260770,10963486.230000000447035
FS( 53 ),5727938.250000000000000,5187227.320000000298023,10915165.570000000298023
FS( 54 ),5679698.759999999776483,5236168.200000000186265,10915866.960000000894070
FS( 55 ),5721853.989999999292195,5199747.080000000074506,10921601.070000000298023
FS( 56 ),5847015.909999999217689,5158204.240000000223517,11005220.149999998509884
FS( 57 ),5936541.449999999254942,5202592.480000000447035,11139133.929999999701977
FS( 58 ),5747060.209999999962747,5146822.639999999664724,10893882.849999999627471
FS( 59 ),5728807.429999999701977,5397217.839999999850988,11126025.269999999552965
FS( 60 ),5768355.119999999180436,5366487.519999999552965,11134842.639999998733401
FS( 61 ),5947840.790000000037253,5326651.919999999925494,11274492.710000000894070
FS( 62 ),5405037.879999999888241,5322099.280000000260770,10727137.160000000149012
FS( 63 ),5498909.320000000298023,5323237.440000000409782,10822146.760000001639128
FS( 64 ),5654492.540000000037253,5379007.280000000260770,11033499.820000000298023
FS( 65 ),5787042.489999999292195,5489977.879999999888241,11277020.369999999180436
