訓練日期,20100305 - 20100607
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11460997.009999999776483
真實報酬,1460997.009999999776483

夏普值報酬,0.137399701000000
夏普值風險,0.059329274027330
夏普值,2.315883739563478

預期報酬,33388.284335877840931
風險,451283.963657128624618
趨勢值,0.073985089266866
找到最佳解世代,2035
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,319693,
分配資金,10000000.000000000000000,
剩餘資金,2.959999999031425,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10006393.859999999403954,10006393.859999999403954
FS( 3 ),10185421.939999999478459,10185421.939999999478459
FS( 4 ),10268542.119999997317791,10268542.119999997317791
FS( 5 ),10297314.490000000223517,10297314.490000000223517
FS( 6 ),10348465.369999997317791,10348465.369999997317791
FS( 7 ),10223785.099999999627471,10223785.099999999627471
FS( 8 ),10249360.539999999105930,10249360.539999999105930
FS( 9 ),10236572.820000000298023,10236572.820000000298023
FS( 10 ),10258951.330000000074506,10258951.330000000074506
FS( 11 ),10150255.709999999031425,10150255.709999999031425
FS( 12 ),10265345.189999999478459,10265345.189999999478459
FS( 13 ),10428388.619999997317791,10428388.619999997317791
FS( 14 ),10476342.570000000298023,10476342.570000000298023
FS( 15 ),10351662.300000000745058,10351662.300000000745058
FS( 16 ),10546675.029999999329448,10546675.029999999329448
FS( 17 ),10613810.560000000521541,10613810.560000000521541
FS( 18 ),10770460.129999998956919,10770460.129999998956919
FS( 19 ),10732096.969999998807907,10732096.969999998807907
FS( 20 ),10776853.990000000223517,10776853.990000000223517
FS( 21 ),10891943.469999998807907,10891943.469999998807907
FS( 22 ),10939897.419999998062849,10939897.419999998062849
FS( 23 ),10987851.369999997317791,10987851.369999997317791
FS( 24 ),10959079.000000000000000,10959079.000000000000000
FS( 25 ),11042199.179999997839332,11042199.179999997839332
FS( 26 ),11064577.689999999478459,11064577.689999999478459
FS( 27 ),11070971.550000000745058,11070971.550000000745058
FS( 28 ),11221227.259999999776483,11221227.259999999776483
FS( 29 ),11368286.039999999105930,11368286.039999999105930
FS( 30 ),11297953.580000000074506,11297953.580000000074506
FS( 31 ),11285165.859999997541308,11285165.859999997541308
FS( 32 ),11170076.379999998956919,11170076.379999998956919
FS( 33 ),11838234.750000000000000,11838234.750000000000000
FS( 34 ),12170715.469999998807907,12170715.469999998807907
FS( 35 ),12368925.129999998956919,12368925.129999998956919
FS( 36 ),12308183.459999999031425,12308183.459999999031425
FS( 37 ),11966111.949999999254942,11966111.949999999254942
FS( 38 ),11946930.369999997317791,11946930.369999997317791
FS( 39 ),12269820.300000000745058,12269820.300000000745058
FS( 40 ),11924551.859999997541308,11924551.859999997541308
FS( 41 ),12164321.609999997541308,12164321.609999997541308
FS( 42 ),11812659.310000000521541,11812659.310000000521541
FS( 43 ),11691175.969999998807907,11691175.969999998807907
FS( 44 ),11246802.699999999254942,11246802.699999999254942
FS( 45 ),10770460.129999998956919,10770460.129999998956919
FS( 46 ),11598465.000000000000000,11598465.000000000000000
FS( 47 ),11716751.409999998286366,11716751.409999998286366
FS( 48 ),11969308.879999998956919,11969308.879999998956919
FS( 49 ),11799871.589999997988343,11799871.589999997988343
FS( 50 ),11592071.139999998733401,11592071.139999998733401
FS( 51 ),11611252.719999998807907,11611252.719999998807907
FS( 52 ),11524935.609999997541308,11524935.609999997541308
FS( 53 ),11342710.599999997764826,11342710.599999997764826
FS( 54 ),10859974.169999998062849,10859974.169999998062849
FS( 55 ),11067774.619999997317791,11067774.619999997317791
FS( 56 ),11269181.209999999031425,11269181.209999999031425
FS( 57 ),11198848.750000000000000,11198848.750000000000000
FS( 58 ),11147697.869999997317791,11147697.869999997317791
FS( 59 ),11569692.629999998956919,11569692.629999998956919
FS( 60 ),11732736.060000000521541,11732736.060000000521541
FS( 61 ),11911764.139999998733401,11911764.139999998733401
FS( 62 ),12055625.990000000223517,12055625.990000000223517
FS( 63 ),12017262.830000000074506,12017262.830000000074506
FS( 64 ),11691175.969999998807907,11691175.969999998807907
FS( 65 ),11460997.009999999776483,11460997.009999999776483
