訓練日期,20150629 - 20150929
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10664401.839999999850988
真實報酬,664401.839999999850988

夏普值報酬,0.057740184000000
夏普值風險,0.023332328468833
夏普值,2.474685888171381

預期報酬,12030.398816740496841
風險,260206.982311446015956
趨勢值,0.046233958481334
找到最佳解世代,2489
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),NKE[19](2),
Stock#,HD[9](1),NKE[19](2),
張數,45232,92867,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,54.719999999739230,40.719999999739230,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5026686.879999999888241,5015787.389999999664724,10042474.269999999552965
FS( 3 ),5069204.959999999031425,5081722.959999999962747,10150927.919999998062849
FS( 4 ),5042970.399999999441206,5102153.699999999254942,10145124.099999997764826
FS( 5 ),5035280.959999999031425,5100296.360000000335276,10135577.320000000298023
FS( 6 ),5084131.519999999552965,5168089.269999999552965,10252220.789999999105930
FS( 7 ),5020806.719999999739230,5074293.599999999627471,10095100.320000000298023
FS( 8 ),5037994.879999999888241,5081722.959999999962747,10119717.839999999850988
FS( 9 ),5115793.919999999925494,5131871.139999999664724,10247665.059999998658895
FS( 10 ),5197211.519999999552965,5220094.790000000037253,10417306.309999998658895
FS( 11 ),5218018.239999999292195,5216380.110000000335276,10434398.349999999627471
FS( 12 ),5227969.279999999329448,5195949.370000000111759,10423918.649999998509884
FS( 13 ),5189522.080000000074506,5216380.110000000335276,10405902.190000001341105
FS( 14 ),5177761.759999999776483,5237739.519999999552965,10415501.279999999329448
FS( 15 ),5129815.839999999850988,5253526.910000000149012,10383342.750000000000000
FS( 16 ),5150170.239999999292195,5247026.219999999739230,10397196.459999999031425
FS( 17 ),5197211.519999999552965,5298103.069999999366701,10495314.589999999850988
FS( 18 ),5183189.599999999627471,5293459.719999999739230,10476649.320000000298023
FS( 19 ),5137957.599999999627471,5247026.219999999739230,10384983.820000000298023
FS( 20 ),5114436.959999999031425,5188520.009999999776483,10302956.969999998807907
FS( 21 ),5194497.599999999627471,5269314.299999999813735,10463811.899999998509884
FS( 22 ),5263702.559999999590218,5336178.540000000037253,10599881.099999999627471
FS( 23 ),5267773.439999999478459,5340821.889999999664724,10608595.329999998211861
FS( 24 ),5293555.679999999701977,5350108.589999999850988,10643664.269999999552965
FS( 25 ),5287223.200000000186265,5332463.860000000335276,10619687.060000000521541
FS( 26 ),5316171.679999999701977,5376111.349999999627471,10692283.029999999329448
FS( 27 ),5337430.719999999739230,5421616.179999999701977,10759046.899999998509884
FS( 28 ),5272296.639999999664724,5345465.240000000223517,10617761.879999998956919
FS( 29 ),5289032.480000000447035,5317605.139999999664724,10606637.620000001043081
FS( 30 ),5319337.919999999925494,5356609.279999999329448,10675947.199999999254942
FS( 31 ),5323408.799999999813735,5314819.129999999888241,10638227.929999999701977
FS( 32 ),5323408.799999999813735,5249812.229999999515712,10573221.029999999329448
FS( 33 ),5383567.359999999403954,5274886.319999999366701,10658453.679999999701977
FS( 34 ),5416586.719999999739230,5310175.779999999329448,10726762.500000000000000
FS( 35 ),5414325.120000000111759,5338964.549999999813735,10753289.669999999925494
