訓練日期,20150519 - 20150819
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10565700.819999998435378
真實報酬,565700.819999998435378

夏普值報酬,0.047870082000000
夏普值風險,0.020720879881973
夏普值,2.310234037968931

預期報酬,7862.647596967906793
風險,101192.335553305005305
趨勢值,0.077700030876608
找到最佳解世代,2932
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
GS[8](9),HD[9](3),NKE[19](1),
Stock#,GS[8](9),HD[9](3),NKE[19](1),
張數,16228,29671,63710,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,101.799999999813735,92.859999999869615,25.799999999813735,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3328140.040000000037253,3326211.959999999497086,3332695.899999999906868,9987048.900000000372529
FS( 3 ),3326030.399999999441206,3323541.569999999832362,3325687.799999999813735,9975260.769999999552965
FS( 4 ),3372280.200000000186265,3327992.219999999739230,3326961.999999999534339,10027235.419999999925494
FS( 5 ),3349236.439999999944121,3291496.890000000130385,3294469.899999999906868,9935204.230000000447035
FS( 6 ),3392727.479999999981374,3327992.219999999739230,3275994.000000000000000,9996714.699999999254942
FS( 7 ),3383315.239999999757856,3328882.349999999627471,3258792.299999999813735,9970990.890000000596046
FS( 8 ),3346153.119999999646097,3306035.679999999701977,3239042.200000000186265,9891232.000000000000000
FS( 9 ),3372442.479999999981374,3313453.429999999701977,3241590.600000000093132,9927487.509999999776483
FS( 10 ),3350047.839999999850988,3311079.750000000000000,3253058.399999999906868,9914186.990000000223517
FS( 11 ),3380231.919999999459833,3357663.219999999739230,3265800.399999999906868,10003696.539999999105930
FS( 12 ),3389644.159999999683350,3307222.519999999552965,3247961.599999999627471,9944829.279999999329448
FS( 13 ),3415284.399999999441206,3274881.129999999888241,3250510.000000000000000,9940676.529999999329448
FS( 14 ),3404573.919999999459833,3261825.890000000130385,3231396.999999999534339,9897797.809999998658895
FS( 15 ),3392078.359999999869615,3249957.489999999757856,3228848.599999999627471,9870885.449999999254942
FS( 16 ),3458775.439999999944121,3292980.439999999944121,3291921.500000000000000,10043678.379999998956919
FS( 17 ),3471920.119999999646097,3302178.450000000186265,3309123.199999999720603,10083222.769999999552965
FS( 18 ),3457639.479999999981374,3281705.459999999497086,3305937.699999999720603,10045283.639999998733401
FS( 19 ),3436543.079999999608845,3264199.569999999832362,3292558.599999999627471,9993302.250000000000000
FS( 20 ),3465753.479999999981374,3270727.189999999944121,3330784.600000000093132,10067266.269999999552965
FS( 21 ),3455529.839999999850988,3277848.229999999981374,3337155.600000000093132,10070534.669999999925494
FS( 22 ),3482630.599999999627471,3318794.209999999497086,3376655.799999999813735,10178081.609999999403954
FS( 23 ),3459749.119999999646097,3336003.390000000130385,3393857.500000000000000,10189611.009999999776483
FS( 24 ),3513626.079999999608845,3354992.829999999608845,3402139.799999999813735,10270759.709999999031425
FS( 25 ),3544297.000000000000000,3358256.640000000130385,3414881.799999999813735,10317436.440000001341105
FS( 26 ),3479871.839999999850988,3333629.709999999497086,3383663.899999999906868,10197166.449999999254942
FS( 27 ),3453744.759999999776483,3330365.899999999906868,3351808.899999999906868,10135920.560000000521541
FS( 28 ),3459424.559999999590218,3341047.459999999497086,3495156.399999999906868,10295629.419999999925494
FS( 29 ),3369846.000000000000000,3279925.200000000186265,3430172.200000000186265,10079944.400000000372529
FS( 30 ),3388345.919999999459833,3297431.089999999850988,3441002.899999999906868,10126780.910000000149012
FS( 31 ),3407008.119999999646097,3325321.829999999608845,3486236.999999999534339,10218567.949999999254942
FS( 32 ),3394999.399999999441206,3308112.649999999906868,3500253.199999999720603,10203366.249999998137355
FS( 33 ),3376174.919999999459833,3303068.579999999608845,3498979.000000000000000,10178223.500000000000000
FS( 34 ),3378933.680000000167638,3335113.260000000242144,3545487.299999999813735,10259535.240000000223517
FS( 35 ),3311587.479999999981374,3293573.859999999869615,3481140.199999999720603,10086302.539999999105930
FS( 36 ),3323758.479999999981374,3304848.839999999850988,3486236.999999999534339,10114845.320000000298023
FS( 37 ),3362381.119999999646097,3355882.959999999497086,3520640.399999999906868,10238905.479999998584390
FS( 38 ),3409929.159999999683350,3409290.760000000242144,3581164.899999999906868,10400385.820000000298023
FS( 39 ),3443034.279999999795109,3422939.419999999925494,3578616.500000000000000,10444591.199999999254942
FS( 40 ),3456016.680000000167638,3429467.040000000037253,3564600.299999999813735,10450085.019999999552965
FS( 41 ),3427130.839999999850988,3404246.689999999944121,3578616.500000000000000,10409995.029999999329448
FS( 42 ),3447902.680000000167638,3396532.229999999981374,3593269.799999999813735,10437705.710000000894070
FS( 43 ),3446766.719999999739230,3365080.969999999739230,3604100.500000000000000,10415949.189999999478459
FS( 44 ),3432323.799999999813735,3378432.919999999925494,3599640.799999999813735,10410398.519999999552965
FS( 45 ),3460722.799999999813735,3409290.760000000242144,3634681.299999999813735,10504695.859999999403954
FS( 46 ),3425021.200000000186265,3400092.750000000000000,3631495.799999999813735,10456610.750000000000000
FS( 47 ),3364977.599999999627471,3370421.750000000000000,3599640.799999999813735,10335041.149999998509884
FS( 48 ),3327166.359999999869615,3354992.829999999608845,3559503.499999999534339,10241663.689999999478459
FS( 49 ),3346964.520000000018626,3407510.500000000000000,3614931.199999999720603,10369407.219999998807907
FS( 50 ),3356701.319999999832362,3452907.129999999888241,3660802.399999999906868,10470411.849999999627471
FS( 51 ),3362543.399999999441206,3455577.519999999552965,3663987.899999999906868,10482109.819999998435378
FS( 52 ),3327977.759999999776483,3472489.989999999757856,3670358.899999999906868,10470827.650000000372529
FS( 53 ),3321811.119999999646097,3468336.049999999813735,3658254.000000000000000,10448402.169999999925494
FS( 54 ),3329600.559999999590218,3487325.489999999757856,3688197.699999999720603,10505124.749999998137355
FS( 55 ),3338201.399999999441206,3501270.859999999869615,3719415.600000000093132,10558888.859999999403954
FS( 56 ),3328302.319999999832362,3458544.620000000111759,3667173.399999999906868,10454021.339999999850988
FS( 57 ),3301526.119999999646097,3469522.890000000130385,3648060.399999999906868,10419110.410000000149012
FS( 58 ),3342582.959999999962747,3489402.459999999497086,3674818.599999999627471,10506805.019999999552965
FS( 59 ),3273289.399999999441206,3492072.849999999627471,3646149.099999999627471,10411512.349999997764826
FS( 60 ),3264039.439999999944121,3492072.849999999627471,3601552.100000000093132,10357665.389999998733401
FS( 61 ),3257710.520000000018626,3531535.279999999795109,3618753.799999999813735,10408000.599999999627471
FS( 62 ),3278482.359999999869615,3553195.109999999869615,3642963.599999999627471,10474642.070000000298023
FS( 63 ),3287407.759999999776483,3551711.560000000055879,3662713.699999999720603,10501834.019999999552965
FS( 64 ),3264850.839999999850988,3643691.659999999683350,3657616.899999999441206,10566160.399999998509884
FS( 65 ),3261118.399999999441206,3642504.819999999832362,3662076.599999999627471,10565700.819999998435378
