訓練日期,20100326 - 20100628
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11618671.479999998584390
真實報酬,1618671.479999998584390

夏普值報酬,0.153167148000000
夏普值風險,0.045909923325484
夏普值,3.336253622427170

預期報酬,26334.251660919198912
風險,454666.867376800335478
趨勢值,0.057919882776712
找到最佳解世代,2234
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
AAPL[0](1),
Stock#,AAPL[0](1),
張數,303122,
分配資金,10000000.000000000000000,
剩餘資金,5.219999998807907,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),10063655.619999999180436,10063655.619999999180436
FS( 3 ),10212185.399999998509884,10212185.399999998509884
FS( 4 ),10175810.759999999776483,10175810.759999999776483
FS( 5 ),10218247.839999999850988,10218247.839999999850988
FS( 6 ),10327371.759999999776483,10327371.759999999776483
FS( 7 ),10372840.059999998658895,10372840.059999998658895
FS( 8 ),10418308.359999997541308,10418308.359999997541308
FS( 9 ),10391027.379999998956919,10391027.379999998956919
FS( 10 ),10469839.099999997764826,10469839.099999997764826
FS( 11 ),10491057.639999998733401,10491057.639999998733401
FS( 12 ),10497120.080000000074506,10497120.080000000074506
FS( 13 ),10639587.419999999925494,10639587.419999999925494
FS( 14 ),10779023.539999999105930,10779023.539999999105930
FS( 15 ),10712336.699999999254942,10712336.699999999254942
FS( 16 ),10700211.819999998435378,10700211.819999998435378
FS( 17 ),10591087.899999998509884,10591087.899999998509884
FS( 18 ),11224612.879999998956919,11224612.879999998956919
FS( 19 ),11539859.759999999776483,11539859.759999999776483
FS( 20 ),11727795.399999998509884,11727795.399999998509884
FS( 21 ),11670202.219999998807907,11670202.219999998807907
FS( 22 ),11345861.679999997839332,11345861.679999997839332
FS( 23 ),11327674.359999997541308,11327674.359999997541308
FS( 24 ),11633827.580000000074506,11633827.580000000074506
FS( 25 ),11306455.819999998435378,11306455.819999998435378
FS( 26 ),11533797.319999998435378,11533797.319999998435378
FS( 27 ),11200363.119999999180436,11200363.119999999180436
FS( 28 ),11085176.759999999776483,11085176.759999999776483
FS( 29 ),10663837.179999997839332,10663837.179999997839332
FS( 30 ),10212185.399999998509884,10212185.399999998509884
FS( 31 ),10997271.379999998956919,10997271.379999998956919
FS( 32 ),11109426.519999997690320,11109426.519999997690320
FS( 33 ),11348892.899999998509884,11348892.899999998509884
FS( 34 ),11188238.239999998360872,11188238.239999998360872
FS( 35 ),10991208.939999997615814,10991208.939999997615814
FS( 36 ),11009396.259999999776483,11009396.259999999776483
FS( 37 ),10927553.319999998435378,10927553.319999998435378
FS( 38 ),10754773.779999997466803,10754773.779999997466803
FS( 39 ),10297059.559999998658895,10297059.559999998658895
FS( 40 ),10494088.859999997541308,10494088.859999997541308
FS( 41 ),10685055.719999998807907,10685055.719999998807907
FS( 42 ),10618368.879999998956919,10618368.879999998956919
FS( 43 ),10569869.359999997541308,10569869.359999997541308
FS( 44 ),10969990.399999998509884,10969990.399999998509884
FS( 45 ),11124582.619999999180436,11124582.619999999180436
FS( 46 ),11294330.939999997615814,11294330.939999997615814
FS( 47 ),11430735.839999999850988,11430735.839999999850988
FS( 48 ),11394361.199999999254942,11394361.199999999254942
FS( 49 ),11085176.759999999776483,11085176.759999999776483
FS( 50 ),10866928.919999999925494,10866928.919999999925494
FS( 51 ),10797210.859999997541308,10797210.859999997541308
FS( 52 ),10530463.500000000000000,10530463.500000000000000
FS( 53 ),10848741.599999997764826,10848741.599999997764826
FS( 54 ),10979084.059999998658895,10979084.059999998658895
FS( 55 ),11012427.479999998584390,11012427.479999998584390
FS( 56 ),11245831.419999999925494,11245831.419999999925494
FS( 57 ),11573203.179999997839332,11573203.179999997839332
FS( 58 ),11773263.699999999254942,11773263.699999999254942
FS( 59 ),11867231.519999997690320,11867231.519999997690320
FS( 60 ),11700514.419999999925494,11700514.419999999925494
FS( 61 ),11858137.859999997541308,11858137.859999997541308
FS( 62 ),11733857.839999999850988,11733857.839999999850988
FS( 63 ),11648983.679999997839332,11648983.679999997839332
FS( 64 ),11548953.419999999925494,11548953.419999999925494
FS( 65 ),11618671.479999998584390,11618671.479999998584390
