訓練日期,20151026 - 20160128
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10988921.599999997764826
真實報酬,988921.599999997764826

夏普值報酬,0.090192160000000
夏普值風險,0.027309504947167
夏普值,3.302592272342008

預期報酬,11429.790664709331395
風險,123000.498786738331546
趨勢值,0.092924750529074
找到最佳解世代,2005
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MCD[15](1),WMT[28](2),
Stock#,MCD[15](1),WMT[28](2),
張數,44571,86177,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,25.219999999739230,10.459999999962747,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4975931.660000000149012,4953464.419999999925494,9929396.080000000074506
FS( 3 ),5033873.959999999962747,4967252.740000000223517,10001126.699999999254942
FS( 4 ),5019611.240000000223517,4994829.379999999888241,10014440.620000001043081
FS( 5 ),5003119.969999999739230,4932781.940000000409782,9935901.910000000149012
FS( 6 ),4996880.029999999329448,4964667.429999999701977,9961547.459999999031425
FS( 7 ),4995542.899999999441206,5007755.929999999701977,10003298.829999998211861
FS( 8 ),5009805.620000000111759,5030161.950000000186265,10039967.570000000298023
FS( 9 ),5029862.569999999366701,5050844.429999999701977,10080707.000000000000000
FS( 10 ),5050365.229999999515712,5065494.520000000484288,10115859.750000000000000
FS( 11 ),5033428.250000000000000,5040503.190000000409782,10073931.440000001341105
FS( 12 ),5046353.839999999850988,5056876.820000000298023,10103230.660000000149012
FS( 13 ),5074433.569999999366701,4962082.120000000111759,10036515.689999999478459
FS( 14 ),4996880.029999999329448,4907790.610000000335276,9904670.640000000596046
FS( 15 ),4901498.089999999850988,4862116.799999999813735,9763614.890000000596046
FS( 16 ),4950080.479999999515712,4987073.450000000186265,9937153.929999999701977
FS( 17 ),4944731.959999999962747,5163736.299999999813735,10108468.259999999776483
FS( 18 ),5015599.849999999627471,5250775.070000000298023,10266374.919999999925494
FS( 19 ),5049919.519999999552965,5230954.360000000335276,10280873.879999998956919
FS( 20 ),5077107.829999999143183,5176662.849999999627471,10253770.679999999701977
FS( 21 ),5102067.589999999850988,5193036.479999999515712,10295104.070000000298023
FS( 22 ),5093599.099999999627471,5163736.299999999813735,10257335.399999998509884
FS( 23 ),5098947.620000000111759,5191312.940000000409782,10290260.560000000521541
FS( 24 ),5091370.549999999813735,5161150.990000000223517,10252521.539999999105930
FS( 25 ),5088250.579999999143183,5070665.140000000596046,10158915.719999998807907
