訓練日期,20190724 - 20191023
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10897891.380000000819564
真實報酬,897891.380000000819564

夏普值報酬,0.081089138000000
夏普值風險,0.024938327557832
夏普值,3.251586852083542

預期報酬,13047.322516094602179
風險,97128.244763730574050
趨勢值,0.134330879218840
找到最佳解世代,2157
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](4),MRK[17](6),PG[21](2),VZ[26](1),
Stock#,AAPL[0](4),MRK[17](6),PG[21](2),VZ[26](1),
張數,11980,30581,22202,44666,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,133.400000000372529,3.250000000000000,54.800000000279397,43.979999999981374,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2480233.000000000465661,2500000.000000000000000,2503774.340000000316650,2517419.739999999757856,10001427.080000000074506
FS( 3 ),2488858.600000000558794,2490214.080000000074506,2547290.260000000242144,2549579.259999999776483,10075942.200000001117587
FS( 4 ),2512099.800000000279397,2522629.939999999944121,2575486.800000000279397,2562532.399999999906868,10172748.940000001341105
FS( 5 ),2501317.800000000279397,2546483.119999999646097,2673397.620000000111759,2529479.560000000055879,10250678.099999999627471
FS( 6 ),2552352.600000000093132,2537920.439999999944121,2620778.880000000353903,2468733.800000000279397,10179785.720000000670552
FS( 7 ),2497124.800000000279397,2559327.140000000130385,2591694.260000000242144,2468287.139999999664724,10116433.339999999850988
FS( 8 ),2444293.000000000465661,2583180.319999999832362,2585255.680000000167638,2483026.919999999925494,10095755.919999999925494
FS( 9 ),2316346.600000000558794,2541895.970000000204891,2510656.960000000428408,2466500.500000000000000,9835400.030000001192093
FS( 10 ),2360193.400000000372529,2579510.599999999627471,2537299.360000000335276,2458907.279999999795109,9935910.640000000596046
FS( 11 ),2384632.600000000093132,2576452.500000000000000,2564829.840000000316650,2460693.919999999925494,9986608.859999999403954
FS( 12 ),2437224.800000000279397,2591131.380000000353903,2607457.680000000167638,2493300.100000000093132,10129113.960000000894070
FS( 13 ),2407993.600000000558794,2615290.369999999646097,2592804.360000000335276,2491513.459999999962747,10107601.790000000968575
FS( 14 ),2401883.800000000279397,2599999.869999999646097,2576152.860000000335276,2487493.520000000018626,10065530.050000000745058
FS( 15 ),2503594.000000000465661,2632415.729999999981374,2603239.300000000279397,2517866.399999999906868,10257115.430000001564622
FS( 16 ),2429078.400000000372529,2550458.650000000372529,2570824.380000000353903,2488833.500000000000000,10039194.930000001564622
FS( 17 ),2416978.600000000558794,2552293.509999999776483,2606347.580000000074506,2514739.779999999795109,10090359.470000000670552
FS( 18 ),2474003.400000000372529,2601223.109999999869615,2646089.160000000614673,2530372.879999999888241,10251688.550000000745058
FS( 19 ),2520126.400000000372529,2635779.640000000130385,2669623.280000000260770,2546005.979999999981374,10371535.300000000745058
FS( 20 ),2520246.200000000651926,2619265.900000000372529,2639872.600000000558794,2513399.800000000279397,10292784.500000001862645
FS( 21 ),2547560.600000000093132,2657797.959999999962747,2646533.200000000186265,2527692.919999999925494,10379584.679999999701977
FS( 22 ),2545404.200000000651926,2651987.569999999832362,2651417.640000000130385,2536179.459999999962747,10384988.870000001043081
FS( 23 ),2427760.600000000093132,2597553.390000000130385,2604793.439999999944121,2497766.700000000186265,10127874.129999998956919
