代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11678296.390000000596046
真實報酬,1678296.390000000596046

夏普值報酬,0.159129639000000
夏普值風險,0.051709703253354
夏普值,3.077365155633124

二次趨勢線,30.851976482598232 x^2 + 27366.143932085069537 x + 10000000.000000000000000
二次加權預期報酬,30019.413909588518436
風險,78458.689582314720610
二次加權趨勢值,0.382614265792621
一次趨勢線,28858.518608452599437 x + 10000000.000000000000000
一次預期報酬,28858.518608452599437
一次風險,79769.659571326847072
一次趨勢值,0.361773119799370
找到最佳解世代,1734
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
JNJ[12](4),MSFT[18](3),V[25](2),VZ[26](1),
Stock#,JNJ[12](4),MSFT[18](3),V[25](2),VZ[26](1),
張數,41799,100482,144675,89094,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,1.810000000055879,7.840000000316650,16.000000000000000,22.360000000335276,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2496656.080000000074506,2508038.560000000521541,2452257.250000000000000,2490199.660000000149012,9947151.550000000745058
FS( 3 ),2500417.990000000223517,2475884.320000000298023,2465278.000000000000000,2495545.300000000279397,9937125.610000001266599
FS( 4 ),2520063.520000000018626,2523110.860000000335276,2469618.250000000000000,2513364.100000000558794,10026156.730000000447035
FS( 5 ),2537619.100000000093132,2522106.040000000502914,2563657.000000000000000,2447434.540000000037253,10070816.679999999701977
FS( 6 ),2547232.870000000111759,2579380.780000000260770,2594038.750000000000000,2428724.800000000279397,10149377.200000001117587
FS( 7 ),2580672.070000000298023,2567322.940000000409782,2638888.000000000000000,2428724.800000000279397,10215607.810000000521541
FS( 8 ),2613693.280000000260770,2584404.880000000353903,2666376.250000000000000,2415360.700000000186265,10279835.109999999403954
FS( 9 ),2550158.799999999813735,2593448.260000000242144,2701098.250000000465661,2417142.580000000074506,10261847.890000000596046
FS( 10 ),2530931.259999999776483,2608520.560000000521541,2705438.500000000000000,2410906.000000000000000,10255796.320000000298023
FS( 11 ),2547232.870000000111759,2683882.060000000521541,2715565.750000000000000,2425161.040000000037253,10371841.720000000670552
FS( 12 ),2527169.350000000093132,2662780.840000000316650,2686630.750000000000000,2407342.240000000223517,10283923.179999999701977
FS( 13 ),2556428.649999999906868,2648713.360000000335276,2711225.500000000000000,2412687.880000000353903,10329055.390000000596046
FS( 14 ),2532603.220000000204891,2649718.180000000633299,2714119.000000000000000,2399323.780000000260770,10295764.179999999701977
FS( 15 ),2520899.500000000000000,2670819.400000000372529,2719906.000000000000000,2418033.520000000484288,10329658.420000001788139
FS( 16 ),2547232.870000000111759,2671824.220000000204891,2737267.000000000465661,2417142.580000000074506,10373466.669999999925494
FS( 17 ),2530513.270000000018626,2815513.480000000447035,2680843.750000000000000,2402887.540000000037253,10429758.039999999105930
FS( 18 ),2511703.720000000204891,2881831.600000000093132,2633101.000000000000000,2385959.680000000633299,10412596.000000000000000
FS( 19 ),2508777.790000000037253,2872788.220000000204891,2673610.000000000000000,2432288.560000000521541,10487464.570000000298023
FS( 20 ),2489968.240000000223517,2815513.480000000447035,2769095.500000000000000,2494654.360000000335276,10569231.580000001937151
FS( 21 ),2502089.950000000186265,2835609.880000000353903,2795137.000000000000000,2502672.820000000298023,10635509.650000000372529
FS( 22 ),2468232.759999999776483,2786373.700000000186265,2740160.500000000000000,2464362.400000000372529,10459129.359999999403954
FS( 23 ),2486624.320000000298023,2801446.000000000000000,2795137.000000000000000,2450107.360000000335276,10533314.679999999701977
FS( 24 ),2463216.879999999888241,2766277.300000000279397,2808157.750000000000000,2421597.280000000260770,10459249.210000000894070
FS( 25 ),2487878.290000000037253,2819532.760000000242144,2832752.499999999534339,2424270.100000000558794,10564433.650000002235174
FS( 26 ),2507105.830000000074506,2860730.380000000353903,2879048.500000000000000,2441197.960000000428408,10688082.670000001788139
FS( 27 ),2520481.509999999776483,2865754.480000000447035,2881942.000000000465661,2462580.520000000484288,10730758.510000001639128
FS( 28 ),2539291.060000000055879,2912981.020000000018626,2935471.750000000000000,2513364.100000000558794,10901107.929999999701977
