代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11781521.210000000894070
真實報酬,1781521.210000000894070

夏普值報酬,0.169452121000000
夏普值風險,0.053606514480449
夏普值,3.161035979345416

二次趨勢線,352.397581316312937 x^2 + 5385.370034247584044 x + 10000000.000000000000000
二次加權預期報酬,35691.562027450498135
風險,136213.028959826158825
二次加權趨勢值,0.262027518953250
一次趨勢線,22431.578618850628118 x + 10000000.000000000000000
一次預期報酬,22431.578618850628118
一次風險,213581.481701028940734
一次趨勢值,0.105025859171865
找到最佳解世代,2167
找到最佳解實驗#,2
找到最佳解次數,46

stock[index](rank)
投資組合檔數,3
KO[14](5),UTX[24](3),WBA[27](2),
Stock#,KO[14](5),UTX[24](3),WBA[27](2),
張數,135556,63759,113610,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,10.959999999962747,12.479999999981374,15.600000000093132,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3312999.600000000093132,3203264.640000000130385,3260622.600000000093132,9776887.839999999850988
FS( 3 ),3321132.959999999962747,3245345.580000000074506,3352646.700000000186265,9919126.240000000223517
FS( 4 ),3296732.879999999888241,3151619.850000000093132,3278800.200000000186265,9727153.929999999701977
FS( 5 ),3288599.520000000018626,3167559.600000000093132,3381049.200000000186265,9837209.320000000298023
FS( 6 ),3302155.120000000111759,3165646.830000000074506,3337877.399999999906868,9805680.349999999627471
FS( 7 ),3275043.919999999925494,3165009.240000000223517,3276528.000000000000000,9716582.160000000149012
FS( 8 ),3325199.640000000130385,3278500.260000000242144,3331060.800000000279397,9934761.700000001117587
FS( 9 ),3341466.359999999869615,3288701.699999999720603,3340149.600000000093132,9970318.660000000149012
FS( 10 ),3425511.080000000074506,3427058.729999999981374,3407179.500000000000000,10259750.310000000521541
FS( 11 ),3443133.359999999869615,3441085.709999999962747,3339013.500000000000000,10223233.570000000298023
FS( 12 ),3410599.919999999925494,3430246.679999999701977,3387865.800000000279397,10228713.400000000372529
FS( 13 ),3459400.080000000074506,3504844.709999999962747,3416268.300000000279397,10380514.089999999850988
FS( 14 ),3413311.040000000037253,3441085.709999999962747,3403771.200000000186265,10258168.949999999254942
FS( 15 ),3330621.879999999888241,3386890.559999999590218,3385593.600000000093132,10103107.039999999105930
FS( 16 ),3333333.000000000000000,3403467.900000000372529,3378777.000000000000000,10115578.900000000372529
FS( 17 ),3345533.040000000037253,3330145.049999999813735,3456031.800000000279397,10131710.890000000596046
FS( 18 ),3356377.520000000018626,3322493.969999999739230,3450351.300000000279397,10129223.790000000968575
FS( 19 ),3348244.159999999683350,3343534.439999999944121,3436718.100000000093132,10128497.699999999254942
FS( 20 ),3340110.799999999813735,3391991.280000000260770,3493523.100000000093132,10225626.179999999701977
FS( 21 ),3367222.000000000000000,3457663.049999999813735,3523061.700000000186265,10347947.750000000000000
FS( 22 ),3378066.479999999981374,3472965.209999999962747,3527606.100000000093132,10378638.789999999105930
FS( 23 ),3361799.760000000242144,3518234.100000000093132,3532150.500000000000000,10412185.359999999403954
FS( 24 ),3355021.959999999962747,3493368.089999999850988,3452623.500000000000000,10301014.550000000745058
FS( 25 ),3333333.000000000000000,3457025.459999999962747,3437854.200000000186265,10228213.660000000149012
FS( 26 ),3348244.159999999683350,3510583.020000000018626,3468528.900000000372529,10327357.080000000074506
FS( 27 ),3344177.479999999981374,3544375.290000000037253,3490114.799999999813735,10378668.570000000298023
FS( 28 ),3350955.279999999795109,3563502.990000000223517,3490114.799999999813735,10404574.070000000298023
FS( 29 ),3323844.080000000074506,3555851.910000000149012,3492387.000000000000000,10372083.990000000223517
FS( 30 ),3284532.839999999850988,3708873.510000000242144,3558280.800000000279397,10551688.150000000372529
FS( 31 ),3261488.319999999832362,3659779.080000000074506,3618494.100000000093132,10539762.500000000000000
FS( 32 ),3285888.399999999906868,3647664.870000000111759,3592363.800000000279397,10525918.070000000298023
FS( 33 ),3300799.560000000055879,3578805.150000000372529,3473073.300000000279397,10352679.010000001639128
FS( 34 ),3295377.319999999832362,3622161.270000000018626,3501475.800000000279397,10419015.390000000596046
FS( 35 ),3345533.040000000037253,3570516.479999999981374,3516245.100000000093132,10432295.619999999180436
FS( 36 ),3349599.720000000204891,3650852.819999999832362,3509428.500000000000000,10509882.039999999105930
FS( 37 ),3383488.720000000204891,3743303.370000000111759,3593499.899999999906868,10720292.990000000223517
FS( 38 ),3325199.640000000130385,3780921.179999999701977,3568505.700000000186265,10674627.519999999552965
FS( 39 ),3303510.680000000167638,3807062.370000000111759,3696885.000000000000000,10807459.050000000745058
FS( 40 ),3333333.000000000000000,3810887.910000000149012,3795725.699999999720603,10939947.609999999403954
FS( 41 ),3350955.279999999795109,3826190.069999999832362,3822992.100000000093132,11000138.449999999254942
FS( 42 ),3325199.640000000130385,3802599.240000000223517,3826400.399999999906868,10954200.280000001192093
FS( 43 ),3306221.799999999813735,3784746.719999999739230,3849122.400000000372529,10940091.919999999925494
FS( 44 ),3289955.080000000074506,3765619.020000000018626,3867300.000000000000000,10922875.099999999627471
FS( 45 ),3375355.359999999869615,3752229.629999999888241,3841169.700000000186265,10968755.690000001341105
FS( 46 ),3360444.199999999720603,3803236.830000000074506,3811631.099999999627471,10975313.129999998956919
FS( 47 ),3386199.839999999850988,3858707.160000000149012,3844578.000000000465661,11089486.000000000000000
FS( 48 ),3417377.720000000204891,3849780.900000000372529,3860483.399999999906868,11127643.020000001415610
FS( 49 ),3432288.879999999888241,3904613.640000000130385,3851394.600000000093132,11188298.119999999180436
FS( 50 ),3428222.199999999720603,3949882.530000000260770,3884341.500000000000000,11262447.230000000447035
FS( 51 ),3491933.520000000018626,3952432.890000000130385,3871844.399999999906868,11316211.810000000521541
FS( 52 ),3535311.439999999944121,3925016.520000000018626,3890022.000000000465661,11350350.960000000894070
FS( 53 ),3555644.839999999850988,3907801.589999999850988,3869572.200000000186265,11333019.629999998956919
FS( 54 ),3570556.000000000000000,3949882.530000000260770,3932057.700000000186265,11452497.230000000447035
FS( 55 ),3620711.720000000204891,3986225.160000000149012,3899110.800000000279397,11506048.680000001564622
FS( 56 ),3643756.239999999757856,4005352.859999999869615,3919560.600000000093132,11568670.699999999254942
FS( 57 ),3592244.959999999962747,3995789.010000000242144,3924105.000000000000000,11512139.970000000670552
FS( 58 ),3582756.040000000037253,4031494.049999999813735,3934329.900000000372529,11548580.990000000223517
FS( 59 ),3563778.199999999720603,4000252.140000000130385,3890022.000000000465661,11454053.339999999850988
FS( 60 ),3547511.479999999981374,3974748.540000000037253,3822992.100000000093132,11345253.119999999180436
FS( 61 ),3590889.399999999906868,3923741.339999999850988,3826400.399999999906868,11341032.140000000596046
FS( 62 ),3601733.879999999888241,3930117.240000000223517,3884341.500000000000000,11416193.620000001043081
FS( 63 ),3613933.919999999925494,3909076.770000000018626,4243349.099999999627471,11766360.789999999105930
FS( 64 ),3639689.560000000055879,3884848.350000000093132,4256982.300000000745058,11781521.210000000894070
