代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,9273404.060000000521541
真實報酬,-726595.939999999478459

夏普值報酬,-0.081359594000000
夏普值風險,0.042535744154826
夏普值,-1.912734703873040

二次趨勢線,901.280448560314426 x^2 + -63174.335911065223627 x + 10000000.000000000000000
二次加權預期報酬,13134.075400374731544
風險,210864.316416942543583
二次加權趨勢值,0.062286856418156
一次趨勢線,-20253.515809547232493 x + 10000000.000000000000000
一次預期報酬,-20253.515809547232493
一次風險,459107.361311544664204
一次趨勢值,-9298538200.602882385253906
找到最佳解世代,2336
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,1
MRK[17](1),
Stock#,MRK[17](1),
張數,265181,
分配資金,10000000.000000000000000,
剩餘資金,24.490000000223517,
FS( 1 ),10000000.000000000000000,10000000.000000000000000
FS( 2 ),9915142.080000000074506,9915142.080000000074506
FS( 3 ),9878016.740000000223517,9878016.740000000223517
FS( 4 ),9756033.480000000447035,9756033.480000000447035
FS( 5 ),9753381.669999999925494,9753381.669999999925494
FS( 6 ),9803766.060000000521541,9803766.060000000521541
FS( 7 ),9771944.339999999850988,9771944.339999999850988
FS( 8 ),9732167.190000001341105,9732167.190000001341105
FS( 9 ),9602228.500000000000000,9602228.500000000000000
FS( 10 ),9557147.730000000447035,9557147.730000000447035
FS( 11 ),9469638.000000000000000,9469638.000000000000000
FS( 12 ),9520022.390000000596046,9520022.390000000596046
FS( 13 ),9562451.350000001490116,9562451.350000001490116
FS( 14 ),9212412.430000001564622,9212412.430000001564622
FS( 15 ),8955186.860000001266599,8955186.860000001266599
FS( 16 ),9403342.750000000000000,9403342.750000000000000
FS( 17 ),9281359.490000000223517,9281359.490000000223517
FS( 18 ),9143465.369999999180436,9143465.369999999180436
FS( 19 ),9164679.850000001490116,9164679.850000001490116
FS( 20 ),9347654.740000000223517,9347654.740000000223517
FS( 21 ),9291966.730000000447035,9291966.730000000447035
FS( 22 ),9352958.360000001266599,9352958.360000001266599
FS( 23 ),9496156.100000001490116,9496156.100000001490116
FS( 24 ),9437816.280000001192093,9437816.280000001192093
FS( 25 ),9087777.360000001266599,9087777.360000001266599
FS( 26 ),8880936.180000001564622,8880936.180000001564622
FS( 27 ),9082473.740000000223517,9082473.740000000223517
FS( 28 ),8886239.799999998882413,8886239.799999998882413
FS( 29 ),8920713.330000000074506,8920713.330000000074506
FS( 30 ),8833203.600000001490116,8833203.600000001490116
FS( 31 ),8719175.770000001415610,8719175.770000001415610
FS( 32 ),8692657.669999999925494,8692657.669999999925494
FS( 33 ),8578629.839999999850988,8578629.839999999850988
FS( 34 ),8650228.709999999031425,8650228.709999999031425
FS( 35 ),8438083.910000000149012,8438083.910000000149012
FS( 36 ),8496423.730000000447035,8496423.730000000447035
FS( 37 ),8448691.150000000372529,8448691.150000000372529
FS( 38 ),8501727.350000001490116,8501727.350000001490116
FS( 39 ),8597192.509999999776483,8597192.509999999776483
FS( 40 ),8915409.709999999031425,8915409.709999999031425
FS( 41 ),8933972.379999998956919,8933972.379999998956919
FS( 42 ),8891543.419999999925494,8891543.419999999925494
FS( 43 ),9111643.650000000372529,9111643.650000000372529
FS( 44 ),9093080.980000000447035,9093080.980000000447035
FS( 45 ),8796078.259999999776483,8796078.259999999776483
FS( 46 ),8833203.600000001490116,8833203.600000001490116
FS( 47 ),8965794.100000001490116,8965794.100000001490116
FS( 48 ),8939276.000000000000000,8939276.000000000000000
FS( 49 ),9188546.140000000596046,9188546.140000000596046
FS( 50 ),9244234.150000000372529,9244234.150000000372529
FS( 51 ),9286663.110000001266599,9286663.110000001266599
FS( 52 ),9551844.110000001266599,9551844.110000001266599
FS( 53 ),9549192.299999998882413,9549192.299999998882413
FS( 54 ),9509415.150000000372529,9509415.150000000372529
FS( 55 ),9459030.759999999776483,9459030.759999999776483
FS( 56 ),9313181.209999999031425,9313181.209999999031425
FS( 57 ),9315833.020000001415610,9315833.020000001415610
FS( 58 ),9392735.509999999776483,9392735.509999999776483
FS( 59 ),9443119.900000000372529,9443119.900000000372529
FS( 60 ),9527977.820000000298023,9527977.820000000298023
FS( 61 ),9530629.629999998956919,9530629.629999998956919
FS( 62 ),9395387.320000000298023,9395387.320000000298023
FS( 63 ),9273404.060000000521541,9273404.060000000521541
