代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11754445.679999999701977
真實報酬,1754445.679999999701977

夏普值報酬,0.166744568000000
夏普值風險,0.056767233427648
夏普值,2.937338283580850

二次趨勢線,269.978513736837442 x^2 + 13467.904447774468281 x + 10000000.000000000000000
二次加權預期報酬,36686.056629142491147
風險,139641.404704540094826
二次加權趨勢值,0.262716181542033
一次趨勢線,26527.330228533097397 x + 10000000.000000000000000
一次預期報酬,26527.330228533097397
一次風險,188106.545978851441760
一次趨勢值,0.141022897903380
找到最佳解世代,1849
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
UTX[24](2),WBA[27](1),WMT[28](8),
Stock#,UTX[24](2),WBA[27](1),WMT[28](8),
張數,32100,56458,43790,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,69.000000000000000,52.680000000167638,38.199999999720603,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3314073.000000000000000,3373982.760000000242144,3338149.899999999906868,10026206.660000000149012
FS( 3 ),3351951.000000000000000,3431005.340000000316650,3385880.999999999534339,10168838.339999999850988
FS( 4 ),3345531.000000000000000,3424230.379999999888241,3387194.699999999254942,10156957.079999998211861
FS( 5 ),3255651.000000000000000,3378499.400000000372529,3385005.199999999720603,10019156.599999999627471
FS( 6 ),3294492.000000000000000,3469961.360000000335276,3426167.799999999348074,10190622.160000000149012
FS( 7 ),3208143.000000000000000,3475042.580000000074506,3409527.599999999627471,10092714.179999999701977
FS( 8 ),3208143.000000000000000,3556342.100000000093132,3428357.299999999813735,10192843.399999998509884
FS( 9 ),3187920.000000000000000,3426488.700000000186265,3396390.599999999627471,10010800.300000000745058
FS( 10 ),3213921.000000000000000,3426488.700000000186265,3414782.399999999906868,10055193.099999999627471
FS( 11 ),3183426.000000000000000,3441167.780000000260770,3293046.199999999720603,9917640.980000000447035
FS( 12 ),3185352.000000000000000,3409551.300000000279397,3232615.999999999534339,9827520.300000000745058
FS( 13 ),3259182.000000000000000,3402776.340000000316650,3244877.199999999254942,9906836.539999999105930
FS( 14 ),3257577.000000000000000,3398824.280000000260770,3290418.799999999813735,9946821.080000000074506
FS( 15 ),3273627.000000000000000,3475042.580000000074506,3328953.999999999534339,10077624.580000000074506
