代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10959755.209999999031425
真實報酬,959755.209999999031425

夏普值報酬,0.087275521000000
夏普值風險,0.028409400766484
夏普值,3.072064832249545

二次趨勢線,-34.375553787429325 x^2 + 18507.804577988921665 x + 10000000.000000000000000
二次加權預期報酬,15597.341023986569780
風險,74853.039157635445008
二次加權趨勢值,0.208372848978645
一次趨勢線,16870.770331481999165 x + 10000000.000000000000000
一次預期報酬,16870.770331481999165
一次風險,76452.079495495345327
一次趨勢值,0.220671176543681
找到最佳解世代,2000
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
DIS[6](4),GS[8](2),JPM[13](1),NKE[19](3),
Stock#,DIS[6](4),GS[8](2),JPM[13](1),NKE[19](3),
張數,23710,13005,41701,50220,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,17.600000000093132,48.850000000093132,25.049999999813735,48.399999999906868,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2513277.600000000093132,2491156.600000000093132,2523769.569999999832362,2502511.000000000000000,10030714.769999999552965
FS( 3 ),2504504.899999999906868,2497659.100000000093132,2521684.519999999552965,2504519.799999999813735,10028368.320000000298023
FS( 4 ),2499762.900000000372529,2502080.799999999813735,2537530.899999999906868,2501506.600000000093132,10040881.199999999254942
FS( 5 ),2521813.200000000186265,2504291.649999999906868,2545871.099999999627471,2532140.799999999813735,10104116.750000000000000
FS( 6 ),2531534.299999999813735,2534593.299999999813735,2563385.519999999552965,2529127.600000000093132,10158640.719999998807907
FS( 7 ),2535802.100000000093132,2544347.049999999813735,2572976.750000000000000,2510546.200000000186265,10163672.100000001490116
FS( 8 ),2525369.700000000186265,2543566.750000000465661,2588406.119999999646097,2492969.199999999720603,10150311.769999999552965
FS( 9 ),2528926.200000000186265,2571397.450000000186265,2628856.089999999850988,2499497.800000000279397,10228677.540000000968575
FS( 10 ),2536513.400000000372529,2615354.350000000093132,2677646.259999999776483,2507030.799999999813735,10336544.809999998658895
FS( 11 ),2563068.600000000093132,2603779.900000000372529,2660965.859999999869615,2508537.399999999906868,10336351.759999999776483
FS( 12 ),2529637.500000000000000,2566585.600000000093132,2620515.890000000130385,2474890.000000000000000,10191628.990000000223517
FS( 13 ),2565913.800000000279397,2576339.350000000093132,2637196.290000000037253,2511048.399999999906868,10290497.839999999850988
FS( 14 ),2553110.400000000372529,2559953.050000000279397,2598414.359999999869615,2518581.399999999906868,10230059.210000000894070
FS( 15 ),2559275.000000000000000,2579200.450000000186265,2624685.989999999757856,2515066.000000000000000,10278227.439999999478459
FS( 16 ),2584407.600000000093132,2592075.399999999906868,2618847.849999999627471,2539171.600000000093132,10334502.449999999254942
FS( 17 ),2596973.899999999906868,2574908.800000000279397,2610507.649999999906868,2535153.999999999534339,10317544.349999999627471
FS( 18 ),2611911.200000000186265,2555791.450000000186265,2599665.390000000130385,2534651.799999999813735,10302019.839999999850988
FS( 19 ),2606220.800000000279397,2568406.300000000279397,2617179.809999999590218,2507533.000000000000000,10299339.910000000149012
FS( 20 ),2603612.700000000186265,2582321.649999999906868,2652208.649999999906868,2515568.200000000186265,10353711.199999999254942
FS( 21 ),2577768.800000000279397,2554490.949999999720603,2638030.309999999590218,2481920.799999999813735,10252210.859999999403954
FS( 22 ),2620446.799999999813735,2568926.500000000000000,2652625.659999999683350,2530634.199999999720603,10372633.159999998286366
FS( 23 ),2632538.899999999906868,2591945.350000000093132,2698913.769999999552965,2532140.799999999813735,10455538.820000000298023
FS( 24 ),2627322.700000000186265,2565805.299999999813735,2685569.450000000186265,2521594.600000000093132,10400292.050000000745058
FS( 25 ),2601478.800000000279397,2552280.100000000093132,2665552.969999999739230,2516572.600000000093132,10335884.470000000670552
FS( 26 ),2590572.200000000186265,2567105.799999999813735,2689739.549999999813735,2547708.999999999534339,10395126.549999998882413
FS( 27 ),2610725.700000000186265,2607551.350000000093132,2731023.539999999571592,2572316.799999999813735,10521617.390000000596046
FS( 28 ),2574923.600000000093132,2623547.500000000000000,2729355.500000000000000,2581356.399999999906868,10509183.000000000000000
FS( 29 ),2590098.000000000000000,2607941.500000000000000,2725602.409999999683350,2570810.199999999720603,10494452.109999999403954
FS( 30 ),2588912.500000000000000,2619646.000000000000000,2732274.569999999832362,2565286.000000000000000,10506119.070000000298023
FS( 31 ),2606457.900000000372529,2635121.950000000186265,2754376.099999999627471,2597426.799999999813735,10593382.750000000000000
FS( 32 ),2615230.600000000093132,2639673.700000000186265,2747286.929999999701977,2636096.200000000186265,10638287.429999999701977
FS( 33 ),2615941.899999999906868,2661652.149999999906868,2769805.469999999739230,2630572.000000000000000,10677971.519999999552965
FS( 34 ),2621395.200000000186265,2671275.850000000093132,2794409.060000000055879,2627558.799999999813735,10714638.910000000149012
FS( 35 ),2612859.600000000093132,2667114.250000000465661,2772307.529999999795109,2627056.600000000093132,10679337.980000000447035
FS( 36 ),2617364.500000000000000,2665423.600000000093132,2779396.700000000186265,2621532.399999999906868,10683717.199999999254942
FS( 37 ),2614282.200000000186265,2702487.850000000093132,2771890.519999999552965,2622536.799999999813735,10711197.370000001043081
FS( 38 ),2594840.000000000000000,2684020.750000000000000,2741031.779999999795109,2596924.600000000093132,10616817.129999998956919
FS( 39 ),2616890.300000000279397,2718874.149999999906868,2771890.519999999552965,2582360.799999999813735,10690015.769999999552965
FS( 40 ),2620683.899999999906868,2711331.250000000000000,2760631.250000000000000,2568801.399999999906868,10661447.800000000745058
FS( 41 ),2616890.300000000279397,2681549.800000000279397,2743116.830000000074506,2553233.200000000186265,10594790.130000000819564
FS( 42 ),2630879.199999999720603,2702617.899999999906868,2755627.129999999888241,2555242.000000000000000,10644366.230000000447035
FS( 43 ),2625900.100000000093132,2684671.000000000000000,2753125.069999999832362,2564281.600000000093132,10627977.769999999552965
FS( 44 ),2635858.300000000279397,2708860.299999999813735,2781481.750000000000000,2574325.599999999627471,10700525.949999999254942
FS( 45 ),2615230.600000000093132,2716403.200000000186265,2766052.379999999888241,2560263.999999999534339,10657950.179999999701977
FS( 46 ),2615230.600000000093132,2736951.100000000093132,2811506.469999999739230,2562272.800000000279397,10725960.970000000670552
FS( 47 ),2591283.500000000465661,2728367.799999999813735,2789404.939999999944121,2547206.799999999813735,10656263.039999999105930
FS( 48 ),2573026.799999999813735,2718353.950000000186265,2801498.229999999981374,2545198.000000000000000,10638076.980000000447035
FS( 49 ),2608117.600000000093132,2771804.500000000000000,2846535.310000000055879,2594915.799999999813735,10821373.210000000894070
FS( 50 ),2622817.800000000279397,2782338.550000000279397,2857377.569999999832362,2608475.199999999720603,10871009.119999999180436
FS( 51 ),2606932.100000000093132,2770894.149999999906868,2846118.299999999813735,2605964.199999999720603,10829908.750000000000000
FS( 52 ),2612385.400000000372529,2753987.649999999906868,2835276.039999999571592,2595418.000000000000000,10797067.089999999850988
FS( 53 ),2633250.200000000186265,2777396.649999999906868,2851122.419999999925494,2625550.000000000000000,10887319.269999999552965
FS( 54 ),2643445.500000000000000,2769203.500000000000000,2841531.189999999944121,2630572.000000000000000,10884752.189999999478459
FS( 55 ),2684463.800000000279397,2790921.850000000093132,2868219.830000000074506,2661708.399999999906868,11005313.880000000819564
FS( 56 ),2670237.800000000279397,2772584.800000000279397,2839029.129999999888241,2675267.800000000279397,10957119.530000001192093
FS( 57 ),2691813.899999999906868,2815761.399999999906868,2875726.009999999776483,2681796.399999999906868,11065097.709999999031425
FS( 58 ),2712678.700000000186265,2840340.850000000093132,2908669.799999999813735,2691840.399999999906868,11153529.750000001862645
FS( 59 ),2697504.299999999813735,2788711.000000000000000,2878228.069999999832362,2667232.600000000093132,11031675.969999998807907
FS( 60 ),2713627.100000000093132,2767772.950000000186265,2862798.700000000186265,2642122.600000000093132,10986321.350000001490116
FS( 61 ),2726430.500000000000000,2772324.699999999720603,2875309.000000000000000,2755117.600000000093132,11129181.799999998882413
FS( 62 ),2680433.100000000093132,2700537.100000000093132,2802332.250000000000000,2703893.200000000186265,10887195.650000000372529
FS( 63 ),2706277.000000000000000,2715362.799999999813735,2825684.810000000055879,2712430.599999999627471,10959755.209999999031425
