代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,9499868.570000000298023
真實報酬,-500131.429999999701977

夏普值報酬,-0.058713143000000
夏普值風險,0.051087399106200
夏普值,-1.149268587307565

二次趨勢線,1548.669214488183343 x^2 + -97623.325472304233699 x + 10000000.000000000000000
二次加權預期報酬,29367.550115726797230
風險,272363.089273201883771
二次加權趨勢值,0.107825000054500
一次趨勢線,-26195.679506519954884 x + 10000000.000000000000000
一次預期報酬,-26195.679506519954884
一次風險,711569.341733330511488
一次趨勢值,-18640042422.711700439453125
找到最佳解世代,2458
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,2
INTC[11](3),WMT[28](2),
Stock#,INTC[11](3),WMT[28](2),
張數,328947,87443,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,5.600000000558794,9.259999999776483,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4904605.370000001043081,4942287.620000000111759,9846892.990000002086163
FS( 3 ),5055920.990000000223517,4898566.120000000111759,9954487.109999999403954
FS( 4 ),4750000.280000000260770,4856593.479999999515712,9606593.759999999776483
FS( 5 ),4786184.450000001117587,4492830.599999999627471,9279015.050000000745058
FS( 6 ),4654605.650000000372529,4510319.199999999254942,9164924.849999999627471
FS( 7 ),4536184.730000000447035,4493705.030000000260770,9029889.760000001639128
FS( 8 ),4496711.090000000782311,4557538.419999999925494,9054249.510000001639128
FS( 9 ),4302632.360000000335276,4508570.339999999850988,8811202.699999999254942
FS( 10 ),4371711.230000000447035,4490207.309999999590218,8861918.539999999105930
FS( 11 ),4519737.380000000819564,4508570.339999999850988,9028307.720000000670552
FS( 12 ),4230264.020000000484288,4421127.339999999850988,8651391.359999999403954
FS( 13 ),4361842.820000000298023,4296958.280000000260770,8658801.100000001490116
FS( 14 ),4217106.140000000596046,4273348.669999999925494,8490454.810000000521541
FS( 15 ),4315790.240000000223517,4227878.309999999590218,8543668.550000000745058
FS( 16 ),4401316.460000000894070,4249739.059999999590218,8651055.519999999552965
FS( 17 ),4542763.670000000856817,4266353.229999999515712,8809116.900000000372529
FS( 18 ),4608553.070000000298023,4261106.649999999441206,8869659.719999998807907
FS( 19 ),4398026.990000000223517,4185031.239999999757856,8583058.230000000447035
FS( 20 ),4243421.900000000372529,4120323.419999999459833,8363745.320000000298023
FS( 21 ),4483553.210000000894070,4072229.770000000018626,8555782.980000000447035
FS( 22 ),4516447.910000001080334,4180659.089999999850988,8697107.000000000000000
FS( 23 ),4565789.960000000894070,4059113.319999999832362,8624903.280000001192093
FS( 24 ),4687500.350000000558794,4246241.339999999850988,8933741.690000001341105
FS( 25 ),4845394.910000001080334,4339805.349999999627471,9185200.260000001639128
FS( 26 ),4904605.370000001043081,4309200.299999999813735,9213805.670000001788139
FS( 27 ),4631579.360000000335276,4172789.219999999739230,8804368.580000000074506
FS( 28 ),4631579.360000000335276,4217385.149999999441206,8848964.509999999776483
FS( 29 ),4605263.600000000558794,4208640.849999999627471,8813904.449999999254942
FS( 30 ),4565789.960000000894070,4068732.049999999813735,8634522.010000001639128
FS( 31 ),4345395.470000000670552,4218259.580000000074506,8563655.050000000745058
FS( 32 ),4394737.520000000484288,4372159.259999999776483,8766896.780000001192093
FS( 33 ),4171053.560000000521541,4411508.610000000335276,8582562.170000001788139
FS( 34 ),4203948.260000000707805,4373908.120000000111759,8577856.380000000819564
FS( 35 ),3973685.360000000800937,4274223.099999999627471,8247908.460000000894070
FS( 36 ),4187500.910000000614673,4373033.689999999478459,8560534.599999999627471
FS( 37 ),4286185.010000000707805,4303079.290000000037253,8589264.300000000745058
FS( 38 ),4180921.970000000670552,4219134.009999999776483,8400055.980000000447035
FS( 39 ),4190790.380000000819564,4305702.580000000074506,8496492.960000000894070
FS( 40 ),4049343.170000000856817,4200770.979999999515712,8250114.150000000372529
FS( 41 ),4039474.760000000242144,4143058.600000000093132,8182533.360000000335276
FS( 42 ),4197369.320000000298023,4240120.330000000074506,8437489.650000000372529
FS( 43 ),4049343.170000000856817,4350298.509999999776483,8399641.679999999701977
FS( 44 ),4082237.870000000577420,4276846.389999999664724,8359084.259999999776483
FS( 45 ),4128290.450000000651926,4154426.189999999478459,8282716.640000000596046
FS( 46 ),4578947.840000000782311,4255860.070000000298023,8834807.910000000149012
FS( 47 ),4592105.720000000670552,4150054.040000000037253,8742159.760000001639128
FS( 48 ),4776316.040000000037253,4279469.679999999701977,9055785.719999998807907
FS( 49 ),4835526.500000000000000,4301330.429999999701977,9136856.929999999701977
FS( 50 ),4687500.350000000558794,4267227.659999999217689,8954728.009999999776483
FS( 51 ),4901315.900000000372529,4372159.259999999776483,9273475.160000000149012
FS( 52 ),5013157.880000000819564,4410634.179999999701977,9423792.060000000521541
FS( 53 ),4983552.650000000372529,4367787.110000000335276,9351339.760000001639128
FS( 54 ),4819079.150000000372529,4336307.629999999888241,9155386.780000001192093
FS( 55 ),5105263.040000000037253,4501574.899999999441206,9606837.939999999478459
FS( 56 ),4934210.600000000558794,4466597.699999999254942,9400808.300000000745058
FS( 57 ),4914473.780000000260770,4519063.500000000000000,9433537.280000001192093
FS( 58 ),5203947.140000000596046,4613501.939999999478459,9817449.080000000074506
FS( 59 ),5072368.340000000782311,4596887.769999999552965,9669256.109999999403954
FS( 60 ),4842105.440000000409782,4526058.939999999478459,9368164.379999998956919
FS( 61 ),4944079.010000000707805,4555789.559999999590218,9499868.570000000298023
