代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11133030.000000000000
真實報酬,1133030.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,10603.143439695848
風險,78107.234260778438
起點值,0.135751106028
找到最佳解世代,1778
找到最佳解實驗#,1
找到最佳解次數,23

投資組合檔數,10
1301(3)[9],2303(13)[27],2317(16)[7],2801(28)[2],2882(31)[5],2885(34)[1],2886(35)[3],3481(43)[17],4904(44)[31],9999(49)[28],
Stock#,1301(3)[9],2303(13)[27],2317(16)[7],2801(28)[2],2882(31)[5],2885(34)[1],2886(35)[3],3481(43)[17],4904(44)[31],9999(49)[28],
張數,13,89,13,66,26,91,48,92,14,-1,
分配資金,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,
剩餘資金,33710.000000000000,4090.000000000000,9530.000000000000,11319.999999999884,300.000000000000,9920.000000000000,4480.000000000000,3640.000000000000,18040.000000000000,1000000.000000000000,
FS( 1 ),1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,1000000.000000000000,10000000.000000000000
FS( 2 ),1008710.000000000000,1000000.000000000000,1003770.000000000000,1015179.999999999900,1010140.000000000100,1009100.000000000100,995200.000000000000,995400.000000000000,1001260.000000000000,1000000.000000000000,10038760.000000000000
FS( 3 ),1003770.000000000100,1000000.000000000000,1005070.000000000000,1011880.000000000000,1001300.000000000000,1004550.000000000000,995200.000000000000,995400.000000000000,1010640.000000000100,1000000.000000000000,10027810.000000000000
FS( 4 ),1011180.000000000000,1000000.000000000000,1012480.000000000000,1005939.999999999900,1004940.000000000000,1004550.000000000000,1000000.000000000000,1009200.000000000000,1009239.999999999900,1000000.000000000000,10057530.000000000000
FS( 5 ),1016119.999999999900,991990.000000000000,1010009.999999999900,1000000.000000000000,1002600.000000000000,1004550.000000000000,995200.000000000000,981600.000000000000,1003920.000000000000,1000000.000000000000,10005990.000000000000
FS( 6 ),1019760.000000000000,1004450.000000000000,1023790.000000000000,1011880.000000000000,998700.000000000000,1000000.000000000000,993280.000000000120,963200.000000000000,1020019.999999999900,1000000.000000000000,10035080.000000000000
FS( 7 ),1021060.000000000000,996440.000000000000,1030030.000000000000,1011880.000000000000,1015080.000000000000,1004550.000000000000,995200.000000000000,972400.000000000000,1017359.999999999900,1000000.000000000000,10064000.000000000000
