代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11962130.000000000000
真實報酬,1962130.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,14664.717035634725
風險,133348.646451151930
起點值,0.109972747575
找到最佳解世代,1140
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
2325(16)[1],2330(17)[2],2412(24)[7],
Stock#,2325(16)[1],2330(17)[2],2412(24)[7],
張數,91,26,37,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,10013.000000000000,101013.000000000470,1853.000000000000,
FS( 1 ),3333333.000000000000,3333333.000000000000,3333333.000000000000,10000000.000000000000
FS( 2 ),3293292.999999999500,3296933.000000000500,3343692.999999999500,9933920.000000000000
FS( 3 ),3255983.000000000500,3309153.000000000500,3330003.000000000000,9895140.000000000000
FS( 4 ),3235963.000000000500,3321113.000000000500,3330003.000000000000,9887080.000000000000
FS( 5 ),3255983.000000000500,3369733.000000000500,3326673.000000000000,9952390.000000000000
FS( 6 ),3285103.000000000000,3393913.000000000500,3326673.000000000000,10005690.000000000000
FS( 7 ),3313312.999999999500,3454233.000000000500,3343692.999999999500,10111240.000000000000
FS( 8 ),3285103.000000000000,3430053.000000000500,3340363.000000000000,10055520.000000000000
FS( 9 ),3325143.000000000000,3405873.000000000500,3340363.000000000000,10071380.000000000000
FS( 10 ),3459822.999999999500,3490633.000000000500,3353683.000000000000,10304140.000000000000
FS( 11 ),3581763.000000000000,3430053.000000000500,3333333.000000000000,10345150.000000000000
FS( 12 ),3476203.000000000500,3442273.000000000000,3370703.000000000000,10289180.000000000000
FS( 13 ),3496223.000000000000,3466453.000000000500,3377363.000000000000,10340040.000000000000
FS( 14 ),3479843.000000000500,3454233.000000000500,3370703.000000000000,10304780.000000000000
FS( 15 ),3418873.000000000000,3430053.000000000500,3374033.000000000000,10222960.000000000000
FS( 16 ),3540812.999999999500,3490633.000000000500,3377363.000000000000,10408810.000000000000
FS( 17 ),3540812.999999999500,3490633.000000000500,3394013.000000000500,10425460.000000000000
FS( 18 ),3524432.999999999500,3466453.000000000500,3394013.000000000500,10384900.000000000000
FS( 19 ),3557193.000000000000,3442273.000000000000,3394013.000000000500,10393480.000000000000
FS( 20 ),3496223.000000000000,3405873.000000000500,3394013.000000000500,10296110.000000000000
FS( 21 ),3512603.000000000000,3405873.000000000500,3367003.000000000000,10285480.000000000000
FS( 22 ),3512603.000000000000,3430053.000000000500,3394013.000000000500,10336670.000000000000
FS( 23 ),3528983.000000000500,3478673.000000000500,3377363.000000000000,10385020.000000000000
FS( 24 ),3630903.000000000000,3599573.000000000500,3377363.000000000000,10607840.000000000000
FS( 25 ),3614522.999999999500,3551213.000000000500,3377363.000000000000,10543100.000000000000
FS( 26 ),3598143.000000000000,3490633.000000000500,3343692.999999999500,10432470.000000000000
FS( 27 ),3622713.000000000500,3538993.000000000000,3350353.000000000000,10512060.000000000000
FS( 28 ),3557193.000000000000,3478673.000000000500,3326673.000000000000,10362540.000000000000
FS( 29 ),3508963.000000000500,3430053.000000000500,3326673.000000000000,10265690.000000000000
FS( 30 ),3589953.000000000500,3454233.000000000500,3343692.999999999500,10387880.000000000000
FS( 31 ),3557193.000000000000,3393913.000000000500,3313353.000000000000,10264460.000000000000
FS( 32 ),3524432.999999999500,3369733.000000000500,3286343.000000000000,10180510.000000000000
FS( 33 ),3609973.000000000000,3454233.000000000500,3360343.000000000000,10424550.000000000000
FS( 34 ),3634542.999999999500,3418093.000000000500,3336663.000000000000,10389300.000000000000
FS( 35 ),3659113.000000000000,3502853.000000000500,3377363.000000000000,10539330.000000000000
FS( 36 ),3618163.000000000000,3514813.000000000500,3353683.000000000000,10486660.000000000000
FS( 37 ),3639093.000000000500,3514813.000000000500,3357013.000000000500,10510920.000000002000
FS( 38 ),3667303.000000000000,3478673.000000000500,3343692.999999999500,10489670.000000000000
FS( 39 ),3670943.000000000000,3514813.000000000500,3343692.999999999500,10529450.000000000000
FS( 40 ),3731913.000000000000,3551213.000000000500,3353683.000000000000,10636810.000000000000
FS( 41 ),3634542.999999999500,3466453.000000000500,3343692.999999999500,10444690.000000000000
FS( 42 ),3508963.000000000500,3466453.000000000500,3370703.000000000000,10346120.000000000000
FS( 43 ),3670943.000000000000,3551213.000000000500,3374033.000000000000,10596190.000000000000
FS( 44 ),3670943.000000000000,3551213.000000000500,3347023.000000000000,10569180.000000000000
FS( 45 ),3670943.000000000000,3551213.000000000500,3333333.000000000000,10555490.000000000000
FS( 46 ),3670943.000000000000,3502853.000000000500,3343692.999999999500,10517490.000000000000
FS( 47 ),3720083.000000000000,3575393.000000000500,3343692.999999999500,10639170.000000000000
FS( 48 ),3711893.000000000000,3551213.000000000500,3330003.000000000000,10593110.000000000000
FS( 49 ),3639093.000000000500,3502853.000000000500,3323343.000000000000,10465290.000000000000
FS( 50 ),3728272.999999999500,3514813.000000000500,3326673.000000000000,10569760.000000000000
FS( 51 ),3711893.000000000000,3478673.000000000500,3309653.000000000000,10500220.000000000000
FS( 52 ),3715533.000000000000,3466453.000000000500,3302993.000000000000,10484980.000000000000
FS( 53 ),4085903.000000000000,3442273.000000000000,3309653.000000000000,10837830.000000000000
FS( 54 ),3996723.000000000000,3575393.000000000500,3309653.000000000000,10881770.000000000000
FS( 55 ),4065883.000000000000,3611793.000000000500,3323343.000000000000,11001020.000000000000
FS( 56 ),4054053.000000000000,3538993.000000000000,3326673.000000000000,10919720.000000000000
FS( 57 ),4159613.000000000500,3527033.000000000900,3316683.000000000000,11003330.000000002000
FS( 58 ),4085903.000000000000,3538993.000000000000,3357013.000000000500,10981910.000000000000
FS( 59 ),4265173.000000000000,3527033.000000000900,3357013.000000000500,11149220.000000002000
FS( 60 ),4265173.000000000000,3538993.000000000000,3357013.000000000500,11161180.000000000000
FS( 61 ),4273363.000000000000,3563173.000000000500,3360343.000000000000,11196880.000000000000
FS( 62 ),4248793.000000000000,3575393.000000000500,3360343.000000000000,11184530.000000000000
FS( 63 ),4224223.000000000000,3538993.000000000000,3343692.999999999500,11106910.000000000000
FS( 64 ),4224223.000000000000,3551213.000000000500,3347023.000000000000,11122460.000000000000
FS( 65 ),4265173.000000000000,3563173.000000000500,3347023.000000000000,11175370.000000000000
FS( 66 ),4207843.000000000000,3478673.000000000500,3316683.000000000000,11003200.000000000000
FS( 67 ),4224223.000000000000,3442273.000000000000,3336663.000000000000,11003160.000000000000
FS( 68 ),4240603.000000000000,3381693.000000000900,3333333.000000000000,10955630.000000000000
FS( 69 ),4256983.000000000000,3321113.000000000500,3350353.000000000000,10928450.000000000000
FS( 70 ),4192372.999999999500,3345293.000000000500,3357013.000000000500,10894680.000000000000
FS( 71 ),4192372.999999999500,3321113.000000000500,3377363.000000000000,10890850.000000000000
FS( 72 ),4265173.000000000000,3321113.000000000500,3411033.000000000000,10997320.000000000000
FS( 73 ),4281553.000000000000,3333333.000000000000,3428053.000000000000,11042940.000000000000
FS( 74 ),4273363.000000000000,3284973.000000000500,3461723.000000000500,11020060.000000000000
FS( 75 ),4297933.000000000000,3418093.000000000500,3411033.000000000000,11127060.000000000000
FS( 76 ),4256983.000000000000,3418093.000000000500,3377363.000000000000,11052440.000000000000
FS( 77 ),4256983.000000000000,3442273.000000000000,3428053.000000000000,11127310.000000000000
FS( 78 ),4273363.000000000000,3357513.000000000500,3428053.000000000000,11058930.000000000000
FS( 79 ),4240603.000000000000,3369733.000000000500,3394013.000000000500,11004350.000000000000
