代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,13461530.000000000000
真實報酬,3461530.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,28847.147648031900
風險,328212.532629149030
起點值,0.087891670123
找到最佳解世代,1422
找到最佳解實驗#,1
找到最佳解次數,48

投資組合檔數,7
1101(0)[10],2301(13)[7],2330(20)[3],2881(33)[4],3008(42)[5],3481(45)[2],3673(47)[1],
Stock#,1101(0)[10],2301(13)[7],2330(20)[3],2881(33)[4],3008(42)[5],3481(45)[2],3673(47)[1],
張數,50,50,18,55,2,154,4,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,25071.000000000000,17071.000000000000,54631.000000000000,8471.000000000000,326551.000000000000,991.000000000000,56051.000000000000,
FS( 1 ),1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,10000000.000000000000
FS( 2 ),1420571.000000000000,1421071.000000000000,1439371.000000000200,1428571.000000000000,1460171.000000000000,1436271.000000000000,1480771.000000000000,10086800.000000000000
FS( 3 ),1414571.000000000000,1402571.000000000000,1442431.000000000000,1419771.000000000000,1463891.000000000000,1450131.000000000000,1493851.000000000000,10087220.000000000000
FS( 4 ),1438071.000000000000,1391071.000000000000,1454851.000000000000,1442321.000000000000,1460171.000000000000,1442430.999999999800,1488251.000000000000,10117170.000000000000
FS( 5 ),1442071.000000000000,1408071.000000000000,1460971.000000000000,1457721.000000000000,1488051.000000000000,1463991.000000000000,1510611.000000000000,10231490.000000000000
FS( 6 ),1442071.000000000000,1411571.000000000000,1431631.000000000000,1448921.000000000000,1463891.000000000000,1436271.000000000000,1473331.000000000000,10107690.000000000000
FS( 7 ),1457571.000000000000,1432071.000000000000,1400851.000000000000,1464871.000000000000,1445311.000000000000,1436271.000000000000,1473331.000000000000,10110280.000000000000
FS( 8 ),1428571.000000000000,1421071.000000000000,1376010.999999999800,1451121.000000000000,1462031.000000000000,1428571.000000000000,1458411.000000000000,10025790.000000000000
FS( 9 ),1407071.000000000000,1439571.000000000000,1388431.000000000000,1446721.000000000000,1463891.000000000000,1414711.000000000000,1454691.000000000000,10015090.000000000000
FS( 10 ),1438071.000000000000,1417071.000000000000,1389871.000000000200,1442321.000000000000,1465751.000000000000,1450131.000000000000,1447211.000000000000,10050430.000000000000
FS( 11 ),1455571.000000000000,1421071.000000000000,1406971.000000000000,1448921.000000000000,1473171.000000000000,1547150.999999999800,1503171.000000000000,10256030.000000000000
FS( 12 ),1465571.000000000000,1438071.000000000000,1405351.000000000000,1444521.000000000000,1456451.000000000000,1574871.000000000000,1518091.000000000000,10302930.000000000000
FS( 13 ),1461571.000000000000,1421071.000000000000,1416151.000000000000,1455521.000000000000,1462031.000000000000,1581031.000000000000,1506891.000000000000,10304270.000000000000
FS( 14 ),1493071.000000000000,1421071.000000000000,1394551.000000000000,1442321.000000000000,1450871.000000000000,1596430.999999999800,1493851.000000000000,10292170.000000000000
FS( 15 ),1500571.000000000000,1413571.000000000000,1383751.000000000200,1430771.000000000000,1434151.000000000000,1602591.000000000200,1480771.000000000000,10246180.000000000000
FS( 16 ),1493071.000000000000,1421071.000000000000,1379071.000000000000,1413171.000000000000,1428571.000000000000,1596430.999999999800,1488251.000000000000,10219640.000000000000
FS( 17 ),1495071.000000000000,1432071.000000000000,1374571.000000000000,1421971.000000000000,1426711.000000000000,1547150.999999999800,1506891.000000000000,10204440.000000000000
FS( 18 ),1506571.000000000000,1413571.000000000000,1365211.000000000000,1406571.000000000200,1432291.000000000000,1484011.000000000200,1473331.000000000000,10081560.000000000000
FS( 19 ),1448071.000000000000,1406071.000000000000,1403911.000000000000,1352671.000000000000,1471311.000000000000,1428571.000000000000,1443491.000000000000,9954100.000000000000
FS( 20 ),1467571.000000000000,1402571.000000000000,1416151.000000000000,1352671.000000000000,1460171.000000000000,1491711.000000000000,1350251.000000000000,9941100.000000000000
FS( 21 ),1485071.000000000000,1406071.000000000000,1414711.000000000000,1365871.000000000000,1478751.000000000000,1525591.000000000200,1353971.000000000000,10030040.000000000000
FS( 22 ),1487071.000000000000,1409571.000000000000,1425510.999999999800,1352671.000000000000,1482471.000000000000,1519430.999999999800,1424851.000000000000,10101580.000000000000
FS( 23 ),1454071.000000000000,1393071.000000000000,1433251.000000000200,1357071.000000000000,1502911.000000000000,1574871.000000000000,1469611.000000000000,10184860.000000000000
FS( 24 ),1483071.000000000000,1402571.000000000000,1444051.000000000000,1390620.999999999800,1499191.000000000000,1547150.999999999800,1482651.000000000000,10249310.000000000000
FS( 25 ),1512571.000000000000,1424571.000000000000,1450171.000000000000,1384021.000000000200,1469471.000000000000,1553311.000000000000,1501291.000000000000,10295410.000000000000
FS( 26 ),1522071.000000000000,1428571.000000000000,1451791.000000000000,1415370.999999999800,1525211.000000000000,1547150.999999999800,1544211.000000000000,10434380.000000000000
FS( 27 ),1528071.000000000000,1428571.000000000000,1460971.000000000000,1440121.000000000000,1608851.000000000000,1553311.000000000000,1572171.000000000000,10592070.000000000000
FS( 28 ),1508571.000000000000,1421071.000000000000,1453231.000000000200,1419771.000000000000,1660871.000000000000,1596430.999999999800,1605731.000000000000,10665680.000000000000
FS( 29 ),1495071.000000000000,1402571.000000000000,1457911.000000000000,1435721.000000000000,1638571.000000000000,1596430.999999999800,1659811.000000000000,10686090.000000000000
FS( 30 ),1495071.000000000000,1398571.000000000000,1465651.000000000000,1435721.000000000000,1616271.000000000000,1602591.000000000200,1616931.000000000000,10630810.000000000000
FS( 31 ),1467571.000000000000,1365071.000000000000,1450171.000000000000,1392821.000000000200,1590251.000000000000,1533291.000000000000,1603851.000000000000,10403030.000000000000
FS( 32 ),1461571.000000000000,1411571.000000000000,1453231.000000000200,1406571.000000000200,1595831.000000000000,1561011.000000000200,1633691.000000000000,10523480.000000000000
FS( 33 ),1444071.000000000000,1417071.000000000000,1448731.000000000200,1379621.000000000000,1608851.000000000000,1547150.999999999800,1644891.000000000000,10490390.000000000000
FS( 34 ),1446071.000000000000,1411571.000000000000,1448731.000000000200,1379621.000000000000,1580971.000000000000,1533291.000000000000,1607611.000000000000,10407870.000000000000
FS( 35 ),1454071.000000000000,1428571.000000000000,1445671.000000000000,1395021.000000000000,1616271.000000000000,1553311.000000000000,1572171.000000000000,10465090.000000000000
FS( 36 ),1461571.000000000000,1423071.000000000000,1451791.000000000000,1404370.999999999800,1601411.000000000000,1547150.999999999800,1577771.000000000000,10467140.000000000000
FS( 37 ),1461571.000000000000,1421071.000000000000,1453231.000000000200,1381821.000000000000,1621851.000000000000,1525591.000000000200,1607611.000000000000,10472750.000000000000
FS( 38 ),1436071.000000000000,1421071.000000000000,1465651.000000000000,1390620.999999999800,1612551.000000000000,1539451.000000000000,1598291.000000000000,10463710.000000000000
FS( 39 ),1461571.000000000000,1439571.000000000000,1530631.000000000000,1437920.999999999800,1659011.000000000000,1581031.000000000000,1633691.000000000000,10743430.000000000000
FS( 40 ),1461571.000000000000,1439571.000000000000,1527571.000000000000,1457721.000000000000,1727771.000000000000,1644171.000000000000,1684051.000000000000,10942430.000000000000
FS( 41 ),1446071.000000000000,1451071.000000000000,1542871.000000000200,1455521.000000000000,1722211.000000000000,1658031.000000000000,1659811.000000000000,10935590.000000000000
FS( 42 ),1430571.000000000000,1447071.000000000000,1536751.000000000200,1455521.000000000000,1729631.000000000000,1770451.000000000000,1674731.000000000000,11044730.000000000000
FS( 43 ),1481071.000000000000,1451071.000000000000,1546111.000000000000,1457721.000000000000,1740791.000000000000,1735031.000000000000,1766131.000000000000,11177930.000000000000
FS( 44 ),1510571.000000000000,1503571.000000000000,1580131.000000000000,1486870.999999999800,1802111.000000000000,1812031.000000000000,1786611.000000000000,11481900.000000000000
FS( 45 ),1508571.000000000000,1499571.000000000000,1567711.000000000000,1489071.000000000200,1772371.000000000000,1936771.000000000000,1782891.000000000000,11556960.000000000000
FS( 46 ),1496571.000000000000,1488571.000000000000,1547551.000000000000,1494021.000000000200,1789111.000000000000,2006071.000000000000,1878011.000000000000,11699910.000000000000
FS( 47 ),1516071.000000000000,1499571.000000000000,1552231.000000000200,1500620.999999999800,1813271.000000000000,2013771.000000000000,1907851.000000000000,11803390.000000000000
FS( 48 ),1504571.000000000000,1509071.000000000000,1547551.000000000000,1505021.000000000000,1917331.000000000000,1944470.999999999800,1907851.000000000000,11835870.000000000000
FS( 49 ),1563071.000000000000,1514571.000000000000,1570771.000000000000,1505021.000000000000,1924771.000000000000,2076911.000000000000,1891051.000000000000,12046170.000000000000
FS( 50 ),1547571.000000000000,1492071.000000000000,1546111.000000000000,1491271.000000000000,1960071.000000000000,2047650.999999999800,1900371.000000000000,11985120.000000000000
FS( 51 ),1543571.000000000000,1488571.000000000000,1573831.000000000000,1491271.000000000000,1935911.000000000000,1986051.000000000200,1928371.000000000000,11947580.000000000000
FS( 52 ),1547571.000000000000,1501571.000000000000,1575451.000000000000,1518221.000000000000,1922911.000000000000,2027631.000000000000,1928371.000000000000,12021730.000000000000
FS( 53 ),1549571.000000000000,1509071.000000000000,1587691.000000000000,1529771.000000000000,1891311.000000000000,2166231.000000000500,1920891.000000000000,12154540.000000000000
FS( 54 ),1549571.000000000000,1499571.000000000000,1575451.000000000000,1520420.999999999800,1783531.000000000000,2201651.000000000000,1878011.000000000000,12008210.000000000000
FS( 55 ),1541571.000000000000,1492071.000000000000,1553851.000000000000,1518221.000000000000,1703611.000000000000,2187790.999999999500,1810851.000000000000,11807970.000000000000
FS( 56 ),1537571.000000000000,1477071.000000000000,1549171.000000000000,1522621.000000000000,1729631.000000000000,2193951.000000000000,1909691.000000000000,11919710.000000000000
FS( 57 ),1528071.000000000000,1484571.000000000000,1558351.000000000000,1554521.000000000000,1785391.000000000000,2334091.000000000000,1928371.000000000000,12173370.000000000000
FS( 58 ),1528071.000000000000,1454571.000000000000,1538371.000000000200,1525370.999999999800,1805831.000000000000,2438811.000000000000,1965651.000000000000,12256680.000000000000
FS( 59 ),1489071.000000000000,1445571.000000000000,1519831.000000000000,1511620.999999999800,1766811.000000000000,2270951.000000000000,1939531.000000000000,11943390.000000000000
FS( 60 ),1457571.000000000000,1426571.000000000000,1533691.000000000000,1516021.000000000000,1770531.000000000000,2326391.000000000000,2002931.000000000000,12033710.000000000000
FS( 61 ),1489071.000000000000,1484571.000000000000,1525951.000000000000,1518221.000000000000,1746371.000000000000,2166231.000000000500,1950731.000000000000,11881150.000000000000
FS( 62 ),1508571.000000000000,1468071.000000000000,1546111.000000000000,1536371.000000000000,1779811.000000000000,2215511.000000000000,1988011.000000000000,12042460.000000000000
FS( 63 ),1536071.000000000000,1458571.000000000000,1538371.000000000200,1538571.000000000000,1770531.000000000000,2160071.000000000000,1988011.000000000000,11990200.000000000000
FS( 64 ),1541571.000000000000,1456571.000000000000,1532071.000000000000,1542971.000000000000,1763091.000000000000,2193951.000000000000,1973091.000000000000,12003320.000000000000
FS( 65 ),1543571.000000000000,1460571.000000000000,1553851.000000000000,1580921.000000000000,1772371.000000000000,2173931.000000000000,1969371.000000000000,12054590.000000000000
FS( 66 ),1547571.000000000000,1507071.000000000000,1593991.000000000000,1580921.000000000000,1872731.000000000000,2320231.000000000500,1999211.000000000000,12421730.000000000000
FS( 67 ),1541571.000000000000,1514571.000000000000,1615591.000000000000,1590271.000000000200,1857871.000000000000,2340250.999999999500,2017851.000000000000,12477980.000000000000
FS( 68 ),1547571.000000000000,1499571.000000000000,1623331.000000000000,1576521.000000000200,1816991.000000000000,2340250.999999999500,2036531.000000000000,12440770.000000000000
FS( 69 ),1543571.000000000000,1477071.000000000000,1607851.000000000000,1592471.000000000000,1712911.000000000000,2215511.000000000000,1961931.000000000000,12111320.000000000000
FS( 70 ),1528071.000000000000,1496071.000000000000,1595431.000000000000,1580921.000000000000,1698051.000000000000,2278651.000000000000,1883611.000000000000,12060810.000000000000
FS( 71 ),1530071.000000000000,1496071.000000000000,1600111.000000000000,1621620.999999999800,1705471.000000000000,2173931.000000000000,1861211.000000000000,11988490.000000000000
FS( 72 ),1573071.000000000000,1458571.000000000000,1615591.000000000000,1674971.000000000000,1683171.000000000000,2180091.000000000000,1883611.000000000000,12069080.000000000000
FS( 73 ),1573071.000000000000,1477071.000000000000,1615591.000000000000,1652971.000000000000,1716631.000000000000,2096931.000000000000,1879851.000000000000,12012120.000000000000
FS( 74 ),1567071.000000000000,1496071.000000000000,1631071.000000000000,1657371.000000000000,1670171.000000000000,2160071.000000000000,1835091.000000000000,12016920.000000000000
FS( 75 ),1547571.000000000000,1507071.000000000000,1607851.000000000000,1612271.000000000000,1673891.000000000000,2118491.000000000000,1809011.000000000000,11876160.000000000000
FS( 76 ),1545571.000000000000,1496071.000000000000,1587691.000000000000,1599071.000000000200,1690611.000000000000,2006071.000000000000,1767971.000000000000,11693060.000000000000
