代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,12695340.000000000000
真實報酬,2695340.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,19499.603710298565
風險,133734.742468254580
起點值,0.145808062665
找到最佳解世代,1350
找到最佳解實驗#,1
找到最佳解次數,20

投資組合檔數,5
1326(5)[1],2498(27)[2],2891(37)[8],3045(40)[9],9999(49)[30],
Stock#,1326(5)[1],2498(27)[2],2891(37)[8],3045(40)[9],9999(49)[30],
張數,36,3,199,40,-1,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,2720.000000000000,290840.000000000000,8010.000000000000,47200.000000000000,2000000.000000000000,
FS( 1 ),2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,10000000.000000000000
FS( 2 ),2012960.000000000200,1978250.000000000000,2023880.000000000200,1997200.000000000000,2000000.000000000000,10012290.000000000000
FS( 3 ),2000000.000000000000,1978250.000000000000,2023880.000000000200,1994000.000000000200,2000000.000000000000,9996130.000000000000
FS( 4 ),2000000.000000000000,2029010.000000000000,2019899.999999999800,1997200.000000000000,2000000.000000000000,10046110.000000000000
FS( 5 ),2028800.000000000000,2048360.000000000000,2019899.999999999800,2006399.999999999800,2000000.000000000000,10103460.000000000000
FS( 6 ),2023400.000000000000,2012090.000000000000,2019899.999999999800,2027599.999999999800,2000000.000000000000,10082990.000000000000
FS( 7 ),2007920.000000000000,2019349.999999999800,2009950.000000000000,2018400.000000000000,2000000.000000000000,10055620.000000000000
FS( 8 ),1986680.000000000000,1980650.000000000000,2013930.000000000000,2018400.000000000000,2000000.000000000000,9999660.000000000000
FS( 9 ),2000000.000000000000,1908140.000000000200,2013930.000000000000,2036800.000000000200,2000000.000000000000,9958870.000000000000
FS( 10 ),2094320.000000000000,1944410.000000000200,2053729.999999999800,2058000.000000000200,2000000.000000000000,10150460.000000000000
FS( 11 ),2136440.000000000500,1910539.999999999800,2059700.000000000000,2076000.000000000000,2000000.000000000000,10182680.000000000000
FS( 12 ),2144360.000000000000,1799360.000000000000,2049750.000000000000,2064000.000000000200,2000000.000000000000,10057470.000000000000
FS( 13 ),2131400.000000000500,1835599.999999999800,2053729.999999999800,2060800.000000000200,2000000.000000000000,10081530.000000000000
FS( 14 ),2141840.000000000000,1912970.000000000000,2029850.000000000000,2052000.000000000000,2000000.000000000000,10136660.000000000000
FS( 15 ),2160200.000000000000,1963729.999999999800,2033830.000000000000,2060800.000000000200,2000000.000000000000,10218560.000000000000
FS( 16 ),2170640.000000000000,1927460.000000000000,2023880.000000000200,2064000.000000000200,2000000.000000000000,10185980.000000000000
FS( 17 ),2270360.000000000000,1912970.000000000000,2019899.999999999800,2079200.000000000000,2000000.000000000000,10282430.000000000000
FS( 18 ),2336239.999999999500,1925060.000000000000,2013930.000000000000,2094400.000000000000,2000000.000000000000,10369630.000000000000
FS( 19 ),2333720.000000000000,1925060.000000000000,1968159.999999999800,2109600.000000000000,2000000.000000000000,10336540.000000000000
FS( 20 ),2378360.000000000000,2002430.000000000000,1964180.000000000000,2134000.000000000000,2000000.000000000000,10478970.000000000000
FS( 21 ),2309960.000000000500,1961330.000000000200,1934330.000000000000,2118800.000000000000,2000000.000000000000,10324420.000000000000
FS( 22 ),2341640.000000000000,2077370.000000000000,1954229.999999999800,2130800.000000000500,2000000.000000000000,10504040.000000000000
FS( 23 ),2341640.000000000000,2074940.000000000200,1958210.000000000000,2130800.000000000500,2000000.000000000000,10505590.000000000000
FS( 24 ),2330840.000000000000,2091860.000000000000,1954229.999999999800,2124800.000000000000,2000000.000000000000,10501730.000000000000
FS( 25 ),2338760.000000000000,2118470.000000000000,1994030.000000000000,2115600.000000000000,2000000.000000000000,10566860.000000000000
FS( 26 ),2454320.000000000000,2128130.000000000000,2009950.000000000000,2124800.000000000000,2000000.000000000000,10717200.000000000000
FS( 27 ),2493920.000000000500,2161970.000000000000,2009950.000000000000,2118800.000000000000,2000000.000000000000,10784640.000000000000
FS( 28 ),2499320.000000000000,2169230.000000000000,1994030.000000000000,2124800.000000000000,2000000.000000000000,10787380.000000000000
FS( 29 ),2504360.000000000000,2176490.000000000000,1984080.000000000000,2143200.000000000000,2000000.000000000000,10808130.000000000000
FS( 30 ),2435960.000000000500,2137790.000000000000,1994030.000000000000,2130800.000000000500,2000000.000000000000,10698580.000000000000
FS( 31 ),2378360.000000000000,2137790.000000000000,1968159.999999999800,2134000.000000000000,2000000.000000000000,10618310.000000000000
FS( 32 ),2360000.000000000000,2174060.000000000000,1944280.000000000000,2100400.000000000000,2000000.000000000000,10578740.000000000000
FS( 33 ),2420479.999999999500,2217560.000000000000,1938310.000000000000,2118800.000000000000,2000000.000000000000,10695150.000000000000
FS( 34 ),2391320.000000000000,2200640.000000000000,1914430.000000000000,2112800.000000000000,2000000.000000000000,10619190.000000000000
FS( 35 ),2394200.000000000500,2232080.000000000000,1924380.000000000200,2112800.000000000000,2000000.000000000000,10663460.000000000000
FS( 36 ),2367920.000000000500,2290100.000000000000,1924380.000000000200,2167600.000000000000,2000000.000000000000,10750000.000000000000
FS( 37 ),2367920.000000000500,2408540.000000000000,1928360.000000000200,2140000.000000000000,2000000.000000000000,10844820.000000000000
FS( 38 ),2346680.000000000000,2377130.000000000000,1898510.000000000000,2112800.000000000000,2000000.000000000000,10735120.000000000000
FS( 39 ),2357120.000000000000,2290100.000000000000,1898510.000000000000,2112800.000000000000,2000000.000000000000,10658530.000000000000
FS( 40 ),2354600.000000000000,2333600.000000000000,1928360.000000000200,2106800.000000000000,2000000.000000000000,10723360.000000000000
