代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11818210.000000000000
真實報酬,1818210.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,19044.575109929439
風險,180956.827045716930
起點值,0.105243750241
找到最佳解世代,2097
找到最佳解實驗#,4
找到最佳解次數,13

投資組合檔數,5
2317(16)[2],2474(26)[16],2882(31)[10],2887(36)[1],9999(50)[43],
Stock#,2317(16)[2],2474(26)[16],2882(31)[10],2887(36)[1],9999(50)[43],
張數,34,9,56,199,-1,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,39900.000000000000,197300.000000000000,8639.999999999767,4030.000000000233,2000000.000000000000,
FS( 1 ),2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,10000000.000000000000
FS( 2 ),2000000.000000000000,2028260.000000000000,1993279.999999999500,1994030.000000000200,2000000.000000000000,10015570.000000000000
FS( 3 ),2000000.000000000000,2048510.000000000000,2002240.000000000000,2000000.000000000000,2000000.000000000000,10050750.000000000000
FS( 4 ),2002380.000000000000,2024210.000000000000,2008959.999999999800,1994030.000000000200,2000000.000000000000,10029580.000000000000
FS( 5 ),2004760.000000000000,2020160.000000000000,2013439.999999999500,2029850.000000000200,2000000.000000000000,10068210.000000000000
FS( 6 ),2006800.000000000000,2044460.000000000000,2013439.999999999500,2029850.000000000200,2000000.000000000000,10094550.000000000000
FS( 7 ),2013599.999999999800,2024210.000000000000,2049279.999999999500,2051740.000000000000,2000000.000000000000,10138830.000000000000
FS( 8 ),1997620.000000000000,2008100.000000000000,2038079.999999999800,2043780.000000000200,2000000.000000000000,10087580.000000000000
FS( 9 ),2009180.000000000000,2000000.000000000000,2017920.000000000000,2037810.000000000500,2000000.000000000000,10064910.000000000000
FS( 10 ),2022780.000000000000,1979750.000000000000,1997760.000000000000,2021890.000000000500,2000000.000000000000,10022180.000000000000
FS( 11 ),2029580.000000000000,2076770.000000000000,1986559.999999999800,2015920.000000000000,2000000.000000000000,10108830.000000000000
FS( 12 ),2038760.000000000000,2129330.000000000000,1995519.999999999500,2007960.000000000200,2000000.000000000000,10171570.000000000000
FS( 13 ),2041140.000000000000,2113130.000000000000,1993279.999999999500,2015920.000000000000,2000000.000000000000,10163470.000000000000
FS( 14 ),2038760.000000000000,2129330.000000000000,1993279.999999999500,2000000.000000000000,2000000.000000000000,10161370.000000000000
FS( 15 ),2036380.000000000000,2177840.000000000000,2017920.000000000000,2000000.000000000000,2000000.000000000000,10232140.000000000000
FS( 16 ),2054740.000000000000,2194040.000000000000,2011199.999999999800,1994030.000000000200,2000000.000000000000,10254010.000000000000
FS( 17 ),2054740.000000000000,2323369.999999999500,1995519.999999999500,1980100.000000000200,2000000.000000000000,10353730.000000000000
FS( 18 ),2018360.000000000000,2270810.000000000000,1959119.999999999800,1994030.000000000200,2000000.000000000000,10242320.000000000000
FS( 19 ),2004760.000000000000,2412290.000000000500,1941199.999999999800,2007960.000000000200,2000000.000000000000,10366210.000000000000
FS( 20 ),2036380.000000000000,2408240.000000000000,1952399.999999999800,2015920.000000000000,2000000.000000000000,10412940.000000000000
FS( 21 ),2009180.000000000000,2254610.000000000000,1930000.000000000000,1986070.000000000500,2000000.000000000000,10179860.000000000000
FS( 22 ),2059160.000000000000,2274860.000000000000,1930000.000000000000,2007960.000000000200,2000000.000000000000,10271980.000000000000
FS( 23 ),2056780.000000000000,2379890.000000000000,1916559.999999999800,2015920.000000000000,2000000.000000000000,10369150.000000000000
FS( 24 ),2063580.000000000000,2355680.000000000000,2008959.999999999800,2043780.000000000200,2000000.000000000000,10472000.000000000000
FS( 25 ),2059160.000000000000,2311220.000000000000,1984319.999999999800,2043780.000000000200,2000000.000000000000,10398480.000000000000
