代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11290634.998350000000
真實報酬,1290634.998350000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,10797.890721696212
風險,54807.049702975950
起點值,0.197016456463
找到最佳解世代,1801
找到最佳解實驗#,4
找到最佳解次數,4

投資組合檔數,12
2324(16)[4],2325(17)[16],2382(21)[19],2474(27)[2],2886(36)[7],2892(40)[3],2912(41)[18],3008(42)[15],3045(43)[8],4904(45)[9],5880(47)[1],9999(50)[44],
Stock#,2324(16)[4],2325(17)[16],2382(21)[19],2474(27)[2],2886(36)[7],2892(40)[3],2912(41)[18],3008(42)[15],3045(43)[8],4904(45)[9],5880(47)[1],9999(50)[44],
張數,47,18,14,3,38,52,3,0,8,12,64,-1,
分配資金,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,
剩餘資金,7543.000000000000,5693.000000000000,31412.999999999884,177022.999999999880,4173.000000000000,9653.000000000000,155873.000000000000,833333.000000000000,38773.000000000000,14453.000000000116,53.000000000000,833333.000000000000,
FS( 1 ),833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,833333.000000000000,10000000.000000000000
FS( 2 ),833333.000000000000,830813.000000000120,833333.000000000000,828953.000000000000,845872.999999999880,838013.000000000000,820253.000000000000,833333.000000000000,848533.000000000000,845813.000000000120,833333.000000000000,833333.000000000000,10024920.000000000000
FS( 3 ),839913.000000000000,837653.000000000000,833333.000000000000,821692.999999999880,853093.000000000000,845293.000000000000,827513.000000000000,833333.000000000000,856133.000000000000,851573.000000000230,839093.000000000000,833333.000000000000,10071960.000000000000
FS( 4 ),837563.000000000000,833333.000000000000,838792.999999999880,826042.999999999880,854993.000000000000,845293.000000000000,815873.000000000000,833333.000000000000,844773.000000000000,851573.000000000230,839093.000000000000,833333.000000000000,10054000.000000000000
FS( 5 ),833333.000000000000,828113.000000000000,854752.999999999880,828953.000000000000,842453.000000000000,842693.000000000000,817343.000000000000,833333.000000000000,840933.000000000000,850373.000000000120,839093.000000000000,833333.000000000000,10044710.000000000000
FS( 6 ),835213.000000000000,830813.000000000120,853492.999999999770,826042.999999999880,851573.000000000000,845293.000000000000,820253.000000000000,833333.000000000000,840933.000000000000,849293.000000000000,842293.000000000000,833333.000000000000,10061870.000000000000
FS( 7 ),833333.000000000000,833333.000000000000,873512.999999999880,812962.999999999770,854993.000000000000,847373.000000000000,820253.000000000000,833333.000000000000,852373.000000000000,850373.000000000120,844853.000000000000,833333.000000000000,10090030.000000000000
FS( 8 ),826283.000000000120,841253.000000000120,880092.999999999880,801322.999999999880,862213.000000000000,849973.000000000000,833333.000000000000,833333.000000000000,848533.000000000000,850373.000000000120,848053.000000000000,833333.000000000000,10108100.000000000000
FS( 9 ),837563.000000000000,840353.000000000000,886812.999999999880,805673.000000000000,862213.000000000000,849973.000000000000,827513.000000000000,833333.000000000000,856133.000000000000,856133.000000000230,848053.000000000000,833333.000000000000,10137090.000000000000
FS( 10 ),848843.000000000000,834233.000000000000,880092.999999999880,814402.999999999880,851573.000000000000,845293.000000000000,821692.999999999880,833333.000000000000,852373.000000000000,861773.000000000000,842293.000000000000,833333.000000000000,10119240.000000000000
FS( 11 ),848843.000000000000,836033.000000000000,881492.999999999770,826042.999999999880,847773.000000000000,847373.000000000000,839153.000000000000,833333.000000000000,856133.000000000000,858413.000000000120,839093.000000000000,833333.000000000000,10147020.000000000000
FS( 12 ),846493.000000000000,834233.000000000000,880092.999999999880,821692.999999999880,840553.000000000120,845293.000000000000,826043.000000000000,833333.000000000000,852373.000000000000,860693.000000000120,839093.000000000000,833333.000000000000,10113230.000000000000
FS( 13 ),844143.000000000000,834233.000000000000,886812.999999999880,853703.000000000000,844353.000000000000,840093.000000000000,823133.000000000000,833333.000000000000,840933.000000000000,860693.000000000120,839093.000000000000,833333.000000000000,10133860.000000000000
FS( 14 ),841793.000000000000,832433.000000000000,877432.999999999880,882802.999999999880,840553.000000000120,840093.000000000000,817343.000000000000,833333.000000000000,837173.000000000000,857213.000000000120,842293.000000000000,833333.000000000000,10135800.000000000000
