代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11197019.996700000000
真實報酬,1197019.996700000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,10058.122455889748
風險,114949.970906167990
起點值,0.087500000014
找到最佳解世代,1999
找到最佳解實驗#,1
找到最佳解次數,41

投資組合檔數,6
1102(1)[10],2105(10)[4],2382(25)[1],3045(43)[38],4904(46)[3],9999(50)[30],
Stock#,1102(1)[10],2105(10)[4],2382(25)[1],3045(43)[38],4904(46)[3],9999(50)[30],
張數,71,41,36,24,39,-1,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,1716.000000000000,30766.000000000233,30106.000000000000,12586.000000000000,12286.000000000000,1666666.000000000000,
FS( 1 ),1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,10000000.000000000000
FS( 2 ),1691516.000000000000,1674046.000000000200,1664146.000000000000,1670265.999999999800,1666666.000000000000,1666666.000000000000,10033310.000000000000
FS( 3 ),1696486.000000000000,1676506.000000000200,1695466.000000000000,1668345.999999999800,1672516.000000000000,1666666.000000000000,10075990.000000000000
FS( 4 ),1711395.999999999800,1697006.000000000200,1715985.999999999800,1677225.999999999800,1669786.000000000000,1666666.000000000000,10138070.000000000000
FS( 5 ),1691516.000000000000,1706846.000000000500,1726426.000000000000,1643866.000000000000,1654965.999999999800,1666666.000000000000,10090290.000000000000
FS( 6 ),1694356.000000000000,1712176.000000000000,1726426.000000000000,1650826.000000000200,1654965.999999999800,1666666.000000000000,10105420.000000000000
FS( 7 ),1721336.000000000000,1727346.000000000500,1726426.000000000000,1661386.000000000200,1649116.000000000000,1666666.000000000000,10152280.000000000000
FS( 8 ),1721336.000000000000,1729806.000000000200,1741906.000000000000,1664985.999999999800,1599976.000000000000,1666666.000000000000,10124680.000000000000
FS( 9 ),1744056.000000000000,1749896.000000000000,1747306.000000000000,1664985.999999999800,1585156.000000000000,1666666.000000000000,10158070.000000000000
FS( 10 ),1749026.000000000000,1757686.000000000000,1747306.000000000000,1678906.000000000200,1605436.000000000000,1666666.000000000000,10205030.000000000000
FS( 11 ),1729145.999999999800,1701926.000000000000,1734346.000000000200,1670265.999999999800,1649116.000000000000,1666666.000000000000,10151470.000000000000
FS( 12 ),1741216.000000000000,1740056.000000000200,1715985.999999999800,1661386.000000000200,1611286.000000000000,1666666.000000000000,10136600.000000000000
FS( 13 ),1751156.000000000000,1747436.000000000000,1723906.000000000000,1621066.000000000000,1622985.999999999800,1666666.000000000000,10133220.000000000000
FS( 14 ),1778846.000000000000,1805656.000000000000,1695466.000000000000,1573785.999999999800,1663936.000000000000,1666666.000000000000,10184360.000000000000
FS( 15 ),1771036.000000000200,1805656.000000000000,1669546.000000000000,1582426.000000000000,1672516.000000000000,1666666.000000000000,10167850.000000000000
FS( 16 ),1746186.000000000000,1788026.000000000200,1672066.000000000000,1547386.000000000200,1660816.000000000200,1666666.000000000000,10081150.000000000000
FS( 17 ),1763936.000000000000,1775316.000000000200,1780786.000000000000,1538506.000000000000,1658086.000000000200,1666666.000000000000,10183300.000000000000
FS( 18 ),1788786.000000000200,1770396.000000000000,1770706.000000000200,1579066.000000000000,1672516.000000000000,1666666.000000000000,10248140.000000000000
FS( 19 ),1790916.000000000000,1752356.000000000500,1793746.000000000000,1573785.999999999800,1663936.000000000000,1666666.000000000000,10241410.000000000000
FS( 20 ),1790916.000000000000,1724886.000000000500,1747306.000000000000,1601866.000000000000,1707616.000000000000,1666666.000000000000,10239260.000000000000
FS( 21 ),1790916.000000000000,1729806.000000000200,1778266.000000000000,1587706.000000000000,1678366.000000000000,1666666.000000000000,10231730.000000000000
FS( 22 ),1801566.000000000200,1752356.000000000500,1884826.000000000000,1591306.000000000000,1684215.999999999800,1666666.000000000000,10380940.000000000000
FS( 23 ),1790916.000000000000,1755226.000000000200,1871865.999999999800,1573785.999999999800,1681485.999999999800,1666666.000000000000,10339950.000000000000
FS( 24 ),1803696.000000000000,1742516.000000000200,1871865.999999999800,1552666.000000000000,1666666.000000000000,1666666.000000000000,10304080.000000000000
FS( 25 ),1821446.000000000000,1737186.000000000000,1894906.000000000000,1568506.000000000000,1652235.999999999800,1666666.000000000000,10340950.000000000000
FS( 26 ),1806536.000000000200,1734726.000000000200,1845946.000000000000,1547386.000000000200,1637806.000000000000,1666666.000000000000,10239070.000000000000
FS( 27 ),1828546.000000000000,1732266.000000000200,1856026.000000000000,1559626.000000000000,1704496.000000000000,1666666.000000000000,10347630.000000000000
FS( 28 ),1821446.000000000000,1729806.000000000200,1835505.999999999800,1564906.000000000200,1754025.999999999800,1666666.000000000000,10372360.000000000000
FS( 29 ),1833516.000000000000,1719556.000000000200,1825066.000000000000,1545706.000000000200,1695916.000000000000,1666666.000000000000,10286430.000000000000
FS( 30 ),1843456.000000000000,1742516.000000000200,1832626.000000000000,1538506.000000000000,1687336.000000000200,1666666.000000000000,10311110.000000000000
FS( 31 ),1836356.000000000000,1772856.000000000500,1804186.000000000000,1556026.000000000000,1684215.999999999800,1666666.000000000000,10320310.000000000000
FS( 32 ),1856236.000000000000,1760146.000000000000,1835505.999999999800,1573785.999999999800,1684215.999999999800,1666666.000000000000,10376560.000000000000
FS( 33 ),1841326.000000000000,1749896.000000000000,1819666.000000000000,1575466.000000000000,1701766.000000000000,1666666.000000000000,10354790.000000000000
FS( 34 ),1853395.999999999800,1757686.000000000000,1793746.000000000000,1577146.000000000000,1818376.000000000200,1666666.000000000000,10467020.000000000000
FS( 35 ),1878246.000000000000,1863876.000000000500,1915786.000000000000,1598265.999999999800,1809406.000000000000,1666666.000000000000,10732250.000000000000
FS( 36 ),1871145.999999999800,1871256.000000000200,1879426.000000000000,1598265.999999999800,1759876.000000000200,1666666.000000000000,10646640.000000000000
FS( 37 ),1848426.000000000000,1873716.000000000200,1900306.000000000000,1610506.000000000000,1774695.999999999800,1666666.000000000000,10674320.000000000000
FS( 38 ),1838486.000000000000,1871256.000000000200,1861426.000000000000,1594666.000000000000,1739596.000000000000,1666666.000000000000,10572100.000000000000
FS( 39 ),1833516.000000000000,1803196.000000000000,1866466.000000000000,1582426.000000000000,1731016.000000000000,1666666.000000000000,10483290.000000000000
FS( 40 ),1785946.000000000000,1825746.000000000200,1845946.000000000000,1577146.000000000000,1716195.999999999800,1666666.000000000000,10417650.000000000000
FS( 41 ),1766066.000000000200,1833536.000000000200,1845946.000000000000,1587706.000000000000,1719316.000000000200,1666666.000000000000,10419240.000000000000
FS( 42 ),1780976.000000000000,1813036.000000000200,1853505.999999999800,1563225.999999999800,1754025.999999999800,1666666.000000000000,10431440.000000000000
FS( 43 ),1811506.000000000000,1823286.000000000200,1853505.999999999800,1563225.999999999800,1745445.999999999800,1666666.000000000000,10463640.000000000000
FS( 44 ),1771036.000000000200,1808116.000000000500,1845946.000000000000,1529866.000000000000,1722046.000000000200,1666666.000000000000,10343680.000000002000
FS( 45 ),1768906.000000000000,1838456.000000000200,1848466.000000000000,1549066.000000000000,1716195.999999999800,1666666.000000000000,10387760.000000000000
FS( 46 ),1771036.000000000200,1863876.000000000500,1840546.000000000000,1573785.999999999800,1745445.999999999800,1666666.000000000000,10461360.000000000000
