代數,10000
粒子數,10
旋轉角度上界,0.00125
旋轉角度下界,0.00045
實驗次數,50

初始資金,10000000.000000000000
最後資金,11027330.000000000000
真實報酬,1027330.000000000000

夏普值報酬,0.000000000000
夏普值風險,0.000000000000
夏普值,0.000000000000

預期報酬,8334.280561675912
風險,197777.542317764690
起點值,0.042139670986
找到最佳解世代,1801
找到最佳解實驗#,1
找到最佳解次數,49

投資組合檔數,4
1216(2)[4],2412(24)[2],2454(26)[8],4904(45)[1],
Stock#,1216(2)[4],2412(24)[2],2454(26)[8],4904(45)[1],
張數,95,35,10,74,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,16700.000000000000,27950.000000000466,175800.000000000000,22480.000000000000,
FS( 1 ),2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,10000000.000000000000
FS( 2 ),2481950.000000000000,2500000.000000000000,2503700.000000000000,2500000.000000000000,9985650.000000000000
FS( 3 ),2535150.000000000500,2524500.000000000000,2466600.000000000000,2486680.000000000000,10012930.000000000000
FS( 4 ),2505700.000000000000,2561250.000000000000,2466600.000000000000,2486680.000000000000,10020230.000000000000
FS( 5 ),2515200.000000000000,2549000.000000000500,2433200.000000000000,2528859.999999999500,10026260.000000000000
FS( 6 ),2668150.000000000000,2561250.000000000000,2465000.000000000000,2547359.999999999500,10241760.000000000000
FS( 7 ),2644400.000000000000,2524500.000000000000,2357900.000000000000,2544400.000000000000,10071200.000000000000
FS( 8 ),2635850.000000000000,2549000.000000000500,2254699.999999999500,2513319.999999999500,9952870.000000000000
FS( 9 ),2659600.000000000000,2598000.000000000500,2135700.000000000000,2560680.000000000000,9953980.000000000000
FS( 10 ),2671000.000000000000,2585750.000000000000,2223000.000000000000,2557720.000000000000,10037470.000000000000
FS( 11 ),2729900.000000000000,2610250.000000000500,2262600.000000000000,2581400.000000000000,10184150.000000000000
FS( 12 ),2836300.000000000000,2671500.000000000500,2167400.000000000000,2578440.000000000000,10253640.000000000000
FS( 13 ),2798300.000000000000,2708250.000000000000,2234900.000000000000,2592500.000000000000,10333950.000000000000
FS( 14 ),2833450.000000000000,2720500.000000000500,2334100.000000000000,2636900.000000000000,10524950.000000000000
FS( 15 ),2844850.000000000000,2708250.000000000000,2326100.000000000000,2625800.000000000000,10505000.000000000000
FS( 16 ),2907550.000000000000,2594850.000000000500,2373700.000000000000,2617660.000000000000,10493760.000000000000
FS( 17 ),2851500.000000000000,2556000.000000000500,2322100.000000000000,2559200.000000000500,10288800.000000000000
FS( 18 ),2854350.000000000000,2599750.000000000500,2405500.000000000000,2573259.999999999500,10432860.000000000000
FS( 19 ),2860050.000000000000,2589600.000000000500,2373700.000000000000,2573259.999999999500,10396610.000000000000
FS( 20 ),2862900.000000000500,2605000.000000000000,2286400.000000000000,2681300.000000000000,10435600.000000000000
FS( 21 ),2806850.000000000000,2605000.000000000000,2226900.000000000500,2656140.000000000500,10294890.000000000000
FS( 22 ),2847700.000000000000,2605000.000000000000,2199200.000000000000,2648000.000000000000,10299900.000000000000
FS( 23 ),2809700.000000000000,2599750.000000000500,2226900.000000000500,2650220.000000000000,10286570.000000000000
FS( 24 ),2747950.000000000000,2597300.000000000500,2171400.000000000000,2633940.000000000000,10150590.000000000000
FS( 25 ),2665300.000000000000,2605000.000000000000,2060300.000000000000,2675380.000000000000,10005980.000000000000
FS( 26 ),2532300.000000000000,2556000.000000000500,1953200.000000000000,2537000.000000000000,9578500.000000000000
FS( 27 ),2556050.000000000000,2468500.000000000500,2008699.999999999800,2440800.000000000000,9474050.000000000000
FS( 28 ),2647250.000000000000,2468500.000000000500,2135700.000000000000,2418600.000000000500,9670050.000000000000
FS( 29 ),2805900.000000000000,2496850.000000000500,2207100.000000000000,2468180.000000000000,9978030.000000000000
FS( 30 ),2776450.000000000000,2496850.000000000500,2270600.000000000000,2482240.000000000000,10026140.000000000000
FS( 31 ),2730850.000000000000,2499300.000000000500,2215000.000000000000,2504440.000000000000,9949590.000000000000
FS( 32 ),2873350.000000000000,2566500.000000000500,2290400.000000000000,2554020.000000000000,10284270.000000000000
FS( 33 ),2925600.000000000000,2553550.000000000500,2258700.000000000000,2548100.000000000500,10285950.000000000000
FS( 34 ),2925600.000000000000,2553550.000000000500,2207100.000000000000,2520720.000000000000,10206970.000000000000
FS( 35 ),2847700.000000000000,2556000.000000000500,2191200.000000000000,2520720.000000000000,10115620.000000000000
FS( 36 ),2718500.000000000000,2553550.000000000500,2175400.000000000000,2501480.000000000000,9948930.000000000000
FS( 37 ),2633950.000000000000,2581900.000000000500,2310200.000000000000,2493340.000000000000,10019390.000000000000
FS( 38 ),2783100.000000000000,2643850.000000000000,2334100.000000000000,2484460.000000000000,10245510.000000000000
FS( 39 ),2698550.000000000000,2643850.000000000000,2397500.000000000000,2506660.000000000000,10246560.000000000000
FS( 40 ),2631100.000000000000,2643850.000000000000,2405500.000000000000,2600640.000000000500,10281090.000000000000
FS( 41 ),2670050.000000000000,2630900.000000000900,2496700.000000000000,2581400.000000000000,10379050.000000000000
FS( 42 ),2769800.000000000000,2630900.000000000900,2468900.000000000000,2581400.000000000000,10451000.000000000000
FS( 43 ),2763150.000000000000,2605000.000000000000,2476900.000000000500,2548100.000000000500,10393150.000000000000
FS( 44 ),2779300.000000000000,2602550.000000000500,2488800.000000000000,2587319.999999999500,10457970.000000000000
FS( 45 ),2808750.000000000000,2605000.000000000000,2476900.000000000500,2592500.000000000000,10483150.000000000000
FS( 46 ),2769800.000000000000,2592050.000000000900,2504600.000000000000,2565120.000000000000,10431570.000000000000
FS( 47 ),2672900.000000000500,2574200.000000000500,2437199.999999999500,2542920.000000000000,10227220.000000000000
FS( 48 ),2647250.000000000000,2558800.000000000500,2349900.000000000000,2509620.000000000000,10065570.000000000000
FS( 49 ),2660550.000000000000,2617950.000000000500,2417400.000000000000,2648000.000000000000,10343900.000000000000
FS( 50 ),2695700.000000000000,2594850.000000000500,2425300.000000000000,2625800.000000000000,10341650.000000000000
FS( 51 ),2730850.000000000000,2605000.000000000000,2417400.000000000000,2636900.000000000000,10390150.000000000000
