代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10438042.756500000000
真實報酬,438042.756500000130

夏普值報酬,0.035104275650
夏普值風險,0.014882502453
夏普值,2.358761623698

預期報酬,23366.555878058021
風險,43637.508504728459
起點值,0.535469523324
找到最佳解世代,3253
找到最佳解實驗#,21
找到最佳解次數,3

投資組合檔數,9
1102(1),1301(3),1303(4),2311(15),2325(18),2354(20),2409(23),2474(26),2912(40),
Stock#,1102(1),1301(3),1303(4),2311(15),2325(18),2354(20),2409(23),2474(26),2912(40),
張數,35,16,20,39,33,18,113,5,5,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,10544.924999999999,53445.972000000002,31374.565000000232,7791.006250000000,22541.996500000001,37323.029499999997,8922.616499999767,108183.862500000000,157203.616249999990,
FS( 1 ),1109544.925000000000,1109605.972000000100,1109574.564999999900,1109541.006250000100,1109561.996499999900,1109583.029499999900,1109542.616500000000,1109683.862500000000,1109753.616250000000,9986392.589499998800
FS( 2 ),1104681.850000000100,1111941.311999999900,1109781.404999999800,1088746.518250000000,1158632.451999999800,1109318.366500000000,1124922.368499999900,1120882.752499999900,1096677.965000000100,10025585.989749998000
FS( 3 ),1104681.850000000100,1116082.904000000100,1109781.404999999800,1080592.759000000100,1136291.748999999800,1107884.738500000000,1184547.355249999800,1132082.971249999900,1105538.582500000000,10077485.314499998000
FS( 4 ),1104681.850000000100,1116082.904000000100,1111374.325000000200,1082145.856000000100,1111322.728000000100,1116665.709999999700,1189047.354249999900,1118642.708750000000,1107728.847499999900,10057693.283500001000
FS( 5 ),1106075.655000000000,1121498.832000000200,1111374.325000000200,1096900.277500000100,1136291.748999999800,1139066.147499999700,1164297.359749999800,1116402.664999999800,1114399.200000000000,10106307.210749999000
FS( 6 ),1106075.655000000000,1121498.832000000200,1113166.360000000100,1093405.809249999900,1129720.954000000100,1148026.322499999800,1203672.350999999800,1129842.927500000000,1132120.435000000100,10177530.646250000000
FS( 7 ),1127331.181250000100,1121498.832000000200,1126507.065000000200,1103112.665500000100,1152061.657000000100,1143546.234999999900,1199172.351999999700,1118642.708750000000,1140981.052500000000,10232854.749000000000
FS( 8 ),1146147.548750000100,1121498.832000000200,1136661.930000000200,1078651.387750000000,1119207.682000000000,1139066.147499999700,1194672.352999999700,1109732.312500000000,1118829.508750000300,10164468.702250002000
FS( 9 ),1116180.741250000200,1121498.832000000200,1141639.805000000200,1088746.518250000000,1113951.045999999900,1155552.869499999800,1174422.357499999500,1105252.225000000100,1123259.817499999900,10140505.212000001000
FS( 10 ),1137436.267500000100,1125640.424000000100,1148210.600000000600,1098453.374500000200,1133663.430999999900,1164333.840999999800,1124922.368499999900,1094052.006250000100,1145411.361250000100,10172124.674000001000
FS( 11 ),1136042.462500000100,1120224.496000000000,1150002.635000000200,1098453.374500000200,1125778.476999999700,1164333.840999999800,1174422.357499999500,1147713.498750000300,1140981.052500000000,10257953.194750002000
FS( 12 ),1140223.877499999900,1122932.460000000200,1148210.600000000600,1104665.762500000200,1133663.430999999900,1170426.759999999800,1159797.360749999800,1176784.288750000100,1154271.978750000000,10310977.519250000000
FS( 13 ),1141617.682500000300,1125640.424000000100,1153387.590000000100,1109713.327750000200,1146805.020999999900,1167380.300499999900,1168797.358749999700,1167824.113750000000,1143171.317499999900,10324338.135749999000
FS( 14 ),1144753.743750000100,1122932.460000000200,1145024.760000000200,1112819.521750000100,1146805.020999999900,1161466.584999999700,1178922.356499999800,1176784.288750000100,1149841.669999999900,10339351.406749999000
FS( 15 ),1144753.743750000100,1116082.904000000100,1139847.770000000300,1106607.133750000000,1138920.066999999800,1171860.388000000000,1219422.347499999700,1203615.035000000100,1140981.052500000000,10382091.441500001000
FS( 16 ),1160434.050000000000,1098082.908000000100,1131484.940000000200,1131068.411499999900,1138920.066999999800,1174906.847499999700,1194672.352999999700,1212575.210000000400,1134310.700000000000,10376456.487000000000
FS( 17 ),1160434.050000000000,1111941.311999999900,1145024.760000000200,1140775.267750000100,1124464.318000000000,1176340.475499999900,1203672.350999999800,1284107.273749999900,1140981.052500000000,10487741.860500000000
FS( 18 ),1140223.877499999900,1096649.279999999800,1129892.020000000300,1157082.786250000100,1127092.635999999700,1146592.694499999800,1154172.361999999700,1255036.483749999700,1136550.743750000100,10343293.883750001000
FS( 19 ),1131861.047500000100,1102224.500000000000,1128099.985000000100,1139222.170750000300,1149433.338999999700,1140499.775500000000,1174422.357499999500,1333288.678750000400,1132120.435000000100,10431173.289000003000
FS( 20 ),1146147.548750000100,1113215.648000000000,1134869.895000000300,1127573.943250000000,1169145.723999999700,1167380.300499999900,1174422.357499999500,1331048.635000000200,1145411.361250000100,10509216.413249999000
FS( 21 ),1146147.548750000100,1125640.424000000100,1138254.850000000600,1146987.655750000200,1184915.632000000000,1153940.037999999900,1144047.364249999900,1246076.308749999900,1152031.935000000100,10438042.756500000000
