代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10689803.852499999000
真實報酬,689803.852499999110

夏普值報酬,0.060280385250
夏普值風險,0.020612355869
夏普值,2.924478193239

預期報酬,47903.021878024163
風險,25750.630634693571
起點值,1.860265970088
找到最佳解世代,3413
找到最佳解實驗#,4
找到最佳解次數,19

投資組合檔數,11
1216(2),1303(4),2308(15),2347(21),2382(25),2409(26),2474(29),2498(30),3045(43),3231(44),4904(46),
Stock#,1216(2),1303(4),2308(15),2347(21),2382(25),2409(26),2474(29),2498(30),3045(43),3231(44),4904(46),
張數,30,18,15,18,19,79,8,2,13,40,21,
分配資金,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,909090.000000000000,
剩餘資金,24030.584999999883,47463.930000000000,40403.883750000117,1678.778999999883,44119.170500000000,8788.896499999883,2279.634000000000,64908.753499999999,11853.257000000000,21426.880000000001,17000.581500000000,
FS( 1 ),907830.584999999960,907863.930000000050,907853.883750000040,907798.778999999980,907859.170500000010,907808.896500000030,907799.633999999960,907888.753499999990,907813.256999999980,907826.880000000000,907820.581499999970,9986174.350749999300
FS( 2 ),911087.909999999800,924127.452000000160,912527.583750000110,908806.895999999830,902713.006249999980,917201.305249999980,950146.679999999930,930521.393000000040,905790.005249999930,925807.210000000200,903878.702999999980,10092618.144500000000
FS( 3 ),914074.634999999890,925561.080000000070,912527.583750000110,912390.965999999780,919169.860999999920,921133.826499999970,963447.562000000030,935797.940499999910,904754.607249999880,925807.210000000200,907014.764249999890,10141690.036249999000
FS( 4 ),917061.359999999870,928428.335999999890,920890.413750000180,916154.239499999910,929951.938250000010,924279.843499999960,973323.665999999970,918216.085999999890,909543.322999999970,944524.020000000020,905551.268999999970,10187934.494999999000
FS( 5 ),926320.207499999900,926994.707999999980,934181.340000000200,918663.088499999950,935437.556500000060,906976.749999999880,1039668.784000000000,912063.432500000000,891553.282750000010,972001.890000000130,897606.580499999920,10261477.620250000000
FS( 6 ),928410.915000000040,932729.219999999970,936720.056250000260,918663.088499999950,935437.556500000060,903830.733000000010,1056235.152000000200,868118.751999999980,895306.600500000060,983948.790000000150,897606.580499999920,10257017.444250001000
FS( 7 ),948720.644999999900,949753.552500000110,953595.052500000110,922426.361999999850,935437.556500000060,962818.551749999980,1049544.888000000000,854937.339000000040,901001.289499999960,983948.790000000150,894470.519250000010,10356664.546000000000
FS( 8 ),951707.369999999880,946886.296500000050,953595.052500000110,922426.361999999850,943571.404249999910,1004503.276999999900,1059500.638000000000,873395.299499999960,902942.660749999920,985939.939999999940,868127.604749999940,10412605.905250000000
FS( 9 ),952603.387499999840,946886.296500000050,966885.978750000130,933536.978999999820,946408.793000000060,1001357.259999999900,1059500.638000000000,879547.952999999980,902942.660749999920,975585.960000000200,860182.916249999890,10425448.822750000000
FS( 10 ),952603.387499999840,946886.296500000050,981371.595000000200,943393.171499999940,946408.793000000060,976975.628249999950,1072801.520000000000,910311.220500000050,910449.296250000130,979170.030000000030,871054.595249999900,10491435.533749999000
FS( 11 ),947525.954999999840,946886.296500000050,978982.215000000200,927264.856499999760,939599.060000000060,1001357.259999999900,1052890.020000000000,918216.085999999890,905790.005249999930,988329.320000000070,894470.519250000010,10501321.593499999000
FS( 12 ),944539.229999999750,948319.924500000080,986150.355000000100,927264.856499999760,929951.938250000010,1050120.523499999900,1112544.874000000100,935797.940499999910,901001.289499999960,983948.790000000150,874190.656499999920,10593840.378250001000
FS( 13 ),950512.679999999820,948319.924500000080,1005564.067500000000,934612.199999999840,934113.441749999880,1039109.463999999800,1112544.874000000100,923492.633500000000,879257.931499999950,995497.460000000200,880462.778999999980,10603497.455750000000
FS( 14 ),929306.932499999880,939718.156500000040,981371.595000000200,921171.937499999880,919169.860999999920,1105962.325250000000,1188766.096000000100,931397.498999999950,853761.255750000010,1028948.780000000000,902415.207749999940,10701999.646249998000
FS( 15 ),911983.927499999870,939718.156500000040,964496.598750000120,902534.773499999890,905550.395000000020,1109108.342250000000,1221898.831999999900,918216.085999999890,858420.546749999860,1050851.429999999900,907014.764249999890,10689803.852499999000
