代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10586844.571249999000
真實報酬,586844.571249999110

夏普值報酬,0.049984457125
夏普值風險,0.021208414553
夏普值,2.356821958543

預期報酬,29241.610584519101
風險,86056.890562105487
起點值,0.339793947858
找到最佳解世代,3373
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,4
2354(20),2382(22),2412(24),2498(27),
Stock#,2354(20),2382(22),2412(24),2498(27),
張數,37,64,40,4,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,30806.405999999999,1084.112000000000,47710.459999999999,114565.592999999990,
FS( 1 ),2496486.406000000000,2496444.112000000200,2496510.460000000000,2496605.592999999900,9986046.571000000500
FS( 2 ),2498100.105500000100,2485402.144000000300,2482090.450000000200,2482839.402999999900,9948432.102500001000
FS( 3 ),2475261.615000000200,2472021.616000000400,2505984.250000000000,2505299.574999999700,9958567.055999999900
FS( 4 ),2492943.026999999800,2485402.144000000300,2512754.160000000100,2540622.575999999900,10031721.907000000000
FS( 5 ),2593137.695000000300,2467561.440000000400,2543019.639999999200,2553445.581999999900,10157164.357000001000
FS( 6 ),2582823.537999999700,2454818.080000000100,2580453.259999999800,2598365.926000000000,10216460.804000000000
FS( 7 ),2608608.930500000200,2419773.840000000300,2644568.289999999100,2608003.091999999700,10280954.152500000000
FS( 8 ),2646918.656499999600,2498145.504000000200,2631028.470000000200,2617640.257999999900,10393732.888499999000
FS( 9 ),2621501.626750000300,2485402.144000000300,2593993.080000000100,2566268.588000000000,10267165.438750001000
FS( 10 ),2562195.223999999900,2489862.320000000300,2560143.530000000700,2566268.588000000000,10178469.662000000000
FS( 11 ),2541935.272750000000,2493685.328000000200,2566913.439999999900,2614414.595000000200,10216948.635750001000
FS( 12 ),2608608.930500000200,2511526.032000000600,2573683.350000000100,2672157.944999999800,10365976.257500000000
FS( 13 ),2595716.234249999700,2524269.392000000000,2566913.439999999900,2649697.772999999600,10336596.839250000000
FS( 14 ),2595716.234249999700,2515986.208000000100,2553373.620000000100,2691432.276999999800,10356508.339250000000
FS( 15 ),2582823.537999999700,2498145.504000000200,2593993.080000000100,2768449.958999999800,10443412.081000000000
FS( 16 ),2621501.626750000300,2528729.568000000000,2587223.169999999900,2925671.163000000200,10663125.527750000000
FS( 17 ),2585402.077250000100,2550393.280000000300,2583639.100000000100,2883976.481999999800,10603410.939250000000
FS( 18 ),2569930.841750000600,2550393.280000000300,2566913.439999999900,2768449.958999999800,10455687.520750001000
FS( 19 ),2608608.930500000200,2620481.760000000200,2556559.460000000000,2826193.308999999900,10611843.459500000000
FS( 20 ),2608608.930500000200,2616021.583999999800,2522709.910000000100,2797321.633999999600,10544662.058499999000
FS( 21 ),2595716.234249999700,2628764.944000000100,2539833.799999999800,2826193.308999999900,10590508.287249999000
FS( 22 ),2595716.234249999700,2611561.407999999800,2553373.620000000100,2826193.308999999900,10586844.571249999000
