代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10544177.796250001000
真實報酬,544177.796250000600

夏普值報酬,0.045717779625
夏普值風險,0.016866821012
夏普值,2.710515490350

預期報酬,22451.865155527310
風險,63819.830992088209
起點值,0.351800761715
找到最佳解世代,3340
找到最佳解實驗#,1
找到最佳解次數,39

投資組合檔數,5
1216(2),1476(7),2303(12),2891(39),3008(42),
Stock#,1216(2),1476(7),2303(12),2891(39),3008(42),
張數,35,5,146,104,0,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,6012.611250000000,232484.875000000000,4260.117500000000,10769.380000000001,2000000.000000000000,
FS( 1 ),1997162.611250000100,1997484.875000000000,1997160.117499999900,1997169.379999999900,2000000.000000000000,9988976.983750000600
FS( 2 ),1981731.198750000000,1999630.500000000000,1988341.534999999900,2009087.519999999800,2000000.000000000000,9978790.753750000100
FS( 3 ),2009607.298750000100,2024519.875000000000,1952003.047499999900,1988379.559999999800,2000000.000000000000,9974509.781250000000
FS( 4 ),2020060.836250000200,2091721.187500000000,2017412.325000000000,2009087.519999999800,2000000.000000000000,10138281.868749999000
FS( 5 ),2006122.786250000100,2131544.187500000000,2024680.022500000000,2024618.490000000000,2000000.000000000000,10186965.486250000000
FS( 6 ),2013091.811250000000,2124077.375000000000,2039215.417500000000,2024618.490000000000,2000000.000000000000,10201003.093750000000
FS( 7 ),2006122.786250000100,2161411.437500000000,2024680.022500000000,2009087.519999999800,2000000.000000000000,10201301.766249999000
FS( 8 ),2020060.836250000200,2126566.312500000000,2039215.417500000000,1978025.579999999800,2000000.000000000000,10163868.146250000000
FS( 9 ),2016576.323750000000,2116610.562500000000,2046483.115000000200,1998733.540000000000,2000000.000000000000,10178403.541250002000
FS( 10 ),2009607.298750000100,2076787.562500000000,2046483.115000000200,1998733.540000000000,2000000.000000000000,10131611.516249999000
FS( 11 ),2065359.498750000000,2081765.437500000000,2053750.812500000000,2019441.499999999800,2000000.000000000000,10220317.248750001000
FS( 12 ),2075813.036250000100,2069320.750000000000,2046483.115000000200,2029795.480000000000,2000000.000000000000,10221412.381250000000
FS( 13 ),2089751.086250000200,2111632.687500000000,2061018.510000000000,2040149.460000000000,2000000.000000000000,10302551.743749999000
FS( 14 ),2096720.111250000100,2079276.500000000000,2053750.812500000000,2024618.490000000000,2000000.000000000000,10254365.913750000000
FS( 15 ),2086266.573750000000,2079276.500000000000,2061018.510000000000,2024618.490000000000,2000000.000000000000,10251180.073750000000
FS( 16 ),2110658.161249999900,2034475.625000000000,2082821.602500000300,2029795.480000000000,2000000.000000000000,10257750.868750000000
FS( 17 ),2145503.286249999900,2054387.125000000000,2068286.207499999600,2034972.469999999700,2000000.000000000000,10303149.088749999000
FS( 18 ),2201255.486250000100,2094210.125000000000,2177301.669999999900,2029795.480000000000,2000000.000000000000,10502562.761250000000
FS( 19 ),2239585.123750000300,2086743.312500000000,2170033.972500000100,2040149.460000000000,2000000.000000000000,10536511.868750000000
FS( 20 ),2215193.536249999900,2066831.812500000000,2170033.972500000100,2040149.460000000000,2000000.000000000000,10492208.781250000000
FS( 21 ),2236100.611250000100,2049409.250000000000,2170033.972500000100,2029795.480000000000,2000000.000000000000,10485339.313750001000
FS( 22 ),2246554.148750000200,2076787.562500000000,2162766.275000000400,2034972.469999999700,2000000.000000000000,10521080.456250001000
FS( 23 ),2243069.636250000000,2074298.625000000000,2191837.065000000400,2034972.469999999700,2000000.000000000000,10544177.796250001000
