代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10556125.978000000000
真實報酬,556125.978000000120

夏普值報酬,0.046912597800
夏普值風險,0.015836686798
夏普值,2.962273510732

預期報酬,22201.821824128961
風險,84490.291997338951
起點值,0.262773642975
找到最佳解世代,4017
找到最佳解實驗#,1
找到最佳解次數,44

投資組合檔數,2
1101(0),2886(37),
Stock#,1101(0),2886(37),
張數,197,335,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,14716.079249999999,4741.886249999067,
FS( 1 ),4992906.079250000400,4992891.886250000400,9985797.965500000900
FS( 2 ),5000296.829750001400,5087550.491249999000,10087847.321000000000
FS( 3 ),4978722.719500000600,5030852.495000000100,10009575.214500001000
FS( 4 ),5014025.809000000400,5017511.789999999100,10031537.598999999000
FS( 5 ),5014025.809000000400,4957478.617499999700,9971504.426500000100
FS( 6 ),5065019.160500000200,4994165.556249999400,10059184.716750000000
FS( 7 ),5065019.160500000200,5077544.962499999400,10142564.123000000000
FS( 8 ),5116012.512000000100,5054198.728750000700,10170211.240750000000
FS( 9 ),5202308.953000000700,5087550.491249999000,10289859.444249999000
FS( 10 ),5172889.711750000700,5100891.196249999100,10273780.908000000000
FS( 11 ),5100322.250000000900,5114231.901250000100,10214554.151250001000
FS( 12 ),5202308.953000000700,5160924.368749999400,10363233.321750000000
FS( 13 ),5231728.194250001600,5230963.070000000300,10462691.264250003000
FS( 14 ),5145431.753250001000,5124237.429999999700,10269669.183250001000
FS( 15 ),5100322.250000000900,5304336.947500000700,10404659.197500002000
FS( 16 ),5072864.291500001200,5304336.947500000700,10377201.239000002000
FS( 17 ),5014025.809000000400,5267650.008749999100,10281675.817749999000
FS( 18 ),4984606.567750000400,5327683.181249999400,10312289.749000000000
FS( 19 ),4919884.237000000700,5361034.943749998700,10280919.180749999000
FS( 20 ),5065019.160500000200,5491106.817499999900,10556125.978000000000
