代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10293826.274750002000
真實報酬,293826.274750001730

夏普值報酬,0.020682627475
夏普值風險,0.009174653041
夏普值,2.254322575862

預期報酬,16689.162949265075
風險,12584.423484040435
起點值,1.326176202703
找到最佳解世代,4881
找到最佳解實驗#,2
找到最佳解次數,5

投資組合檔數,8
1102(1),2311(14),2357(20),2823(29),2912(41),3008(42),3045(43),4904(45),
Stock#,1102(1),2311(14),2357(20),2823(29),2912(41),3008(42),3045(43),4904(45),
張數,48,35,4,46,5,0,12,18,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,1663.652000000000,18347.392500000002,237759.609999999990,12679.326999999999,131458.346250000240,1250000.000000000000,84942.154999999999,18307.335500000001,
FS( 1 ),1248223.652000000000,1248247.392500000100,1248559.610000000100,1248239.327000000000,1248408.346249999900,1250000.000000000000,1248342.155000000000,1248247.335500000000,9988267.818249998600
FS( 2 ),1249397.887999999800,1274862.600000000300,1232856.733999999900,1250557.370500000200,1248294.381250000600,1250000.000000000000,1248809.152999999900,1246209.717500000000,10000987.844249999000
FS( 3 ),1260866.912000000200,1276256.405000000000,1223498.328999999900,1281698.956500000100,1238637.303750000200,1250000.000000000000,1277242.774999999900,1253019.450500000000,10061220.131750001000
FS( 4 ),1265645.672000000000,1259530.744999999600,1234728.415000000000,1285820.637000000100,1245905.001250000200,1250000.000000000000,1271508.263000000000,1249614.584000000000,10062753.317250000000
FS( 5 ),1258955.407999999800,1294724.321250000500,1219754.967000000200,1289484.353000000100,1238637.303750000200,1250000.000000000000,1265893.219999999700,1253019.450500000000,10070469.023500001000
FS( 6 ),1275203.191999999600,1313192.237500000000,1229113.372000000000,1258800.731500000000,1236247.923750000100,1250000.000000000000,1277242.774999999900,1254811.485500000000,10094611.717250001000
FS( 7 ),1328247.428000000100,1308313.919999999900,1234728.415000000000,1246435.690000000200,1229030.005000000100,1250000.000000000000,1277242.774999999900,1248001.752500000200,10121999.985500000000
FS( 8 ),1328247.428000000100,1304829.407500000000,1253445.225000000100,1242771.974000000200,1224201.466250000300,1250000.000000000000,1277242.774999999900,1244596.886000000400,10125335.161750000000
FS( 9 ),1328247.428000000100,1303087.151249999600,1268378.850000000100,1230406.932500000100,1214544.388750000200,1250000.000000000000,1294207.372999999900,1254811.485500000000,10143683.608999999000
FS( 10 ),1344495.212000000300,1325039.580000000100,1285223.979000000100,1218041.891000000100,1221762.307500000100,1250000.000000000000,1288592.330000000100,1248001.752500000200,10181157.051999999000
FS( 11 ),1346406.716000000000,1304829.407500000000,1262763.807000000000,1246435.690000000200,1229030.005000000100,1250000.000000000000,1294207.372999999900,1254811.485500000000,10188484.484000001000
FS( 12 ),1342105.831999999900,1298208.833750000200,1266507.168999999800,1258800.731500000000,1221762.307500000100,1250000.000000000000,1294207.372999999900,1263234.050000000000,10194826.296750002000
FS( 13 ),1342105.831999999900,1289846.003750000100,1268378.850000000100,1261090.554000000200,1221762.307500000100,1250000.000000000000,1305556.927999999800,1273448.649500000100,10212189.124749999000
FS( 14 ),1369822.640000000100,1291588.259999999800,1264635.487999999900,1254679.051000000000,1231419.385000000200,1250000.000000000000,1299941.885000000000,1278645.551000000000,10240732.259999998000
FS( 15 ),1372212.019999999800,1308313.919999999900,1262763.807000000000,1261090.554000000200,1224201.466250000300,1250000.000000000000,1311291.440000000400,1270043.783000000100,10259916.990250001000
FS( 16 ),1383681.044000000000,1320161.262500000000,1264635.487999999900,1256968.873500000200,1216933.768750000300,1250000.000000000000,1299941.885000000000,1271835.818000000200,10264158.139750000000
FS( 17 ),1395150.068000000000,1306571.663750000100,1281480.617000000100,1248725.512500000000,1216933.768750000300,1250000.000000000000,1311291.440000000400,1280258.382500000100,10290411.452500001000
FS( 18 ),1406619.091999999700,1301693.346250000200,1275865.574000000000,1248725.512500000000,1219372.927500000200,1250000.000000000000,1311291.440000000400,1280258.382500000100,10293826.274750002000
