代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10966214.751499999000
真實報酬,966214.751499999310

夏普值報酬,0.087921475150
夏普值風險,0.027218056503
夏普值,3.230262790480

預期報酬,46940.596462775611
風險,40476.496780254274
起點值,1.159700077742
找到最佳解世代,4299
找到最佳解實驗#,28
找到最佳解次數,4

投資組合檔數,8
1303(4),1722(7),2002(8),2308(12),2311(13),2347(18),3481(43),9904(48),
Stock#,1303(4),1722(7),2002(8),2308(12),2311(13),2347(18),3481(43),9904(48),
張數,26,16,57,13,94,28,42,65,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,41360.139000000003,43322.932000000001,10195.793000000000,32116.986250000235,4607.841499999767,5589.237999999999,8813.826499999999,1523.452500000000,
FS( 1 ),1248280.139000000000,1248282.932000000000,1248235.793000000100,1248266.986250000100,1248227.841500000100,1248229.237999999900,1248233.826500000000,1248223.452499999900,9985980.208750000200
FS( 2 ),1260541.284000000200,1261110.271999999900,1247297.288000000200,1252851.228250000200,1284837.645499999900,1237155.335999999900,1267001.599999999900,1255002.156250000000,10065796.810000001000
FS( 3 ),1256658.541499999800,1231004.084000000000,1252972.065500000300,1247803.663000000400,1307297.817499999900,1251929.669000000000,1353556.890499999700,1260179.146250000000,10161401.877250001000
FS( 4 ),1264424.026499999900,1236897.888000000000,1271698.831250000300,1237837.957250000200,1301682.774499999800,1281757.096000000100,1355647.598000000000,1267297.507499999600,10217243.679000001000
FS( 5 ),1274001.457999999900,1220012.936000000000,1311989.751500000200,1237837.957250000200,1310105.338999999900,1270606.656000000000,1353556.890499999700,1274415.868750000100,10252526.857000001000
FS( 6 ),1279954.996500000100,1226066.032000000100,1297802.807750000400,1262816.934000000400,1307297.817499999900,1268655.328999999900,1348121.051000000000,1262120.517499999800,10252835.485250002000
FS( 7 ),1281766.943000000000,1231004.084000000000,1293830.463500000300,1242885.522500000200,1290452.688499999900,1272557.983000000000,1408333.426999999900,1260179.146250000000,10281010.257750001000
FS( 8 ),1299109.859500000300,1199623.560000000100,1301775.152000000200,1247803.663000000400,1315720.381999999800,1287332.315999999600,1447638.727999999900,1274415.868750000100,10373419.529250002000
FS( 9 ),1340008.080499999900,1210455.416000000000,1315962.095750000300,1277700.780250000300,1330693.829999999800,1306009.302999999800,1455165.275000000100,1291241.086249999700,10527235.866750000000
FS( 10 ),1334054.541999999900,1227340.368000000000,1320501.917750000000,1267735.074500000300,1369999.131000000100,1302106.648999999700,1428822.360500000000,1277004.363750000000,10527564.406500001000
FS( 11 ),1336125.338000000000,1236897.888000000000,1320501.917750000000,1287666.486000000500,1369999.131000000100,1307681.868999999900,1440112.180999999900,1289299.714999999900,10588284.525750000000
FS( 12 ),1337937.284500000100,1228455.412000000000,1314259.662500000300,1287666.486000000500,1364384.088000000000,1300434.083000000100,1389517.059500000200,1301595.066249999900,10524249.141750000000
FS( 13 ),1343890.823000000100,1227340.368000000000,1311989.751500000200,1287666.486000000500,1386844.259999999800,1322734.963000000000,1413769.266499999900,1296418.076249999900,10590653.994250000000
FS( 14 ),1351656.308000000000,1232119.128000000000,1330716.517249999800,1302679.757000000400,1386844.259999999800,1339460.622999999900,1404570.153500000000,1303536.437500000000,10651583.184249999000
FS( 15 ),1357350.997000000200,1226066.032000000100,1330716.517249999800,1312645.462750000400,1406496.910500000000,1328310.183000000200,1440112.180999999900,1299006.571249999800,10700704.854750000000
FS( 16 ),1359421.793000000100,1228455.412000000000,1328446.606250000200,1327529.309000000400,1406496.910500000000,1339460.622999999900,1496561.283499999900,1289299.714999999900,10775671.652249999000
FS( 17 ),1357350.997000000200,1240561.604000000100,1320501.917750000000,1327529.309000000400,1392459.302999999800,1324686.290000000000,1494888.717500000000,1303536.437500000000,10761514.575750001000
FS( 18 ),1365116.482000000100,1234508.508000000100,1328446.606250000200,1312645.462750000400,1398074.345999999900,1330261.510000000200,1524994.905499999600,1328127.139999999900,10822174.960500002000
FS( 19 ),1367187.278000000200,1238172.224000000200,1324474.262000000100,1332576.874250000300,1403689.389000000000,1333885.402999999700,1543811.273000000000,1325538.645000000000,10869335.348250002000
FS( 20 ),1355539.050499999900,1247889.036000000100,1326176.695250000300,1322611.168500000400,1440187.168499999900,1335836.729999999700,1594406.394499999900,1335245.501249999700,10957891.744500000000
FS( 21 ),1367187.278000000200,1220012.936000000000,1324474.262000000100,1332576.874250000300,1428957.082499999800,1352562.389999999900,1607786.922500000100,1332657.006250000100,10966214.751499999000
