代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10243626.320000000000
真實報酬,243626.320000000300

夏普值報酬,0.015662632000
夏普值風險,0.010200182385
夏普值,1.535524700344

預期報酬,10117.651812121196
風險,67023.106739858835
起點值,0.150957666755
找到最佳解世代,3771
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
2201(11),3045(43),4904(46),
Stock#,2201(11),3045(43),4904(46),
張數,77,48,68,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,650.685500000000,31033.919999999533,47657.574999999997,
FS( 1 ),3328590.685500000100,3328633.919999999900,3328657.575000000200,9985883.180500000700
FS( 2 ),3358326.930500000200,3331723.451999999100,3324294.015000000100,10014345.397499999000
FS( 3 ),3432686.427250000600,3321210.179999999200,3329032.952000000500,10082930.559250001000
FS( 4 ),3398956.346249999900,3289670.363999999600,3258625.887999999800,9947253.598249999800
FS( 5 ),3425787.092500000300,3289670.363999999600,3318878.087000000300,10034336.543499999000
FS( 6 ),3354493.966750000100,3275811.960000000000,3308723.222000000100,9939030.148749999700
FS( 7 ),3330729.591499999600,3317387.171999999800,3314139.150000000400,9962256.913499999800
FS( 8 ),3256370.094750000200,3380466.803999999500,3324294.015000000100,9961131.913750000300
FS( 9 ),3235672.090499999900,3401493.347999999800,3435320.538999999900,10072486.977499999000
FS( 10 ),3256370.094750000200,3450236.699999998800,3500988.666000000200,10207596.460749999000
FS( 11 ),3175111.263249999800,3446891.567999999500,3511143.530999999500,10133147.362249998000
FS( 12 ),3277068.099000000400,3412006.619999999600,3546347.063000000100,10235422.782000002000
FS( 13 ),3201942.009500000200,3380466.803999999500,3490833.801000000400,10073243.614500001000
FS( 14 ),3235672.090499999900,3436378.296000000100,3470524.071000000000,10142575.457500000000
FS( 15 ),3323830.256750000600,3418696.883999999600,3470524.071000000000,10213052.211750001000
FS( 16 ),3277068.099000000400,3383811.935999999300,3475939.999000000300,10136821.034000000000
FS( 17 ),3253303.723749999900,3432555.288000000200,3541608.126000000200,10227468.137750000000
FS( 18 ),3242571.425249999900,3418696.883999999600,3541608.126000000200,10202877.435249999000
FS( 19 ),3222640.013749999900,3383811.935999999300,3561917.855999999700,10168370.805749997000
FS( 20 ),3446485.096750000000,3317387.171999999800,3480678.936000000200,10244552.204750000000
FS( 21 ),3494013.847250000100,3289670.363999999600,3349342.682000000000,10133027.893250000000
FS( 22 ),3507045.924000000100,3331723.451999999100,3404855.944000000600,10243626.320000000000
