代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11151533.140499998000
真實報酬,1151533.140499997900

夏普值報酬,0.106453314050
夏普值風險,0.030884990954
夏普值,3.446765265598

預期報酬,54316.189914459865
風險,53574.273801042276
起點值,1.013848365284
找到最佳解世代,3780
找到最佳解實驗#,1
找到最佳解次數,47

投資組合檔數,9
1301(3),1303(4),1326(5),2207(12),2324(18),2353(22),2454(28),2890(38),4904(46),
Stock#,1301(3),1303(4),1326(5),2207(12),2324(18),2353(22),2454(28),2890(38),4904(46),
張數,16,22,16,8,47,29,4,203,26,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,60175.548000000003,19237.293999999765,48959.588000000003,104799.046000000000,5507.757250000000,11316.022250000000,195728.435999999990,5217.343999999766,10524.896499999999,
FS( 1 ),1109615.548000000000,1109557.294000000000,1109599.588000000000,1109679.046000000100,1109537.757250000000,1109546.022249999900,1109808.436000000000,1109537.344000000000,1109544.896500000000,9986426.932000000000
FS( 2 ),1121060.267999999900,1118531.297499999400,1098693.868000000000,1101966.966000000000,1173436.701250000200,1156655.369499999800,1101024.695000000100,1120818.865999999900,1102869.786499999900,10095058.817749999000
FS( 3 ),1117396.551999999900,1118531.297499999400,1104906.256000000100,1134940.409999999900,1180455.505000000100,1166183.022249999900,1119980.443000000000,1134965.986749999700,1112447.218000000100,10189807.690499999000
FS( 4 ),1144635.483999999900,1115026.873499999800,1129915.099999999900,1134940.409999999900,1150040.688750000200,1128649.844750000200,1118387.523000000000,1197617.521499999800,1106752.529000000300,10225966.974500002000
FS( 5 ),1140812.475999999800,1120283.509499999700,1149985.892000000000,1134940.409999999900,1135067.240750000100,1103531.487500000000,1096285.757999999900,1199638.538749999800,1135743.673000000200,10216289.985500000000
FS( 6 ),1125998.320000000100,1130796.781499999800,1138676.160000000100,1144896.159999999900,1178583.824000000000,1140775.948249999900,1096285.757999999900,1205701.590500000200,1116329.960500000000,10278045.502750000000
FS( 7 ),1138423.095999999900,1139557.841499999900,1141224.831999999900,1217533.312000000200,1183730.946750000100,1164739.438500000200,1115241.506000000100,1229953.797499999600,1120212.703000000000,10450618.473250000000
FS( 8 ),1138423.095999999900,1137805.629499999600,1135012.444000000100,1253851.888000000000,1163610.375999999900,1154056.918750000000,1119980.443000000000,1236016.849249999700,1118400.756500000100,10457159.401000001000
FS( 9 ),1129662.036000000100,1129044.569499999800,1128640.764000000000,1257117.374000000100,1146765.247000000000,1154056.918750000000,1116834.426000000000,1254206.004499999800,1108564.475499999900,10424892.815250000000
FS( 10 ),1139697.432000000000,1143062.265500000000,1127525.720000000000,1280214.714000000200,1155187.811499999800,1156655.369499999800,1180033.527000000000,1266332.108000000000,1098987.044000000200,10547696.991500000000
FS( 11 ),1150847.872000000000,1179639.690999999900,1135012.444000000100,1266993.478000000100,1155187.811499999800,1158098.953249999800,1194250.338000000000,1236016.849249999700,1089409.612500000000,10565458.049500000000
FS( 12 ),1158175.304000000000,1195409.598999999700,1148711.556000000100,1283559.846000000100,1166885.817749999900,1191301.379500000000,1198989.274999999900,1266332.108000000000,1133672.877000000100,10743038.762249999000
FS( 13 ),1145909.820000000100,1198914.022999999800,1149985.892000000000,1247241.270000000000,1146765.247000000000,1195343.413999999900,1153153.001999999900,1242079.901000000100,1166546.763499999900,10645940.332500000000
FS( 14 ),1170600.079999999800,1214464.904499999700,1159861.996000000000,1250506.756000000300,1144893.565999999900,1207469.517500000100,1153153.001999999900,1272395.159749999900,1127978.188000000100,10701324.169749998000
FS( 15 ),1200387.683999999900,1263526.840499999900,1182322.168000000100,1273604.096000000100,1144893.565999999900,1204582.349999999900,1168962.733000000000,1318878.556499999700,1122283.498999999800,10879442.492999999000
FS( 16 ),1191626.624000000100,1256517.992499999700,1186145.176000000000,1352851.866000000200,1133195.559750000000,1169936.339999999900,1162630.876000000200,1276437.194249999900,1120212.703000000000,10849555.331500001000
FS( 17 ),1187962.908000000100,1275573.297999999700,1194906.235999999800,1389170.442000000000,1178583.824000000000,1160697.403999999900,1184772.464000000200,1306752.453000000000,1120212.703000000000,10998632.731999999000
FS( 18 ),1187962.908000000100,1270316.661999999500,1191083.227999999900,1372683.720000000000,1177180.063249999900,1160697.403999999900,1156338.841999999900,1266332.108000000000,1131860.930500000000,10914456.865750000000
FS( 19 ),1191626.624000000100,1272068.873999999800,1191083.227999999900,1362807.616000000200,1168757.498750000000,1169936.339999999900,1150006.984999999900,1272395.159749999900,1209256.931000000100,10987940.256500000000
FS( 20 ),1200387.683999999900,1279077.721999999600,1197295.615999999900,1422223.531999999900,1173436.701250000200,1210067.968250000200,1146860.967999999900,1318878.556499999700,1203303.392500000100,11151533.140499998000
