代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10389574.584999999000
真實報酬,389574.584999999030

夏普值報酬,0.030257458500
夏普值風險,0.009718811221
夏普值,3.113288015538

預期報酬,14526.066588735164
風險,65927.477570411909
起點值,0.220334026480
找到最佳解世代,3654
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,2
1101(0),3008(42),
Stock#,1101(0),3008(42),
張數,177,9,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,24530.044249999999,33843.296750000001,
FS( 1 ),4992920.044250000300,4992933.296749999700,9985853.341000000000
FS( 2 ),4942740.234500000300,5112560.088499998700,10055300.322999999000
FS( 3 ),4921594.221500000000,5129226.013999999500,10050820.235500000000
FS( 4 ),5004416.105750001000,5112560.088499998700,10116976.194249999000
FS( 5 ),5018513.447750000300,5237464.927999999400,10255978.375750000000
FS( 6 ),5018513.447750000300,5129226.013999999500,10147739.461750001000
FS( 7 ),5073140.648000000000,5045985.988250000400,10119126.636250000000
FS( 8 ),4970934.918500000600,5120893.051249999600,10091827.969750000000
FS( 9 ),4895161.705250000600,5129226.013999999500,10024387.719250001000
FS( 10 ),5004416.105750001000,5137558.976750000400,10141975.082500001000
FS( 11 ),5066091.977000000000,5170801.225999998900,10236893.202999998000
FS( 12 ),5101335.331999999500,5095894.162999999700,10197229.494999999000
FS( 13 ),5087237.990000000200,5120893.051249999600,10208131.041250000000
FS( 14 ),5198254.558249999800,5070895.274749999900,10269149.833000001000
FS( 15 ),5224687.074500001000,4995988.211749999800,10220675.286250001000
FS( 16 ),5198254.558249999800,4970989.323499999900,10169243.881749999000
FS( 17 ),5205303.229249999900,4962656.360750000000,10167959.590000000000
FS( 18 ),5245833.087500000400,4987655.248999999800,10233488.336500000000
FS( 19 ),5039659.460750000600,5162468.263249999800,10202127.723999999000
FS( 20 ),5108384.003000000500,5112560.088499998700,10220944.091499999000
FS( 21 ),5170059.874250000300,5195800.114250000600,10365859.988500001000
FS( 22 ),5177108.545249999500,5212466.039749999500,10389574.584999999000
