代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10682550.009250000000
真實報酬,682550.009250000120

夏普值報酬,0.059555000925
夏普值風險,0.020938535386
夏普值,2.844277301536

預期報酬,33069.881860389592
風險,56678.866526652360
起點值,0.583460536298
找到最佳解世代,3295
找到最佳解實驗#,1
找到最佳解次數,48

投資組合檔數,5
2301(12),2308(14),2317(16),3481(44),3673(45),
Stock#,2301(12),2308(14),2317(16),3481(44),3673(45),
張數,58,21,40,133,3,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,18800.808500000232,28865.129749999767,48422.959999999999,825.229750000000,422905.838749999760,
FS( 1 ),1997180.808500000000,1997195.129750000100,1997222.960000000000,1997155.229749999900,1997755.838750000100,9986509.966749999700
FS( 2 ),1997087.979500000400,1997266.240999999900,1962316.340000000100,1952570.371249999900,1996372.303249999900,9905613.234999999400
FS( 3 ),2018453.019000000300,1997266.240999999900,1950369.439999999700,2030693.141499999900,2104969.624249999900,10101751.465750000000
FS( 4 ),2072731.768000000400,2032599.197749999800,1962316.340000000100,2018776.108749999900,2104969.624249999900,10191393.038750000000
FS( 5 ),2042127.792500000200,1997266.240999999900,1959926.960000000000,2030693.141499999900,2082688.655749999900,10112702.790750001000
FS( 6 ),2050789.295000000200,1997266.240999999900,1962316.340000000100,2054527.206999999900,2135613.422749999900,10200512.505750000000
FS( 7 ),2020762.753000000500,1997266.240999999900,1962316.340000000100,2198855.714749999800,2130028.247000000000,10309229.295750000000
FS( 8 ),2007481.782500000200,1988485.269500000200,1962316.340000000100,2168401.075500000300,2085496.177249999700,10212180.644749999000
FS( 9 ),1998820.280000000300,2120408.912749999700,1950369.439999999700,2210772.747500000100,2079911.001499999800,10360282.381749999000
FS( 10 ),2024804.787500000300,2208218.627749999500,1962316.340000000100,2156484.042750000000,2068770.517249999600,10420594.315249998000
FS( 11 ),2031733.989500000100,2146751.827249999600,1967095.099999999900,2108815.911750000000,2113332.454249999500,10367729.282749999000
FS( 12 ),2038085.758000000100,2120408.912749999700,1986210.139999999700,2126029.403499999500,2057630.032999999800,10328364.247249998000
FS( 13 ),2040395.492000000300,2155532.798750000100,2026431.370000000300,2132649.977250000000,2079911.001499999800,10434920.639500000000
FS( 14 ),2085435.305000000600,2111627.941249999700,2000148.189999999700,2149863.469000000000,2099414.315750000100,10446489.221000001000
FS( 15 ),2111419.812500000000,2120408.912749999700,2000148.189999999700,2161780.501749999800,2079911.001499999800,10473668.418499999000
FS( 16 ),2090054.773000000300,2155532.798750000100,2019263.230000000200,2168401.075500000300,2057630.032999999800,10490881.910250001000
FS( 17 ),2102758.310000000500,2164313.770250000100,2007316.329999999800,2275654.370250000200,2077133.347249999600,10627176.127750000000
FS( 18 ),2091787.073499999900,2164313.770250000100,2033599.510000000000,2234606.813000000100,2093829.140000000100,10618136.306750000000
FS( 19 ),2120081.315000000400,2181875.713249999600,2033599.510000000000,2204152.173750000100,2082688.655749999900,10622397.367750000000
FS( 20 ),2116039.280499999900,2225780.570750000000,2014484.470000000000,2204152.173750000100,2077133.347249999600,10637589.842250001000
FS( 21 ),2102758.310000000500,2269685.428249999900,2028820.749999999500,2204152.173750000100,2077133.347249999600,10682550.009250000000
