代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10729610.561000001000
真實報酬,729610.561000000690

夏普值報酬,0.064261056100
夏普值風險,0.024671035630
夏普值,2.604716602273

預期報酬,40375.761056704861
風險,51906.544045880255
起點值,0.777854927522
找到最佳解世代,3128
找到最佳解實驗#,1
找到最佳解次數,44

投資組合檔數,9
1301(3),1326(5),1722(7),2382(22),2412(24),2886(35),4904(45),4938(46),6505(47),
Stock#,1301(3),1326(5),1722(7),2382(22),2412(24),2886(35),4904(45),4938(46),6505(47),
張數,14,14,16,23,15,63,33,49,13,
分配資金,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,1111111.000000000000,
剩餘資金,26387.468499999999,36622.031999999999,17234.444000000000,36632.046249999999,50151.283750000235,9563.528500000000,4696.603000000000,16363.204250000234,32396.018499999998,
FS( 1 ),1109567.468500000000,1109582.031999999900,1109554.443999999900,1109582.046249999900,1109601.283749999900,1109543.528500000000,1109536.602999999900,1109553.204250000000,1109576.018500000000,9986097.628750000100
FS( 2 ),1125123.950000000000,1125183.736999999700,1138490.831999999900,1123610.787000000000,1104913.217499999800,1100912.843499999700,1104647.685999999800,1072031.111250000300,1109986.487000000200,10004901.651249999000
FS( 3 ),1150630.581500000100,1145533.290000000000,1165092.595999999900,1111016.763249999800,1115366.755000000100,1104676.117000000100,1098733.970499999600,1104715.838499999800,1120469.891749999700,10116236.803500000000
FS( 4 ),1160805.358000000000,1150690.368499999900,1156650.119999999900,1148569.852250000000,1131047.061249999800,1107184.966000000000,1098733.970499999600,1100813.184500000200,1102997.550499999900,10157493.431499999000
FS( 5 ),1135298.726500000100,1145254.529000000100,1162703.216000000000,1123610.787000000000,1125820.292500000000,1107184.966000000000,1117460.736249999800,1175451.442250000300,1115034.052249999900,10207819.747750001000
FS( 6 ),1145473.503000000300,1145254.529000000100,1168756.311999999900,1126587.556249999900,1131047.061249999800,1113457.088500000300,1125674.229999999700,1246187.046000000100,1120469.891749999700,10322908.217750002000
FS( 7 ),1148818.635000000000,1156126.207999999900,1143428.883999999800,1103231.366749999800,1115366.755000000100,1109066.602750000100,1124360.070999999800,1269602.970000000400,1118399.095750000100,10288401.588250000000
FS( 8 ),1127075.277000000000,1139818.689500000100,1122880.216000000000,1111016.763249999800,1125820.292500000000,1094013.508750000000,1110561.401499999700,1285701.417750000300,1118399.095750000100,10235287.662000000000
FS( 9 ),1186730.131000000100,1172573.106999999800,1137375.787999999700,1101628.490999999900,1146727.367500000200,1109066.602750000100,1131587.945499999700,1282286.595500000300,1123834.935249999900,10391811.963499997000
FS( 10 ),1213769.947999999900,1167137.267499999800,1122880.216000000000,1101628.490999999900,1141500.598750000100,1102794.480250000000,1130273.786499999900,1240820.896750000300,1146743.116000000200,10367549.800749999000
FS( 11 ),1213769.947999999900,1167137.267499999800,1157765.163999999900,1101628.490999999900,1151954.136250000000,1126001.333499999900,1140787.058499999800,1249601.868250000300,1152178.955499999900,10460825.222500000000
FS( 12 ),1219205.787499999900,1167137.267499999800,1157765.163999999900,1093843.094499999900,1178087.980000000000,1130391.819250000400,1139472.899499999800,1226185.944250000200,1146743.116000000200,10458834.072500000000
FS( 13 ),1208334.108499999900,1150690.368499999900,1175924.451999999800,1104834.242499999700,1193768.286250000100,1132273.455999999800,1145715.154749999800,1247650.541250000200,1124870.333249999900,10484061.942999998000
FS( 14 ),1224641.626999999900,1150690.368499999900,1192809.404000000100,1123610.787000000000,1198995.055000000200,1136663.941750000000,1165427.539749999800,1246187.046000000100,1168615.898749999900,10607642.667749999000
FS( 15 ),1208334.108499999900,1178008.946500000100,1253021.779999999800,1107811.011749999800,1193768.286250000100,1117220.362000000000,1160499.443499999800,1278871.773250000100,1168615.898749999900,10666152.610499999000
FS( 16 ),1230077.466499999900,1194316.465000000100,1253021.779999999800,1115825.390500000000,1145383.341250000300,1147326.550000000000,1156885.506249999900,1264236.820750000000,1190488.681499999900,10697563.001750000000
FS( 17 ),1219205.787499999900,1199891.684999999600,1228968.687999999800,1131396.183500000000,1128807.017500000100,1134155.092750000100,1130930.865999999900,1256919.344500000100,1206796.200000000000,10637071.864749998000
FS( 18 ),1230077.466499999900,1199891.684999999600,1247127.975999999800,1134601.935000000100,1147474.048750000100,1176805.525750000000,1137173.121249999900,1273017.792250000200,1223233.143250000200,10769403.693750000000
FS( 19 ),1192165.970500000100,1194316.465000000100,1277234.163999999900,1157958.124499999900,1143143.297500000100,1200012.379000000000,1137173.121249999900,1273017.792250000200,1228668.982750000200,10803691.296750000000
FS( 20 ),1213769.947999999900,1188880.625500000100,1301287.255999999800,1164369.627499999900,1149714.092499999800,1200012.379000000000,1185139.924749999800,1231552.093500000200,1206796.200000000000,10841523.146749998000
FS( 21 ),1203037.649500000100,1178008.946500000100,1259074.875999999900,1148569.852250000000,1149714.092499999800,1180568.799250000200,1173969.573249999900,1218868.468000000100,1217797.303750000000,10729610.561000001000
