代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10463079.455249999000
真實報酬,463079.455249998720

夏普值報酬,0.037607945525
夏普值風險,0.013110404295
夏普值,2.868557267765

預期報酬,27374.478901570772
風險,27949.109600510092
起點值,0.979440107139
找到最佳解世代,3474
找到最佳解實驗#,1
找到最佳解次數,47

投資組合檔數,8
2002(8),2324(16),2382(21),2409(24),2474(27),3045(43),3481(44),4904(45),
Stock#,2002(8),2324(16),2382(21),2409(24),2474(27),3045(43),3481(44),4904(45),
張數,52,71,21,108,5,12,103,18,
分配資金,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,1250000.000000000000,
剩餘資金,19489.017000000000,752.355250000000,45405.896000000001,4067.072000000233,154591.263749999780,56461.627999999997,10175.764499999999,19929.644000000000,
FS( 1 ),1248249.017000000000,1248222.355250000000,1248285.895999999900,1248227.071999999900,1248441.263749999900,1248301.628000000000,1248235.764500000000,1248249.644000000100,9986212.640499997900
FS( 2 ),1255236.530000000000,1242702.300500000100,1242963.152000000000,1237345.559000000100,1236333.279999999800,1265726.845999999900,1247884.560250000100,1261451.492000000100,9989643.719750000200
FS( 3 ),1263002.014999999900,1252598.316000000100,1242963.152000000000,1268526.968000000100,1224286.822499999300,1277076.400999999800,1288902.250250000000,1270053.260000000000,10087409.184749998000
FS( 4 ),1255236.530000000000,1249064.024749999900,1251116.911249999900,1298633.156000000200,1231504.741249999500,1260111.803000000100,1329919.940250000000,1270053.260000000000,10145640.366500000000
FS( 5 ),1247988.744000000200,1242702.300500000100,1274950.976749999900,1329814.565000000200,1236333.279999999800,1254377.291000000000,1319665.517750000100,1268261.224999999900,10174093.900000000000
FS( 6 ),1247988.744000000200,1245529.733500000100,1273069.339999999900,1324438.460000000200,1231504.741249999500,1254377.291000000000,1314538.306500000200,1266648.393499999800,10158095.009749999000
FS( 7 ),1272838.296000000100,1242702.300500000100,1302966.457249999700,1324438.460000000200,1209801.206249999600,1271461.358000000000,1309411.095250000000,1268261.224999999900,10201880.398249999000
FS( 8 ),1275426.791000000000,1232099.426750000300,1312792.782500000000,1335190.670000000400,1190487.051249999800,1265726.845999999900,1319665.517750000100,1268261.224999999900,10199650.310249999000
FS( 9 ),1278015.285999999800,1249064.024749999900,1322828.178500000200,1350243.764000000000,1197704.969999999700,1277076.400999999800,1335047.151499999900,1276862.993000000000,10286842.768749999000
FS( 10 ),1265590.510000000000,1266028.622749999900,1312792.782500000000,1329814.565000000200,1212190.586249999700,1271461.358000000000,1314538.306500000200,1285285.557500000100,10257702.288500000000
FS( 11 ),1265590.510000000000,1266028.622749999900,1314883.489999999800,1329814.565000000200,1231504.741249999500,1277076.400999999800,1319665.517750000100,1280267.859500000000,10284831.707249999000
FS( 12 ),1275426.791000000000,1262494.331500000300,1312792.782500000000,1340566.775000000100,1224286.822499999300,1271461.358000000000,1354530.554250000000,1283672.726000000000,10325232.140749998000
FS( 13 ),1275426.791000000000,1258960.040250000100,1322828.178500000200,1329814.565000000200,1277400.748749999800,1254377.291000000000,1349403.343000000100,1283672.726000000000,10351883.683499999000
FS( 14 ),1275426.791000000000,1255425.749000000100,1308820.438249999900,1324438.460000000200,1325686.136249999700,1248762.247999999900,1344276.131749999900,1278475.824500000100,10361311.778749999000
FS( 15 ),1283192.276000000100,1258960.040250000100,1312792.782500000000,1329814.565000000200,1332953.833749999800,1254377.291000000000,1344276.131749999900,1288690.423999999900,10405057.344250001000
FS( 16 ),1285263.071999999700,1255425.749000000100,1314883.489999999800,1335190.670000000400,1386067.759999999300,1243027.736000000000,1354530.554250000000,1288690.423999999900,10463079.455249999000
