代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11072731.780749999000
真實報酬,1072731.780749999000

夏普值報酬,0.098573178075
夏普值風險,0.034001826944
夏普值,2.899055343070

預期報酬,50385.601148484835
風險,164167.016685944980
起點值,0.306916713026
找到最佳解世代,3478
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,2
2301(10),4904(45),
Stock#,2301(10),4904(45),
張數,244,131,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,5533.011999999068,22777.550500000933,
FS( 1 ),4992893.012000000100,4992917.550499999900,9985810.562500000000
FS( 2 ),4944102.710999998300,5088302.973500001200,10032405.684500000000
FS( 3 ),4859080.605999998700,5263066.209000000700,10122146.814999999000
FS( 4 ),4893089.447999999900,5253936.786250000800,10147026.234250002000
FS( 5 ),4970823.944000000100,5389573.924250001100,10360397.868250001000
FS( 6 ),4970823.944000000100,5555207.737000001600,10526031.681000002000
FS( 7 ),4936815.102000000000,5400007.550250000300,10336822.652249999000
FS( 8 ),4936815.102000000000,5360881.452750000200,10297696.554749999000
FS( 9 ),4944102.710999998300,5234373.737500000700,10178476.448500000000
FS( 10 ),5029124.815999999600,5312625.932500002000,10341750.748500001000
FS( 11 ),5114146.921000000100,5409136.972999999300,10523283.893999999000
FS( 12 ),5259899.100999997900,5516081.639499999600,10775980.740499998000
FS( 13 ),5301195.551999999200,5740404.598500001200,11041600.150500000000
FS( 14 ),5454235.340999999100,5565641.363000000800,11019876.704000000000
FS( 15 ),5378930.048000000400,5380444.501500000200,10759374.549500000000
FS( 16 ),5429943.310999998800,5478259.745250000600,10908203.056249999000
FS( 17 ),5055846.048999998700,5478259.745250000600,10534105.794250000000
FS( 18 ),5225890.258999998700,5653022.980750001000,10878913.239750000000
FS( 19 ),5225890.258999998700,5633459.932000001000,10859350.191000000000
FS( 20 ),5233177.867999999800,5770401.273250001500,11003579.141250001000
FS( 21 ),5344921.205999998400,5692149.078250001200,11037070.284249999000
FS( 22 ),5497960.994999999200,5574770.785750000700,11072731.780749999000
