代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10760520.353750000000
真實報酬,760520.353749999780

夏普值報酬,0.067352035375
夏普值風險,0.021183132056
夏普值,3.179512604553

預期報酬,31749.230984650869
風險,51836.746958530843
起點值,0.612485019750
找到最佳解世代,3000
找到最佳解實驗#,2
找到最佳解次數,38

投資組合檔數,7
2308(15),2311(16),2412(27),2498(30),2912(41),3045(43),4904(46),
Stock#,2308(15),2311(16),2412(27),2498(30),2912(41),3045(43),4904(46),
張數,16,82,19,6,11,18,27,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,74804.627999999997,558.978500000000,68896.220500000229,195916.967500000000,68135.137499999997,18604.656999999999,7158.369250000000,
FS( 1 ),1426644.628000000000,1426538.978500000000,1426636.220500000100,1426816.967500000000,1426635.137500000000,1426564.656999999900,1426548.369250000000,9986387.958249999200
FS( 2 ),1474184.848000000000,1436556.446999999900,1424978.883750000300,1351062.728500000000,1453915.802999999800,1427144.166999999900,1422418.010500000100,9990263.887749999800
FS( 3 ),1460804.320000000100,1439821.932999999700,1435382.642500000300,1333441.051000000000,1472971.108499999900,1440942.836500000000,1424299.647249999900,10007666.538750000000
FS( 4 ),1500945.904000000100,1459414.849000000200,1448812.949250000300,1371551.662000000200,1492026.414000000100,1427144.166999999900,1428600.531250000000,10128499.476500001000
FS( 5 ),1521016.696000000000,1456149.363000000100,1436895.916500000300,1418443.244500000000,1511081.719499999900,1434133.103500000000,1413816.242499999700,10191539.285499999000
FS( 6 ),1514326.432000000000,1462680.335000000200,1444273.127250000100,1436064.922000000000,1501554.066749999800,1427144.166999999900,1407633.721749999800,10193679.771749999000
FS( 7 ),1507636.167999999800,1482273.251000000200,1436895.916500000300,1521067.115499999800,1501554.066749999800,1406535.764500000000,1397150.317000000000,10253115.599249998000
FS( 8 ),1507636.167999999800,1488804.223000000200,1432545.253750000400,1611983.024500000300,1496844.997000000200,1385748.158499999900,1405483.279750000200,10329048.104500001000
FS( 9 ),1474184.848000000000,1449618.391000000100,1431031.979750000200,1515213.134500000200,1472971.108499999900,1413345.497499999800,1453868.224750000100,10210236.184000000000
FS( 10 ),1480875.112000000000,1472476.793000000100,1432545.253750000400,1567958.697999999900,1472971.108499999900,1447931.772999999800,1474835.034249999800,10349596.772500001000
FS( 11 ),1480875.112000000000,1462680.335000000200,1438409.190500000500,1588507.365999999900,1468262.038749999800,1461730.442499999900,1474835.034249999800,10375302.519000003000
FS( 12 ),1427353.000000000000,1462680.335000000200,1438409.190500000500,1653020.625999999900,1487317.344250000100,1468540.175499999700,1464351.629500000000,10401675.300750000000
FS( 13 ),1413972.471999999800,1492886.080500000200,1438409.190500000500,1623690.986500000100,1487317.344250000100,1482518.048499999800,1470534.150249999900,10409331.272500001000
FS( 14 ),1434043.264000000000,1502682.538500000000,1439922.464500000500,1579726.394500000200,1511081.719499999900,1475529.111999999700,1483167.997000000000,10426156.490000000000
FS( 15 ),1440733.527999999900,1482273.251000000200,1438409.190500000500,1611983.024500000300,1506372.649750000100,1468540.175499999700,1470534.150249999900,10418848.969500002000
FS( 16 ),1467494.584000000000,1505948.024500000300,1439922.464500000500,1582653.385000000000,1477789.691500000000,1461730.442499999900,1453868.224750000100,10389409.816750001000
FS( 17 ),1487565.375999999900,1541868.370499999700,1442759.853250000200,1603142.318500000100,1487317.344250000100,1482518.048499999800,1474835.034249999800,10520009.345249999000
FS( 18 ),1500945.904000000100,1564726.772500000200,1444273.127250000100,1667655.578499999800,1487317.344250000100,1468540.175499999700,1466233.266250000100,10599695.168249998000
FS( 19 ),1514326.432000000000,1558195.800500000100,1451650.338000000000,1653020.625999999900,1506372.649750000100,1468540.175499999700,1474835.034249999800,10626944.056000000000
FS( 20 ),1467494.584000000000,1541868.370499999700,1451650.338000000000,1696985.218000000100,1496844.997000000200,1440942.836500000000,1495801.843750000000,10591591.187750001000
FS( 21 ),1507636.167999999800,1551664.828500000100,1456190.160000000400,1714547.160999999800,1515900.302499999500,1461730.442499999900,1516768.653250000000,10724440.715750000000
FS( 22 ),1467494.584000000000,1597381.632499999800,1457514.274750000100,1755644.497000000000,1487317.344250000100,1461730.442499999900,1533434.578750000100,10760520.353750000000
