代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10931404.881750001000
真實報酬,931404.881750000640

夏普值報酬,0.084440488175
夏普值風險,0.037193604861
夏普值,2.270295887981

預期報酬,40149.247908562334
風險,244391.147240799710
起點值,0.164282742488
找到最佳解世代,3425
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
2311(13),2353(19),2454(26),
Stock#,2311(13),2353(19),2454(26),
張數,187,106,14,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,7480.403999999534,23543.260999999999,107202.305500000000,
FS( 1 ),3328600.404000000100,3328623.260999999900,3328742.305499999800,9985966.970499999800
FS( 2 ),3453533.841750000100,3402644.280000000700,3353095.389499999600,10209274.511250000000
FS( 3 ),3453533.841750000100,3241181.926500000100,3259152.932500000100,9953869.700750000800
FS( 4 ),3319489.623749999800,3222186.355499999600,3137473.755999999600,9679150.735249998000
FS( 5 ),3487044.896249999800,3231684.140999999400,3231555.593499999500,9950285.630749998600
FS( 6 ),3408852.435749999200,3455409.755000000400,3242566.652999999500,10106829.843749998000
FS( 7 ),3453533.841750000100,3635867.679499999200,3231555.593499999500,10320958.114749998000
FS( 8 ),3442363.490249999300,3499732.754000000200,3242566.652999999500,10184663.897249999000
FS( 9 ),3384650.007499999800,3328772.615000000200,3198383.034500000100,9911806.657000001500
FS( 10 ),3524279.401250000100,3412142.065500000000,3386407.328999999900,10322829.795750000000
FS( 11 ),3768165.408999999500,3503953.991999999200,3546694.904000000100,10818815.305000000000
FS( 12 ),3703005.025249999900,3334049.162500000100,3530108.624500000400,10567163.812250001000
FS( 13 ),3639706.366750000000,3313998.281999999700,3718132.918999999800,10671838.567749999000
FS( 14 ),3652738.443499999100,3289726.163499999800,3856398.374999999500,10798863.981999999000
FS( 15 ),3626674.289999999600,3353044.733500000100,3955916.051999999200,10935636.075499998000
FS( 16 ),3479597.995249999200,3416363.303499999500,3690535.579999999600,10586497.878749998000
FS( 17 ),3326936.524749999400,3309777.043999999800,3491360.845500000300,10128075.414249999000
FS( 18 ),3498215.247749999600,3538779.205499999700,3723708.139000000000,10760703.592249999000
FS( 19 ),3460980.742749999700,3577825.656999999700,3790053.257000000200,10828860.656750001000
FS( 20 ),3447948.665999999700,3665416.345499999800,3740294.418500000100,10853660.430000000000
FS( 21 ),3397682.084249999400,3693909.702000000500,3839812.095500000300,10931404.881750001000
