代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11589432.800000000745058
真實報酬,1589432.800000000745058

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,24344.296088970811979
風險,113094.170682573603699
起點值,0.215256860208109
找到最佳解世代,1731
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,2
CVX[5](2),PFE[20](1),
Stock#,CVX[5](2),PFE[20](1),
張數,54383,282805,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,26.980000000447035,7.599999999627471,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4981509.780000000260770,5087669.549999998882413,10069179.329999998211861
FS( 3 ),4972808.500000000000000,5121606.149999999441206,10094414.649999998509884
FS( 4 ),4932021.250000000000000,5141402.500000000000000,10073423.750000000000000
FS( 5 ),4959212.750000000000000,5186651.299999999813735,10145864.050000000745058
FS( 6 ),4916794.010000000707805,5164026.900000000372529,10080820.910000000149012
FS( 7 ),4994017.870000000111759,5152714.699999999254942,10146732.570000000298023
FS( 8 ),5027735.330000001005828,5195135.450000000186265,10222870.780000001192093
FS( 9 ),5013051.920000000856817,5152714.699999999254942,10165766.620000001043081
FS( 10 ),5048400.870000000111759,5186651.299999999813735,10235052.169999999925494
FS( 11 ),5076680.030000000260770,5197963.499999999068677,10274643.529999999329448
FS( 12 ),5056014.490000000223517,5180995.199999999254942,10237009.689999999478459
FS( 13 ),5041874.910000000149012,5158370.799999998882413,10200245.709999999031425
FS( 14 ),5100064.720000000670552,5192307.399999999441206,10292372.120000001043081
FS( 15 ),5117467.280000000260770,5217759.849999999627471,10335227.129999998956919
FS( 16 ),5116379.620000000111759,5223415.949999999254942,10339795.570000000298023
FS( 17 ),5146834.100000000558794,5192307.399999999441206,10339141.500000000000000
FS( 18 ),5152816.230000000447035,5226244.000000000000000,10379060.230000000447035
FS( 19 ),5077767.690000000409782,5132918.349999999627471,10210686.039999999105930
FS( 20 ),5162605.170000000856817,5152714.699999999254942,10315319.870000001043081
FS( 21 ),5232759.240000000223517,5435519.699999999254942,10668278.939999999478459
FS( 22 ),5246898.820000000298023,5361990.399999999441206,10608889.219999998807907
FS( 23 ),5292036.710000000894070,5421379.450000000186265,10713416.160000000149012
FS( 24 ),5281160.110000000335276,5458144.099999999627471,10739304.210000000894070
FS( 25 ),5311070.760000000707805,5384614.799999999813735,10695685.560000000521541
FS( 26 ),5315421.400000000372529,5418551.399999999441206,10733972.800000000745058
FS( 27 ),5233846.900000000372529,5387442.849999999627471,10621289.750000000000000
FS( 28 ),5258863.080000001005828,5381786.750000000000000,10640649.830000001937151
FS( 29 ),5245267.330000001005828,5325225.749999999068677,10570493.080000000074506
FS( 30 ),5272458.830000001005828,5387442.849999999627471,10659901.679999999701977
FS( 31 ),5239285.200000000186265,5387442.849999999627471,10626728.050000000745058
FS( 32 ),5256687.760000000707805,5452488.000000000000000,10709175.760000001639128
FS( 33 ),5284423.090000000782311,5477940.450000000186265,10762363.540000000968575
FS( 34 ),5368716.740000000223517,5427035.549999999813735,10795752.289999999105930
FS( 35 ),5455729.540000000037253,5342194.049999999813735,10797923.589999999850988
FS( 36 ),5561776.390000000596046,5305429.400000000372529,10867205.790000000968575
FS( 37 ),5548724.470000000670552,5345022.099999999627471,10893746.570000000298023
FS( 38 ),5552531.280000000260770,5333709.899999999441206,10886241.179999999701977
FS( 39 ),5642263.230000000447035,5441175.799999998882413,11083439.029999999329448
FS( 40 ),5596037.680000000633299,5412895.299999999813735,11008932.980000000447035
FS( 41 ),5627035.990000000223517,5427035.549999999813735,11054071.539999999105930
FS( 42 ),5666191.750000000000000,5591062.449999999254942,11257254.199999999254942
FS( 43 ),5642263.230000000447035,5559953.899999999441206,11202217.129999998956919
FS( 44 ),5602019.810000000521541,5545813.649999999441206,11147833.460000000894070
FS( 45 ),5643350.890000000596046,5565610.000000000000000,11208960.890000000596046
FS( 46 ),5554706.600000000558794,5559953.899999999441206,11114660.500000000000000
FS( 47 ),5388294.620000000111759,5475112.399999999441206,10863407.019999999552965
FS( 48 ),5434520.170000000856817,5506220.949999999254942,10940741.120000001043081
FS( 49 ),5481833.379999999888241,5602374.649999999441206,11084208.029999999329448
FS( 50 ),5505218.070000000298023,5588234.400000000372529,11093452.470000000670552
FS( 51 ),5411679.310000000521541,5458144.099999999627471,10869823.410000000149012
FS( 52 ),5560144.900000000372529,5622170.999999999068677,11182315.899999998509884
FS( 53 ),5590599.379999999888241,5707012.500000000000000,11297611.879999998956919
FS( 54 ),5720574.750000000000000,5650451.500000000000000,11371026.250000000000000
FS( 55 ),5722750.070000000298023,5639139.299999999813735,11361889.370000001043081
FS( 56 ),5736345.820000000298023,5633483.200000000186265,11369829.019999999552965
FS( 57 ),5730907.520000000484288,5740949.099999999627471,11471856.620000001043081
FS( 58 ),5807043.720000000670552,5755089.349999999627471,11562133.070000000298023
FS( 59 ),5766800.300000000745058,5732464.949999999254942,11499265.250000000000000
FS( 60 ),5839129.690000000409782,5763573.499999999068677,11602703.189999999478459
FS( 61 ),5873934.810000000521541,5752261.299999999813735,11626196.109999999403954
FS( 62 ),5845655.650000000372529,5743777.149999999441206,11589432.800000000745058
