代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10892425.660000002011657
真實報酬,892425.660000002011657

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14342.448866821334377
風險,43160.473554309370229
起點值,0.332305178458574
找到最佳解世代,1969
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
CAT[3](5),CSCO[4](11),INTC[11](12),KO[14](6),MCD[15](10),TRV[22](1),VZ[26](13),
Stock#,CAT[3](5),CSCO[4](11),INTC[11](12),KO[14](6),MCD[15](10),TRV[22](1),VZ[26](13),
張數,14312,61842,54966,37192,14592,16928,29917,
分配資金,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,
剩餘資金,90.280000000027940,20.799999999813735,4.660000000149012,26.280000000027940,14.199999999953434,17.080000000074506,34.250000000000000,
FS( 1 ),1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,1428571.000000000000000,10000000.000000000000000
FS( 2 ),1468930.839999999850988,1421768.379999999655411,1423074.400000000139698,1425595.639999999897555,1424047.479999999981374,1432972.280000000260770,1430665.189999999944121,10027057.209999999031425
FS( 3 ),1467785.879999999888241,1427952.579999999841675,1451656.720000000204891,1415925.719999999972060,1425068.919999999925494,1438558.520000000251457,1439640.290000000037253,10066591.629999998956919
FS( 4 ),1462347.320000000065193,1404452.619999999878928,1437915.220000000204891,1421504.520000000018626,1428133.239999999990687,1442282.680000000167638,1437246.929999999934807,10033885.529999999329448
FS( 5 ),1447176.600000000093132,1413110.500000000000000,1456054.000000000000000,1436381.319999999832362,1415584.120000000111759,1438897.080000000074506,1439640.290000000037253,10046846.910000000149012
FS( 6 ),1465495.959999999962747,1418676.279999999795109,1479139.720000000204891,1446795.080000000074506,1431197.559999999823049,1434326.520000000251457,1442332.820000000065193,10117966.939999999478459
FS( 7 ),1474083.159999999916181,1429807.839999999850988,1482987.340000000083819,1450142.360000000102445,1435137.399999999906868,1452778.040000000037253,1435451.909999999916181,10160391.050000000745058
