代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10450959.649999998509884
真實報酬,450959.649999998509884

夏普值報酬,0.036395965000000
夏普值風險,0.022838035936083
夏普值,1.593655649805487

二次趨勢線,4140.932134582617437 x^2 + -62302.083845805856981 x + 10000000.000000000000000
二次加權預期報酬,56404.637345562507107
風險,54321.348472553167085
二次加權趨勢值,1.038351199511587
一次趨勢線,4434.334044095413446 x + 10000000.000000000000000
一次預期報酬,4434.334044095413446
一次風險,222776.271429651766084
一次趨勢值,0.019904875935118
找到最佳解世代,2475
找到最佳解實驗#,2
找到最佳解次數,6

stock[index](rank)
投資組合檔數,2
INTC[11](1),PFE[20](3),
Stock#,INTC[11](1),PFE[20](3),
張數,258131,311720,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,2.529999999329448,11.200000000186265,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4987093.449999999254942,5009351.600000000558794,9996445.050000000745058
FS( 3 ),4868353.189999999478459,4947007.599999999627471,9815360.789999999105930
FS( 4 ),4827052.229999999515712,4922070.000000000000000,9749122.230000000447035
FS( 5 ),4775426.029999999329448,4975062.400000000372529,9750488.429999999701977
FS( 6 ),4842540.089999999850988,4959476.400000000372529,9802016.490000000223517
FS( 7 ),4811564.369999999180436,4934538.799999999813735,9746103.169999998062849
FS( 8 ),4855446.639999998733401,4943890.400000000372529,9799337.039999999105930
FS( 9 ),4917398.079999999143183,4925187.200000000186265,9842585.279999999329448
FS( 10 ),4845121.399999999441206,4915835.599999999627471,9760957.000000000000000
FS( 11 ),4762519.479999999515712,4950124.800000000745058,9712644.280000001192093
FS( 12 ),4845121.399999999441206,4981296.800000000745058,9826418.199999999254942
FS( 13 ),4852865.329999999143183,5102867.600000000558794,9955732.929999999701977
FS( 14 ),4829633.539999999105930,5059226.800000000745058,9888860.339999999850988
FS( 15 ),4876097.119999999180436,5187032.000000000000000,10063129.119999999180436
FS( 16 ),4842540.089999999850988,5215086.800000000745058,10057626.890000000596046
FS( 17 ),4930304.629999999888241,5236907.200000000186265,10167211.830000000074506
FS( 18 ),5015487.859999999403954,5227555.599999999627471,10243043.459999999031425
FS( 19 ),5025813.099999998696148,5255610.400000000372529,10281423.500000000000000
FS( 20 ),5227155.279999999329448,5240024.399999999441206,10467179.679999999701977
FS( 21 ),5245224.449999999254942,5205735.200000000186265,10450959.649999998509884
