代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10557594.219999998807907
真實報酬,557594.219999998807907

夏普值報酬,0.047059422000000
夏普值風險,0.029032917095246
夏普值,1.620898852348056

二次趨勢線,4875.229747869522726 x^2 + -61238.777369702445867 x + 10000000.000000000000000
二次加權預期報酬,72017.502405397841358
風險,94218.517541810098919
二次加權趨勢值,0.764366753843687
一次趨勢線,13673.289487804870078 x + 10000000.000000000000000
一次預期報酬,13673.289487804870078
一次風險,249785.268147205759306
一次趨勢值,0.054740175788697
找到最佳解世代,2469
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
JNJ[12](2),UTX[24](1),
Stock#,JNJ[12](2),UTX[24](1),
張數,47906,57103,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,50.779999999329448,61.320000000298023,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4954010.239999999292195,4877799.580000000074506,9831809.820000000298023
FS( 3 ),4988981.619999999180436,4908635.200000000186265,9897616.820000000298023
FS( 4 ),4977484.179999999701977,5031977.680000000633299,10009461.859999999403954
FS( 5 ),4816520.019999999552965,5015988.840000000782311,9832508.859999999403954
FS( 6 ),4886462.779999999329448,4955459.660000000149012,9841922.439999999478459
FS( 7 ),4885025.599999999627471,4981727.040000000037253,9866752.640000000596046
FS( 8 ),4873528.159999999217689,4965738.200000000186265,9839266.359999999403954
FS( 9 ),4872090.979999999515712,4834401.299999999813735,9706492.279999999329448
FS( 10 ),4877839.699999999254942,4908064.170000000856817,9785903.870000001043081
FS( 11 ),4901792.699999999254942,4938328.760000000707805,9840121.460000000894070
FS( 12 ),4910415.779999999329448,5031977.680000000633299,9942393.460000000894070
FS( 13 ),4993772.219999998807907,5045682.400000000372529,10039454.619999999180436
FS( 14 ),4989939.739999999292195,5038259.010000000707805,10028198.750000000000000
FS( 15 ),5018204.279999999329448,5274665.430000000633299,10292869.710000000894070
FS( 16 ),4986107.259999998845160,5230696.120000000111759,10216803.379999998956919
FS( 17 ),5028264.539999999105930,5345473.150000000372529,10373737.689999999478459
FS( 18 ),5096291.059999998658895,5600152.530000000260770,10696443.589999999850988
FS( 19 ),5067547.459999999031425,5578453.390000000596046,10646000.849999999627471
FS( 20 ),5040241.039999999105930,5517353.180000000633299,10557594.219999998807907
