代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10667953.890000000596046
真實報酬,667953.890000000596046

夏普值報酬,0.058095389000000
夏普值風險,0.031114307793835
夏普值,1.867159937638463

二次趨勢線,4546.295104460759831 x^2 + -64062.415183512181102 x + 10000000.000000000000000
二次加權預期報酬,72326.437950310617452
風險,64880.821834149683127
二次加權趨勢值,1.114758350860500
一次趨勢線,12618.428911725941362 x + 10000000.000000000000000
一次預期報酬,12618.428911725941362
一次風險,267675.988530856324360
一次趨勢值,0.047140682961450
找到最佳解世代,2923
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
NKE[19](15),UNH[23](5),VZ[26](4),WMT[28](8),
Stock#,NKE[19](15),UNH[23](5),VZ[26](4),WMT[28](8),
張數,190694,99364,86775,51684,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,1.660000000149012,1.759999999776483,12.250000000000000,44.919999999925494,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2435164.040000000037253,2375795.000000000000000,2448802.750000000000000,2470023.279999999795109,9729785.070000000298023
FS( 3 ),2475209.780000000260770,2393680.519999999552965,2462686.750000000000000,2466922.239999999757856,9798499.289999999105930
FS( 4 ),2440884.860000000335276,2500993.640000000130385,2404547.500000000000000,2472607.479999999981374,9819033.480000000447035
FS( 5 ),2456140.380000000353903,2451311.640000000130385,2324714.500000000000000,2500000.000000000000000,9732166.519999999552965
FS( 6 ),2435164.040000000037253,2478139.919999999925494,2323846.750000000000000,2485011.639999999664724,9722162.349999999627471
FS( 7 ),2446605.680000000167638,2451311.640000000130385,2322111.250000000000000,2458652.799999999813735,9678681.370000001043081
FS( 8 ),2458047.320000000298023,2485095.399999999906868,2356821.250000000000000,2472090.639999999664724,9772054.609999999403954
FS( 9 ),2475209.780000000260770,2461248.039999999571592,2349011.500000000000000,2487595.839999999850988,9773065.160000000149012
FS( 10 ),2522883.280000000260770,2475159.000000000000000,2380250.500000000000000,2509303.119999999646097,9887595.900000000372529
FS( 11 ),2536231.860000000335276,2508942.759999999776483,2393266.750000000000000,2507235.759999999776483,9945677.129999998956919
FS( 12 ),2500000.000000000000000,2493044.519999999552965,2400208.750000000000000,2506202.080000000074506,9899455.349999999627471
FS( 13 ),2519069.400000000372529,2468203.519999999552965,2414960.500000000000000,2523257.799999999813735,9925491.219999998807907
FS( 14 ),2482837.540000000037253,2542726.519999999552965,2460083.500000000000000,2525325.159999999683350,10010972.719999998807907
FS( 15 ),2456140.380000000353903,2583465.759999999776483,2444464.000000000000000,2541347.200000000186265,10025417.339999999850988
FS( 16 ),2438977.919999999925494,2687797.959999999962747,2537313.250000000000000,2520156.759999999776483,10184245.890000000596046
FS( 17 ),2486651.419999999925494,2714626.239999999757856,2555536.000000000000000,2529459.879999999888241,10286273.539999999105930
FS( 18 ),2496186.120000000111759,2744435.439999999944121,2514751.750000000000000,2531010.399999999906868,10286383.710000000894070
FS( 19 ),2522883.280000000260770,2889506.879999999422580,2547726.250000000000000,2528426.200000000186265,10488542.609999999403954
FS( 20 ),2591533.120000000111759,2822933.000000000000000,2594584.750000000000000,2551684.000000000000000,10560734.870000001043081
FS( 21 ),2673531.540000000037253,2792130.160000000149012,2621485.000000000000000,2583211.239999999757856,10670357.939999999478459
FS( 22 ),2700228.700000000186265,2788155.599999999627471,2601526.750000000000000,2578042.839999999850988,10667953.890000000596046
