代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10425570.809999998658895
真實報酬,425570.809999998658895

夏普值報酬,0.033857081000000
夏普值風險,0.023417213530094
夏普值,1.445820227777742

二次趨勢線,3135.513542018491989 x^2 + -32380.497286765006720 x + 10000000.000000000000000
二次加權預期報酬,53323.539528407105536
風險,113756.086253291126923
二次加權趨勢值,0.468753288590432
一次趨勢線,15799.344944250864501 x + 10000000.000000000000000
一次預期報酬,15799.344944250864501
一次風險,187288.166128952580038
一次趨勢值,0.084358479613563
找到最佳解世代,2078
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](1),KO[14](2),
Stock#,HD[9](1),KO[14](2),
張數,40189,118371,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,86.509999999776483,8.959999999962747,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5050236.250000000000000,4990530.319999999366701,10040766.570000000298023
FS( 3 ),5038983.329999999143183,4968039.830000000074506,10007023.160000000149012
FS( 4 ),5052647.589999999850988,5010653.389999999664724,10063300.980000000447035
FS( 5 ),5063096.729999999515712,4966856.120000000111759,10029952.849999999627471
FS( 6 ),5003617.009999999776483,4917140.299999999813735,9920757.309999998658895
FS( 7 ),5034160.650000000372529,4944365.629999999888241,9978526.280000001192093
FS( 8 ),5012056.699999999254942,4976325.799999999813735,9988382.500000000000000
FS( 9 ),4975886.599999999627471,4921875.139999999664724,9897761.739999998360872
FS( 10 ),4822766.509999999776483,4898200.940000000409782,9720967.449999999254942
FS( 11 ),4856525.269999999552965,4966856.120000000111759,9823381.390000000596046
FS( 12 ),5071134.530000000260770,4932528.530000000260770,10003663.060000000521541
FS( 13 ),5085602.570000000298023,5004734.839999999850988,10090337.410000000149012
FS( 14 ),5098463.049999999813735,5102982.769999999552965,10201445.820000000298023
FS( 15 ),5233096.200000000186265,5022490.490000000223517,10255586.690000001341105
FS( 16 ),5325129.009999999776483,5085227.120000000111759,10410356.129999998956919
FS( 17 ),5369336.909999999217689,5132575.519999999552965,10501912.429999999701977
FS( 18 ),5411535.360000000335276,5132575.519999999552965,10544110.879999998956919
FS( 19 ),5415152.370000000111759,5107717.609999999403954,10522869.980000000447035
FS( 20 ),5380589.829999999143183,5044980.979999999515712,10425570.809999998658895
