代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10959084.309999998658895
真實報酬,959084.309999998658895

夏普值報酬,0.087208431000000
夏普值風險,0.042497273756278
夏普值,2.052094717890380

二次趨勢線,2744.732302334404267 x^2 + -2634.402919663411012 x + 10000000.000000000000000
二次加權預期報酬,79707.566150368715171
風險,151703.511115558445454
二次加權趨勢值,0.525416752481440
一次趨勢線,43660.081913043439272 x + 10000000.000000000000000
一次預期報酬,43660.081913043439272
一次風險,218163.801661534409504
一次趨勢值,0.200125234253018
找到最佳解世代,2110
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
KO[14](1),WMT[28](2),
Stock#,KO[14](1),WMT[28](2),
張數,251889,104079,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,3.349999999627471,44.839999999850988,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4891687.730000000447035,4931307.860000000335276,9822995.589999999850988
FS( 3 ),5002518.889999999664724,5046835.549999999813735,10049354.439999999478459
FS( 4 ),4768262.119999999180436,5177975.089999999850988,9946237.209999999031425
FS( 5 ),4924433.299999999813735,5090548.729999999515712,10014982.029999999329448
FS( 6 ),4881612.169999998994172,4944838.129999999888241,9826450.299999998882413
FS( 7 ),4931989.969999998807907,5065569.770000000484288,9997559.739999998360872
FS( 8 ),4984886.659999999217689,4939634.179999999701977,9924520.839999999850988
FS( 9 ),5143576.730000000447035,5093671.099999999627471,10237247.830000000074506
FS( 10 ),5191435.639999999664724,5119690.849999999627471,10311126.489999998360872
FS( 11 ),5198992.309999999590218,5079100.039999999105930,10278092.349999997764826
FS( 12 ),5221662.319999999366701,5203994.839999999850988,10425657.160000000149012
FS( 13 ),5246851.219999998807907,5249789.599999999627471,10496640.819999998435378
FS( 14 ),5312342.359999999403954,5198790.890000000596046,10511133.250000000000000
FS( 15 ),5370276.830000000074506,5161322.450000000186265,10531599.280000001192093
FS( 16 ),5559193.580000000074506,5358031.759999999776483,10917225.339999999850988
FS( 17 ),5544080.240000000223517,5316400.159999999217689,10860480.399999998509884
FS( 18 ),5637279.169999998994172,5378847.559999999590218,11016126.729999998584390
FS( 19 ),5649873.619999999180436,5491252.879999999888241,11141126.500000000000000
FS( 20 ),5680100.299999999813735,5471477.870000000111759,11151578.169999999925494
FS( 21 ),5531485.790000000037253,5387173.879999999888241,10918659.669999999925494
FS( 22 ),5536523.569999999366701,5422560.740000000223517,10959084.309999998658895
