代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10596892.890000000596046
真實報酬,596892.890000000596046

夏普值報酬,0.050989289000000
夏普值風險,0.018407823420507
夏普值,2.769979254755157

二次趨勢線,1156.248395043947539 x^2 + 7613.074313087785413 x + 10000000.000000000000000
二次加權預期報酬,39217.197110955690732
風險,21112.818048442186409
二次加權趨勢值,1.857506516703455
一次趨勢線,25379.817944250891742 x + 10000000.000000000000000
一次預期報酬,25379.817944250891742
一次風險,58787.146980281759170
一次趨勢值,0.431723926877481
找到最佳解世代,2197
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](11),MCD[15](18),MSFT[18](12),TRV[22](3),UNH[23](6),V[25](9),WBA[27](1),WMT[28](15),
Stock#,AAPL[0](11),MCD[15](18),MSFT[18](12),TRV[22](3),UNH[23](6),V[25](9),WBA[27](1),WMT[28](15),
張數,20325,13064,44722,15491,23355,31629,30251,17424,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,12.500000000000000,36.479999999981374,20.100000000093132,31.209999999962747,40.399999999906868,21.919999999925494,28.679999999934807,2.239999999990687,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1219715.750000000000000,1242030.959999999962747,1258944.400000000139698,1247366.529999999795109,1245329.000000000000000,1261386.439999999944121,1263612.949999999953434,1276484.479999999981374,10014870.509999999776483
FS( 3 ),1251829.250000000000000,1251698.320000000065193,1267888.800000000046566,1261928.069999999832362,1249532.899999999906868,1267395.949999999953434,1231849.399999999906868,1284499.520000000018626,10066622.209999999031425
FS( 4 ),1235975.750000000000000,1264762.320000000065193,1256261.080000000074506,1255886.579999999841675,1252101.949999999953434,1273721.750000000000000,1208858.639999999897555,1278575.359999999869615,10026143.429999999701977
FS( 5 ),1250203.250000000000000,1268420.239999999990687,1258497.180000000167638,1257900.409999999916181,1256539.399999999906868,1269293.689999999944121,1214001.310000000055879,1277529.919999999925494,10052385.400000000372529
FS( 6 ),1253455.250000000000000,1289583.919999999925494,1252236.100000000093132,1264871.360000000102445,1256772.949999999953434,1270558.850000000093132,1229429.320000000065193,1272476.959999999962747,10089384.710000000894070
FS( 7 ),1271341.250000000000000,1291935.439999999944121,1246422.240000000223517,1266420.459999999962747,1266114.949999999953434,1274670.619999999878928,1248789.959999999962747,1271605.760000000009313,10137300.680000001564622
FS( 8 ),1243902.500000000000000,1290237.120000000111759,1248211.120000000111759,1266265.549999999813735,1280595.049999999813735,1263600.469999999972060,1241529.719999999972060,1282408.639999999897555,10116750.169999999925494
FS( 9 ),1243699.250000000000000,1298336.799999999813735,1248658.340000000083819,1272152.130000000121072,1272420.799999999813735,1260121.280000000027940,1294166.459999999962747,1283279.840000000083819,10172834.899999998509884
FS( 10 ),1255894.250000000000000,1297422.320000000065193,1258497.180000000167638,1275869.969999999972060,1278259.549999999813735,1270558.850000000093132,1292351.399999999906868,1275787.520000000018626,10204641.040000000968575
FS( 11 ),1288211.000000000000000,1302125.360000000102445,1254024.979999999981374,1274630.689999999944121,1278259.549999999813735,1253795.479999999981374,1288116.259999999776483,1263242.239999999990687,10202405.560000000521541
FS( 12 ),1323170.000000000000000,1287754.959999999962747,1256708.300000000046566,1278503.439999999944121,1284565.399999999906868,1250000.000000000000000,1283578.609999999869615,1258886.239999999990687,10223166.949999999254942
FS( 13 ),1319714.750000000232831,1285534.080000000074506,1260286.060000000055879,1288727.500000000000000,1288535.750000000000000,1233552.919999999925494,1353458.419999999925494,1262371.040000000037253,10292180.519999999552965
FS( 14 ),1312601.000000000000000,1290367.760000000009313,1266547.140000000130385,1298796.649999999906868,1281762.800000000046566,1259804.989999999757856,1392179.699999999953434,1271780.000000000000000,10373840.039999999105930
FS( 15 ),1314633.500000000232831,1287232.399999999906868,1257155.520000000018626,1297402.459999999962747,1285966.699999999953434,1247785.969999999972060,1385826.989999999990687,1274219.359999999869615,10350222.900000000372529
FS( 16 ),1341259.250000000000000,1296899.760000000009313,1263416.600000000093132,1296473.000000000000000,1271953.699999999953434,1265814.500000000000000,1406397.669999999925494,1294256.959999999962747,10436471.440000001341105
FS( 17 ),1346137.250000000000000,1283443.839999999850988,1259391.620000000111759,1291515.880000000121072,1281295.699999999953434,1296810.919999999925494,1397322.369999999878928,1304188.639999999897555,10460106.220000000670552
FS( 18 ),1339023.500000000000000,1286840.479999999981374,1259391.620000000111759,1291360.969999999972060,1299746.149999999906868,1324328.149999999906868,1439068.750000000000000,1302794.719999999972060,10542554.340000001713634
FS( 19 ),1312601.000000000000000,1292066.080000000074506,1268783.240000000223517,1291515.880000000121072,1322400.499999999767169,1333816.850000000093132,1429085.919999999925494,1302968.959999999962747,10553238.429999999701977
FS( 20 ),1285365.500000000000000,1302386.639999999897555,1279516.520000000018626,1304218.500000000000000,1336179.949999999953434,1342989.260000000009313,1442396.359999999869615,1303840.159999999916181,10596892.890000000596046
