代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10830678.929999999701977
真實報酬,830678.929999999701977

夏普值報酬,0.074367893000000
夏普值風險,0.024679407914772
夏普值,3.013358069886481

二次趨勢線,345.898050279862673 x^2 + 36365.308739602114656 x + 10000000.000000000000000
二次加權預期報酬,45819.855447251684382
風險,32544.220059244104050
二次加權趨勢值,1.407926057648343
一次趨勢線,41680.327560975616507 x + 10000000.000000000000000
一次預期報酬,41680.327560975616507
一次風險,36448.856007006426807
一次趨勢值,1.143529101515931
找到最佳解世代,1695
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](6),CAT[3](1),JNJ[12](10),MSFT[18](9),NKE[19](2),UTX[24](12),
Stock#,AAPL[0](6),CAT[3](1),JNJ[12](10),MSFT[18](9),NKE[19](2),UTX[24](12),
張數,28368,17734,25298,62258,68870,22323,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,46.000000000000000,24.679999999934807,33.760000000009313,19.340000000083819,12.000000000000000,30.820000000065193,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1675460.080000000074506,1682094.579999999841675,1656546.800000000046566,1705888.540000000037253,1691459.199999999953434,1675371.969999999972060,10086825.169999999925494
FS( 3 ),1694182.959999999962747,1693976.359999999869615,1654522.960000000195578,1723320.780000000027940,1690081.800000000046566,1659299.409999999916181,10115388.270000001415610
FS( 4 ),1711771.120000000111759,1698232.520000000018626,1640103.099999999860302,1750091.719999999972060,1687327.000000000000000,1649700.520000000251457,10137229.980000000447035
FS( 5 ),1709218.000000000000000,1721996.079999999841675,1642632.900000000139698,1727056.260000000009313,1693525.300000000046566,1654165.119999999878928,10148597.660000000149012
FS( 6 ),1715175.280000000027940,1772715.319999999832362,1649463.360000000102445,1733282.060000000055879,1695591.400000000139698,1697248.510000000009313,10263479.929999999701977
FS( 7 ),1712338.479999999981374,1767040.439999999944121,1647692.500000000000000,1725811.100000000093132,1690081.800000000046566,1712204.920000000158325,10255173.240000000223517
FS( 8 ),1707799.600000000093132,1807828.639999999897555,1650222.300000000046566,1743243.340000000083819,1706610.600000000093132,1724259.339999999850988,10339967.820000000298023
FS( 9 ),1701274.959999999962747,1817405.000000000000000,1650981.240000000223517,1758807.840000000083819,1692836.599999999860302,1698364.659999999916181,10319674.300000000745058
FS( 10 ),1721132.560000000055879,1833188.260000000009313,1647439.520000000018626,1759430.420000000158325,1708676.699999999953434,1719794.740000000223517,10389666.199999999254942
FS( 11 ),1739004.399999999906868,1848971.520000000018626,1651487.199999999953434,1757562.680000000167638,1736913.399999999906868,1732295.619999999878928,10466238.820000000298023
FS( 12 ),1733614.479999999981374,1875395.179999999934807,1649210.379999999888241,1750714.300000000046566,1749310.000000000000000,1723143.189999999944121,10481391.529999999329448
FS( 13 ),1703260.719999999972060,1873444.439999999944121,1651234.219999999972060,1849704.520000000251457,1752064.800000000046566,1711981.689999999944121,10541694.390000000596046
FS( 14 ),1732196.080000000074506,1886390.260000000009313,1644403.760000000009313,1850949.680000000167638,1748621.300000000046566,1715776.600000000093132,10578341.679999999701977
FS( 15 ),1703828.080000000074506,1884971.540000000037253,1644403.760000000009313,1826669.060000000055879,1759640.500000000000000,1736313.760000000009313,10555830.699999999254942
FS( 16 ),1810208.080000000074506,1933917.379999999888241,1649969.320000000065193,1840365.820000000065193,1776858.000000000000000,1733411.770000000251457,10744734.370000001043081
FS( 17 ),1801981.360000000102445,1973996.219999999972060,1662112.360000000102445,1836630.340000000083819,1761706.599999999860302,1728054.250000000000000,10764485.130000000819564
FS( 18 ),1812761.199999999953434,1973464.199999999953434,1658570.640000000130385,1819820.680000000167638,1758263.100000000093132,1732742.080000000074506,10755625.900000000372529
FS( 19 ),1836022.959999999962747,1958035.619999999878928,1662365.339999999850988,1843478.719999999972060,1780301.500000000000000,1732518.850000000093132,10812726.990000000223517
FS( 20 ),1849923.279999999795109,1935158.760000000009313,1667424.939999999944121,1838498.080000000074506,1790632.000000000000000,1749037.869999999878928,10830678.929999999701977
