代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10240260.099999997764826
真實報酬,240260.099999997764826

夏普值報酬,0.015326010000000
夏普值風險,0.016048894711933
夏普值,0.954957352209685

二次趨勢線,-409.072097443457665 x^2 + 25858.095487551578117 x + 10000000.000000000000000
二次加權預期報酬,13585.932564247847040
風險,113205.749649847974069
二次加權趨勢值,0.120010976529637
一次趨勢線,18958.412777338544402 x + 10000000.000000000000000
一次預期報酬,18958.412777338544402
一次風險,115592.218403680613847
一次趨勢值,0.164011150916149
找到最佳解世代,2190
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
JNJ[12](2),MRK[17](1),
Stock#,JNJ[12](2),MRK[17](1),
張數,85091,149120,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,52.839999999850988,6.399999999441206,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5082538.269999999552965,5123769.599999999627471,10206307.869999999180436
FS( 3 ),5085941.910000000149012,5113331.199999999254942,10199273.109999999403954
FS( 4 ),4936181.750000000000000,4946316.799999999813735,9882498.550000000745058
FS( 5 ),4935330.839999999850988,4967193.599999999627471,9902524.439999999478459
FS( 6 ),4989789.080000000074506,5041753.599999999627471,10031542.679999999701977
FS( 7 ),4949796.309999999590218,5026841.599999999627471,9976637.910000000149012
FS( 8 ),4977876.339999999850988,5167014.399999999441206,10144890.739999998360872
FS( 9 ),4974472.700000000186265,5198329.599999999627471,10172802.300000000745058
FS( 10 ),4971069.059999999590218,5222188.799999999813735,10193257.859999999403954
FS( 11 ),5032334.580000000074506,5371308.799999999813735,10403643.379999998956919
FS( 12 ),5040843.679999999701977,5369817.599999998696148,10410661.279999997466803
FS( 13 ),5035738.219999999739230,5347449.599999999627471,10383187.820000000298023
FS( 14 ),5035738.219999999739230,5319116.799999999813735,10354855.019999999552965
FS( 15 ),5031483.669999999925494,5237100.799999998882413,10268584.469999998807907
FS( 16 ),5034036.399999999441206,5238592.000000000000000,10272628.399999998509884
FS( 17 ),5040843.679999999701977,5281836.799999999813735,10322680.480000000447035
FS( 18 ),5071476.440000000409782,5310169.599999999627471,10381646.039999999105930
FS( 19 ),4994894.540000000037253,5357887.999999999068677,10352782.539999999105930
FS( 20 ),5058712.790000000037253,5359379.199999999254942,10418091.989999998360872
FS( 21 ),5040843.679999999701977,5283327.999999999068677,10324171.679999999701977
FS( 22 ),5025527.299999999813735,5214732.799999998882413,10240260.099999997764826
