代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10658386.419999998062849
真實報酬,658386.419999998062849

夏普值報酬,0.057138642000000
夏普值風險,0.020867424603994
夏普值,2.738174119918102

二次趨勢線,1135.616593587406669 x^2 + 11678.960168221348795 x + 10000000.000000000000000
二次加權預期報酬,42719.147059610462748
風險,33476.938067548930121
二次加權趨勢值,1.276076891303883
一次趨勢線,29128.678557491271931 x + 10000000.000000000000000
一次預期報酬,29128.678557491271931
一次風險,63438.282632364687743
一次趨勢值,0.459165622851059
找到最佳解世代,1782
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](14),AXP[1](1),CVX[5](17),HD[9](12),JPM[13](8),MRK[17](3),UNH[23](2),WMT[28](7),
Stock#,AAPL[0](14),AXP[1](1),CVX[5](17),HD[9](12),JPM[13](8),MRK[17](3),UNH[23](2),WMT[28](7),
張數,16825,15214,10592,16235,23804,27636,18213,16219,
分配資金,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,
剩餘資金,70.750000000000000,17.760000000009313,38.079999999841675,67.350000000093132,51.959999999962747,23.719999999972060,41.810000000055879,1.670000000158325,
FS( 1 ),1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,1250000.000000000000000,10000000.000000000000000
FS( 2 ),1266152.000000000000000,1246500.780000000027940,1250953.279999999795109,1250162.350000000093132,1238812.119999999878928,1263541.639999999897555,1255828.160000000149012,1254216.940000000176951,10026167.269999999552965
FS( 3 ),1262955.250000000000000,1246044.360000000102445,1254660.479999999981374,1244480.100000000093132,1236669.760000000009313,1253592.679999999934807,1251639.169999999925494,1255676.650000000139698,10005718.450000001117587
FS( 4 ),1252187.250000000000000,1249391.440000000176951,1283152.959999999962747,1240746.050000000046566,1240240.360000000102445,1270174.280000000027940,1280233.580000000074506,1267678.710000000195578,10083804.630000002682209
FS( 5 ),1231829.000000000000000,1231134.640000000130385,1270124.799999999813735,1228894.500000000000000,1229528.559999999823049,1266305.239999999990687,1270580.690000000176951,1257136.360000000335276,9985533.789999999105930
FS( 6 ),1251346.000000000000000,1244218.679999999934807,1283682.559999999823049,1225485.150000000139698,1284515.800000000046566,1293388.519999999785796,1284058.310000000055879,1264434.910000000149012,10131129.929999999701977
FS( 7 ),1247644.500000000000000,1238437.360000000102445,1282517.439999999711290,1223699.300000000279397,1287848.360000000102445,1298915.719999999972060,1284058.310000000055879,1281464.860000000335276,10144585.850000001490116
FS( 8 ),1250000.000000000000000,1232808.179999999934807,1271078.079999999841675,1236849.650000000139698,1284753.839999999850988,1315220.959999999962747,1274041.160000000149012,1276599.160000000149012,10141351.030000001192093
FS( 9 ),1251514.250000000000000,1239045.919999999925494,1272031.359999999869615,1259903.350000000093132,1288800.520000000018626,1308311.959999999962747,1293346.940000000176951,1279680.770000000251457,10192635.070000000298023
FS( 10 ),1269517.000000000000000,1245892.219999999972060,1266417.599999999860302,1281658.250000000000000,1294989.559999999823049,1321577.239999999990687,1301178.530000000027940,1282600.190000000176951,10263830.589999997988343
FS( 11 ),1261945.750000000000000,1259736.959999999962747,1271713.599999999860302,1299354.400000000139698,1306177.439999999944121,1328486.239999999990687,1309010.120000000111759,1284870.850000000093132,10321295.360000001266599
FS( 12 ),1246635.000000000000000,1252738.520000000018626,1277009.599999999860302,1293509.800000000046566,1326886.919999999925494,1326828.079999999841675,1305549.650000000139698,1284870.850000000093132,10314028.419999999925494
FS( 13 ),1248822.250000000000000,1254564.199999999953434,1292897.599999999860302,1305036.649999999906868,1336646.559999999823049,1328486.239999999990687,1304274.739999999990687,1285357.420000000158325,10356085.659999998286366
FS( 14 ),1237886.000000000000000,1251369.260000000009313,1292262.079999999841675,1294808.600000000093132,1335456.360000000102445,1330144.400000000139698,1311013.550000000046566,1279680.770000000251457,10332621.019999999552965
FS( 15 ),1252692.000000000000000,1277233.060000000055879,1307726.399999999674037,1296107.400000000139698,1362116.839999999850988,1343686.039999999804422,1327951.639999999897555,1279032.010000000242144,10446545.390000000596046
FS( 16 ),1249495.250000000000000,1275711.659999999916181,1313763.839999999850988,1285554.650000000139698,1367829.800000000046566,1352529.559999999823049,1343068.429999999934807,1294440.060000000288710,10482393.250000000000000
FS( 17 ),1258917.250000000000000,1286970.020000000018626,1310692.159999999683350,1294808.600000000093132,1372352.559999999823049,1372427.479999999981374,1349078.719999999972060,1304495.840000000316650,10549742.629999998956919
FS( 18 ),1282135.750000000000000,1294577.020000000018626,1300523.839999999850988,1304549.600000000093132,1360926.639999999897555,1370216.599999999860302,1357274.570000000065193,1308550.590000000316650,10578754.609999999403954
FS( 19 ),1312252.500000000000000,1302184.020000000018626,1296710.719999999972060,1309582.449999999953434,1368305.879999999888241,1377125.599999999860302,1354360.489999999990687,1312605.340000000316650,10633127.000000000000000
FS( 20 ),1336648.750000000000000,1305378.959999999962747,1296922.559999999823049,1309744.800000000046566,1362116.839999999850988,1377125.599999999860302,1356546.050000000046566,1313902.860000000335276,10658386.419999998062849
