代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10385239.639999998733401
真實報酬,385239.639999998733401

夏普值報酬,0.029823964000000
夏普值風險,0.014306088972833
夏普值,2.084704216270116

二次趨勢線,2019.947990576251414 x^2 + -16294.625380486899303 x + 10000000.000000000000000
二次加權預期報酬,36224.022374495645636
風險,25460.913967788015725
二次加權趨勢值,1.422730638040905
一次趨勢線,13227.691404858325768 x + 10000000.000000000000000
一次預期報酬,13227.691404858325768
一次風險,90417.182520481190295
一次趨勢值,0.146296213132521
找到最佳解世代,3974
找到最佳解實驗#,1
找到最佳解次數,24

stock[index](rank)
投資組合檔數,3
CVX[5](5),DIS[6](1),KO[14](23),
Stock#,CVX[5](5),DIS[6](1),KO[14](23),
張數,28041,30070,74471,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,99.330000000074506,73.500000000000000,11.040000000037253,
FS( 1 ),3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,10000000.000000000000000
FS( 2 ),3334735.050000000279397,3303864.399999999906868,3379505.020000000018626,10018105.470000000670552
FS( 3 ),3231263.760000000242144,3315591.700000000186265,3408548.710000000428408,9955405.170000001788139
FS( 4 ),3213597.929999999701977,3336941.399999999906868,3404825.160000000149012,9955365.490000000223517
FS( 5 ),3210233.010000000242144,3328221.100000000093132,3430145.300000000279397,9968600.410000000149012
FS( 6 ),3225375.149999999906868,3295745.500000000000000,3427166.460000000428408,9948288.110000001266599
FS( 7 ),3246966.720000000204891,3291535.699999999720603,3443550.080000000074506,9982053.500000000000000
FS( 8 ),3261267.629999999888241,3327920.399999999906868,3413016.969999999739230,10002206.000000000000000
FS( 9 ),3291551.910000000149012,3285521.700000000186265,3424932.330000000074506,10002006.940000001341105
FS( 10 ),3295197.240000000223517,3288528.700000000186265,3449507.760000000242144,10033234.700000001117587
FS( 11 ),3312582.660000000149012,3293640.600000000093132,3420464.069999999832362,10026688.330000000074506
FS( 12 ),3351279.240000000223517,3301458.800000000279397,3422698.200000000186265,10075437.240000002086163
FS( 13 ),3348755.550000000279397,3356486.899999999906868,3473338.479999999981374,10178581.929999999701977
FS( 14 ),3396705.660000000149012,3319801.500000000000000,3468870.219999999739230,10185378.379999998956919
FS( 15 ),3438486.750000000000000,3391067.399999999906868,3430890.010000000242144,10260445.160000000149012
FS( 16 ),3459517.500000000000000,3416927.600000000093132,3401846.319999999832362,10278292.419999999925494
FS( 17 ),3419699.280000000260770,3464438.199999999720603,3414506.390000000130385,10298644.870000001043081
FS( 18 ),3434280.600000000093132,3489396.300000000279397,3426421.750000000000000,10350099.650000000372529
FS( 19 ),3428952.810000000055879,3516459.299999999813735,3439826.529999999795109,10385239.639999998733401
