代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10671470.019999999552965
真實報酬,671470.019999999552965

夏普值報酬,0.058447002000000
夏普值風險,0.020567323481279
夏普值,2.841740786213692

二次趨勢線,327.810584659664983 x^2 + 25965.590024758545042 x + 10000000.000000000000000
二次加權預期報酬,35362.826785002274846
風險,35899.817281027193530
二次加權趨勢值,0.985041971333132
一次趨勢線,31248.676889157359255 x + 10000000.000000000000000
一次預期報酬,31248.676889157359255
一次風險,39765.865499681094661
一次趨勢值,0.785816591604374
找到最佳解世代,1722
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
DIS[6](4),GS[8](2),KO[14](3),MCD[15](11),MSFT[18](5),TRV[22](1),
Stock#,DIS[6](4),GS[8](2),KO[14](3),MCD[15](11),MSFT[18](5),TRV[22](1),
張數,49989,11284,56382,22245,68362,31977,
分配資金,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,
剩餘資金,32.739999999757856,19.200000000186265,14.080000000074506,70.599999999860302,0.440000000176951,24.760000000009313,
FS( 1 ),1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,1666666.000000000000000,10000000.000000000000000
FS( 2 ),1656668.199999999720603,1653915.080000000074506,1659900.160000000149012,1667333.349999999860302,1634535.860000000102445,1666666.000000000000000,9939022.649999998509884
FS( 3 ),1691160.609999999636784,1687767.080000000074506,1681889.139999999897555,1686686.499999999767169,1664615.140000000363216,1690648.750000000000000,10102771.219999998807907
FS( 4 ),1677163.689999999711290,1704467.400000000372529,1684708.239999999990687,1677343.600000000093132,1663247.900000000139698,1686171.969999999972060,10093106.800000000745058
FS( 5 ),1695159.729999999515712,1705144.440000000409782,1675687.120000000111759,1687576.299999999813735,1676920.300000000279397,1682334.729999999981374,10122826.620000001043081
FS( 6 ),1725153.129999999655411,1722634.640000000130385,1675123.300000000046566,1692915.099999999627471,1679654.780000000260770,1688730.130000000121072,10184215.080000000074506
FS( 7 ),1728152.469999999739230,1717444.000000000000000,1679070.040000000037253,1681570.149999999906868,1681022.020000000251457,1693206.910000000149012,10180469.589999999850988
FS( 8 ),1723653.459999999497086,1751408.840000000316650,1680197.680000000167638,1681347.699999999720603,1697428.900000000139698,1689049.899999999906868,10223090.480000000447035
FS( 9 ),1745148.729999999515712,1745992.520000000018626,1689782.620000000111759,1685129.349999999860302,1732293.520000000251457,1707916.329999999841675,10306267.069999998435378
FS( 10 ),1742149.389999999897555,1710560.760000000242144,1689218.800000000046566,1713825.399999999906868,1724773.700000000186265,1709515.179999999934807,10290047.230000000447035
FS( 11 ),1743649.059999999823049,1700405.160000000149012,1689782.620000000111759,1723613.199999999953434,1745965.920000000158325,1714951.270000000018626,10318371.230000000447035
FS( 12 ),1737150.489999999757856,1734370.000000000000000,1691474.080000000074506,1720053.999999999767169,1765107.280000000260770,1739573.560000000055879,10387733.410000002011657
FS( 13 ),1711656.099999999860302,1768447.680000000167638,1701059.020000000251457,1712713.149999999674037,1715886.640000000363216,1719108.280000000027940,10328874.869999999180436
FS( 14 ),1730651.919999999692664,1800945.600000000093132,1724175.639999999897555,1722056.049999999813735,1730242.660000000149012,1747248.040000000037253,10455323.910000000149012
FS( 15 ),1733651.259999999776483,1797560.400000000372529,1733196.760000000009313,1744968.399999999906868,1737762.480000000214204,1758120.219999999972060,10505263.520000001415610
FS( 16 ),1748148.069999999599531,1780183.040000000037253,1737143.500000000000000,1747415.349999999860302,1735028.000000000000000,1761957.459999999962747,10509879.419999998062849
FS( 17 ),1772642.679999999701977,1776007.959999999962747,1720228.900000000139698,1750752.099999999860302,1722039.220000000204891,1777626.190000000176951,10519301.049999998882413
FS( 18 ),1797637.179999999701977,1786163.560000000055879,1726430.920000000158325,1752086.800000000046566,1770576.239999999990687,1759719.070000000065193,10592617.769999999552965
FS( 19 ),1795637.619999999878928,1807151.800000000279397,1725303.280000000260770,1723613.199999999953434,1780830.540000000270084,1750125.969999999972060,10582666.410000002011657
FS( 20 ),1825131.129999999655411,1842019.360000000335276,1725867.100000000093132,1723613.199999999953434,1796553.800000000279397,1750445.739999999990687,10663634.330000000074506
FS( 21 ),1806135.309999999823049,1818210.120000000111759,1728686.200000000186265,1730064.249999999767169,1823214.980000000214204,1765155.160000000149012,10671470.019999999552965
