代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10428651.140000000596046
真實報酬,428651.140000000596046

夏普值報酬,0.034165114000000
夏普值風險,0.019555318599443
夏普值,1.747100862932129

二次趨勢線,1654.108722807506638 x^2 + -10001.519135226702929 x + 10000000.000000000000000
二次加權預期報酬,39621.742548998503480
風險,59015.358772288956970
二次加權趨勢值,0.671380185993263
一次趨勢線,17897.781322793209256 x + 10000000.000000000000000
一次預期報酬,17897.781322793209256
一次風險,111402.177119513144135
一次趨勢值,0.160659170094964
找到最佳解世代,2010
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
MSFT[18](1),PG[21](10),UNH[23](2),VZ[26](8),
Stock#,MSFT[18](1),PG[21](10),UNH[23](2),VZ[26](8),
張數,100482,44154,100847,89094,
分配資金,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,
剩餘資金,7.840000000316650,0.520000000018626,2.870000000111759,22.360000000335276,
FS( 1 ),2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,2500000.000000000000000,10000000.000000000000000
FS( 2 ),2508038.560000000521541,2505740.020000000018626,2448568.030000000260770,2490199.660000000149012,9952546.269999999552965
FS( 3 ),2475884.320000000298023,2502649.240000000223517,2424364.750000000000000,2495545.300000000279397,9898443.610000001266599
FS( 4 ),2523110.860000000335276,2518103.140000000130385,2458652.729999999981374,2513364.100000000558794,10013230.830000001937151
FS( 5 ),2522106.040000000502914,2514570.820000000298023,2526220.220000000204891,2447434.540000000037253,10010331.620000001043081
FS( 6 ),2579380.780000000260770,2545478.620000000111759,2436466.390000000130385,2428724.800000000279397,9990050.590000001713634
FS( 7 ),2567322.940000000409782,2541504.760000000242144,2487898.360000000335276,2428724.800000000279397,10025450.860000001266599
FS( 8 ),2584404.880000000353903,2538855.520000000018626,2544372.680000000167638,2415360.700000000186265,10082993.780000001192093
FS( 9 ),2593448.260000000242144,2528258.560000000055879,2449576.500000000000000,2417142.580000000074506,9988425.900000000372529
FS( 10 ),2608520.560000000521541,2530466.260000000242144,2508067.760000000242144,2410906.000000000000000,10057960.580000000074506
FS( 11 ),2683882.060000000521541,2527375.479999999981374,2475796.720000000204891,2425161.040000000037253,10112215.300000000745058
FS( 12 ),2662780.840000000316650,2536206.279999999795109,2465712.020000000018626,2407342.240000000223517,10072041.380000000819564
FS( 13 ),2648713.360000000335276,2551660.180000000167638,2513110.110000000335276,2412687.880000000353903,10126171.530000001192093
FS( 14 ),2649718.180000000633299,2566672.540000000037253,2617990.990000000223517,2399323.780000000260770,10233705.490000002086163
FS( 15 ),2670819.400000000372529,2538413.979999999981374,2533279.510000000242144,2418033.520000000484288,10160546.410000000149012
FS( 16 ),2671824.220000000204891,2566672.540000000037253,2592779.240000000223517,2417142.580000000074506,10248418.580000000074506
FS( 17 ),2815513.480000000447035,2545037.080000000074506,2606897.820000000298023,2402887.540000000037253,10370335.920000001788139
FS( 18 ),2881831.600000000093132,2512363.120000000111759,2552440.439999999944121,2385959.680000000633299,10332594.839999999850988
FS( 19 ),2872788.220000000204891,2524726.240000000223517,2672448.370000000111759,2432288.560000000521541,10502251.390000000596046
FS( 20 ),2815513.480000000447035,2526933.939999999944121,2609923.229999999981374,2494654.360000000335276,10447025.010000001639128
FS( 21 ),2835609.880000000353903,2628929.680000000167638,2669422.959999999962747,2502672.820000000298023,10636635.339999999850988
FS( 22 ),2786373.700000000186265,2560932.520000000018626,2616982.520000000018626,2464362.400000000372529,10428651.140000000596046
