代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11365058.590000001713634
真實報酬,1365058.590000001713634

夏普值報酬,0.127805859000000
夏普值風險,0.037197155961338
夏普值,3.435904054945490

二次趨勢線,-51.923245167119589 x^2 + 17484.286757543879503 x + 10000000.000000000000000
二次平均預期報酬,10993.881111653927292
風險,106838.786859858970274
二次平均趨勢值,0.102901590656160
一次趨勢線,12636.031937722500516 x + 10000000.000000000000000
一次預期報酬,12636.031937722500516
一次風險,139795.702176659833640
一次趨勢值,0.090389273353728
找到最佳解世代,2006
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
DIS[6](1),DD[7](4),MRK[17](18),NKE[19](2),UNH[23](3),
Stock#,DIS[6](1),DD[7](4),MRK[17](18),NKE[19](2),UNH[23](3),
張數,21333,30807,34971,42087,19845,
分配資金,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,
剩餘資金,31.250000000000000,9.560000000055879,8.510000000009313,25.759999999776483,20.899999999906868,
FS( 1 ),2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,2000000.000000000000000,10000000.000000000000000
FS( 2 ),1970773.789999999804422,1938386.000000000000000,2029725.350000000093132,1967593.009999999776483,1967057.300000000046566,9873535.450000001117587
FS( 3 ),1960320.620000000111759,1907270.929999999934807,2109459.230000000447035,1956229.519999999552965,1963088.300000000046566,9896368.599999999627471
FS( 4 ),1980373.639999999897555,1904190.230000000214204,2154571.820000000298023,1996633.039999999571592,1983131.750000000000000,10018900.480000000447035
FS( 5 ),2000853.320000000065193,1951324.940000000176951,2197935.860000000335276,2042507.869999999878928,2077792.399999999906868,10270414.390000000596046
FS( 6 ),2010666.500000000000000,1948244.240000000223517,2187794.270000000484288,2020201.759999999776483,2058344.299999999813735,10225251.070000000298023
FS( 7 ),2015146.429999999934807,1936845.649999999906868,2178701.809999999590218,2017255.669999999692664,2035125.649999999906868,10183075.209999999031425
FS( 8 ),2030719.520000000018626,1913124.260000000009313,2174855.000000000000000,1999579.129999999655411,2045445.049999999813735,10163722.960000000894070
FS( 9 ),2010239.840000000083819,1905422.510000000009313,2190591.950000000186265,1972222.579999999841675,2050604.749999999767169,10129081.630000000819564
FS( 10 ),2012799.799999999813735,1900185.320000000065193,2164013.990000000223517,1953283.429999999701977,2073029.599999999860302,10103312.140000000596046
FS( 11 ),2030506.190000000176951,1965188.090000000083819,2204230.639999999664724,1957071.259999999776483,2099026.549999999813735,10256022.730000000447035
FS( 12 ),2021119.669999999925494,1936229.510000000009313,2189542.820000000298023,1970118.229999999981374,2096049.800000000046566,10213060.030000001192093
FS( 13 ),2008959.860000000102445,1962723.530000000027940,2173805.870000000111759,1968013.879999999655411,2169476.299999999813735,10282979.439999999478459
FS( 14 ),2029866.200000000186265,1990141.759999999776483,2188843.400000000372529,2017255.669999999692664,2259374.149999999906868,10485481.179999999701977
FS( 15 ),2020693.010000000009313,1955329.850000000093132,2185346.299999999813735,2023568.719999999739230,2222660.899999999906868,10407598.779999999329448
