代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12068837.460000000894070
真實報酬,2068837.460000000894070

夏普值報酬,0.198183746000000
夏普值風險,0.068189282748250
夏普值,2.906376750312524

二次趨勢線,131.024530627383314 x^2 + 2168.167194213939183 x + 10000000.000000000000000
二次平均預期報酬,19070.331645146387018
風險,241121.355995624559000
二次平均趨勢值,0.079090180819539
一次趨勢線,14795.465149774345264 x + 10000000.000000000000000
一次預期報酬,14795.465149774345264
一次風險,341863.034303714870475
一次趨勢值,0.043278926544102
找到最佳解世代,2151
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
HD[9](2),MCD[15](1),
Stock#,HD[9](2),MCD[15](1),
張數,44614,52213,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,109.020000000484288,83.120000000111759,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),4974123.879999999888241,5021407.330000000074506,9995531.210000000894070
FS( 3 ),4966539.500000000000000,4994256.570000000298023,9960796.070000000298023
FS( 4 ),5014722.620000001043081,5048035.960000000894070,10062758.580000001937151
FS( 5 ),4952263.020000000484288,5004177.040000000037253,9956440.060000000521541
FS( 6 ),4969216.339999999850988,5038115.490000000223517,10007331.830000000074506
FS( 7 ),5045952.419999999925494,5098682.570000000298023,10144634.990000000223517
FS( 8 ),5126257.620000001043081,5139408.710000000894070,10265666.330000001937151
FS( 9 ),5146780.060000000521541,5157683.259999999776483,10304463.320000000298023
FS( 10 ),5156595.140000000596046,5172825.029999999329448,10329420.169999999925494
FS( 11 ),5118673.240000000223517,5109647.299999999813735,10228320.539999999105930
FS( 12 ),5107073.600000000558794,5090850.620000000111759,10197924.220000000670552
FS( 13 ),5059782.760000000707805,5090328.490000000223517,10150111.250000000000000
FS( 14 ),5079859.060000000521541,5081452.279999999329448,10161311.339999999850988
FS( 15 ),5126257.620000001043081,5095027.660000000149012,10221285.280000001192093
FS( 16 ),5112427.280000000260770,5069443.290000000037253,10181870.570000000298023
FS( 17 ),5067813.280000000260770,5017752.419999999925494,10085565.699999999254942
FS( 18 ),5044614.000000000000000,5014619.640000000596046,10059233.640000000596046
FS( 19 ),5123580.780000000260770,5081974.410000000149012,10205555.190000001341105
FS( 20 ),5191840.200000001117587,5127921.849999999627471,10319762.050000000745058
FS( 21 ),5195855.459999999962747,5178046.330000000074506,10373901.789999999105930
FS( 22 ),5221285.440000000409782,5214073.299999999813735,10435358.740000000223517
FS( 23 ),5215039.480000000447035,5191099.580000000074506,10406139.060000000521541
FS( 24 ),5243592.440000000409782,5176479.940000000409782,10420072.380000000819564
FS( 25 ),5264561.020000000484288,5210940.519999999552965,10475501.539999999105930
FS( 26 ),5200316.860000000335276,5187444.669999999925494,10387761.530000001192093
FS( 27 ),5216824.040000000968575,5164993.080000000074506,10381817.120000001043081
FS( 28 ),5246715.419999999925494,5189533.190000000409782,10436248.609999999403954
FS( 29 ),5250730.680000000633299,5159249.650000000372529,10409980.330000001937151
FS( 30 ),5250730.680000000633299,5131576.759999999776483,10382307.440000001341105
FS( 31 ),5310067.300000000745058,5188488.930000000633299,10498556.230000000447035
FS( 32 ),5342635.520000000484288,5183267.629999999888241,10525903.150000000372529
FS( 33 ),5340404.820000000298023,5255843.700000000186265,10596248.519999999552965
FS( 34 ),5478708.220000000670552,5261065.000000000000000,10739773.220000000670552
FS( 35 ),5476923.660000001080334,5278817.419999999925494,10755741.080000001937151
FS( 36 ),5377880.580000001005828,5208852.000000000000000,10586732.580000001937151
FS( 37 ),5182471.260000000707805,5071531.809999999590218,10254003.070000000298023
FS( 38 ),5020968.580000001005828,4849104.430000000633299,9870073.010000001639128
FS( 39 ),4950924.600000000558794,4762430.849999999627471,9713355.449999999254942
FS( 40 ),5172210.040000000968575,4968150.070000000298023,10140360.110000001266599
FS( 41 ),5249392.260000000707805,5081974.410000000149012,10331366.670000001788139
FS( 42 ),5243146.300000000745058,5025584.370000000111759,10268730.670000001788139
