代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12068094.001750000000
真實報酬,2068094.001749999800

夏普值報酬,0.198109400175
夏普值風險,0.059359857613
夏普值,3.337430515180

預期報酬,35112.737053530291
風險,191589.194483642350
起點值,0.183270967594
找到最佳解世代,3396
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
2301(10),4904(45),9904(48),
Stock#,2301(10),4904(45),9904(48),
張數,174,95,198,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,10424.593499999999,29281.426250000000,10124.165999999534,
FS( 1 ),3328604.593500000000,3328631.426250000000,3328604.166000000200,9985841.185750000200
FS( 2 ),3272346.434999999600,3387803.910000000100,3384884.478000000100,10045035.822999999000
FS( 3 ),3272346.434999999600,3356592.633750000000,3321804.845999999400,9950744.914749998600
FS( 4 ),3326047.750500000100,3299844.858750000100,3406568.101499999400,10032461.710749999000
FS( 5 ),3320850.848999999900,3320652.376249999700,3485417.641499999400,10126921.866750000000
FS( 6 ),3405733.573499999900,3299844.858750000100,3516957.457499999600,10222536.889750000000
FS( 7 ),3423056.578499999400,3279037.341250000100,3524842.411499999500,10226937.331249999000
FS( 8 ),3429985.780499999900,3246880.268749999800,3578065.850999999800,10254932.900249999000
FS( 9 ),3398804.371499999900,3281874.730000000000,3554410.988999999600,10235091.090499999000
FS( 10 ),3459434.889000000000,3299844.858750000100,3593835.758999999600,10353116.506749999000
FS( 11 ),3435182.682000000000,3332001.931249999900,3546526.035000000100,10313711.648250001000
FS( 12 ),3466364.090999999500,3384966.521250000200,3530756.126999999400,10382087.739250001000
FS( 13 ),3429985.780499999900,3346188.875000000000,3469647.733499999600,10245823.389000000000
FS( 14 ),3459434.889000000000,3427527.352500000000,3516957.457499999600,10403920.698999999000
FS( 15 ),3532191.509999999800,3448334.870000000100,3609605.667000000400,10590133.047000000000
FS( 16 ),3478490.194500000200,3454955.443749999600,3641145.483000000000,10574592.121250000000
FS( 17 ),3495813.199499999600,3487112.516250000300,3656915.390999999800,10639842.106750000000
FS( 18 ),3442111.883999999600,3487112.516250000300,3656915.390999999800,10586140.791250000000
FS( 19 ),3459434.889000000000,3466304.998750000300,3593835.758999999600,10519576.646749999000
FS( 20 ),3478490.194500000200,3522106.977500000000,3617490.620999999300,10618088.793000000000
FS( 21 ),3551246.815500000000,3617632.398749999700,3633260.528999999600,10802140.743249999000
FS( 22 ),3532191.509999999800,3702754.061250000300,3641145.483000000000,10876092.054250000000
FS( 23 ),3471560.992499999700,3829490.758750000000,3617490.620999999300,10918543.372249998000
FS( 24 ),3495813.199499999600,3822870.185000000100,3670714.060499999700,10989398.445000000000
FS( 25 ),3551246.815500000000,3921232.995000000100,3625375.574999999700,11097856.385499999000
FS( 26 ),3551246.815500000000,4041349.118749999900,3609605.667000000400,11202202.601250000000
FS( 27 ),3526994.608500000600,3928799.365000000200,3649030.436999999900,11104825.410500001000
FS( 28 ),3526994.608500000600,3900425.477500000000,3562295.943000000000,10989717.029000001000
FS( 29 ),3532191.509999999800,3808683.241250000400,3546526.035000000100,10887401.786250001000
FS( 30 ),3592822.027499999900,3865431.016250000300,3617490.620999999300,11075744.664749999000
FS( 31 ),3653452.545000000400,3935419.938749999700,3670714.060499999700,11259587.544250000000
FS( 32 ),3757390.575000000200,4012975.231249999300,3633260.528999999600,11403627.335250000000
FS( 33 ),3786839.683500000300,4175652.186250000300,3656915.390999999800,11619408.260749999000
FS( 34 ),3895974.615000000200,4048915.488750000000,3554410.988999999600,11499302.092750000000
FS( 35 ),3842273.299499999700,3914612.421250000100,3509072.503499999600,11265959.224250000000
FS( 36 ),3878651.609999999900,3985547.140000000100,3485417.641499999400,11349617.391500000000
FS( 37 ),3611877.333000000100,3985547.140000000100,3430222.963499999600,11027648.436500000000
FS( 38 ),3733138.367999999800,4112283.837500000400,3461762.779500000200,11307185.984999999000
FS( 39 ),3733138.367999999800,4098096.893749999800,3422338.009499999200,11253574.271249998000
FS( 40 ),3738335.269499999900,4197405.499999999100,3477532.687500000000,11413274.456999999000
FS( 41 ),3818021.092499999800,4140657.724999999200,3509072.503499999600,11467752.320999999000
FS( 42 ),3927156.024000000200,4055536.062500000000,3509072.503499999600,11491765.590000000000
FS( 43 ),4024164.852000000400,4140657.724999999200,3678599.014499999600,11843422.591499999000
FS( 44 ),3951408.231000000100,4211592.443749999600,3710138.830499999700,11873140.505249999000
FS( 45 ),3939282.127499999900,4211592.443749999600,3678599.014499999600,11829474.585749999000
FS( 46 ),3927156.024000000200,4126470.781249999500,3686483.968499999500,11740111.773750000000
FS( 47 ),4041487.856999999800,4189839.129999999900,3725908.738500000000,11957236.725499999000
FS( 48 ),4053613.960500000000,4232399.961249998800,3741678.646499999800,12027693.568249999000
FS( 49 ),4005109.546499999700,4232399.961249998800,3749563.600499999700,11987074.108250000000
FS( 50 ),3932352.925499999900,4183218.556250000400,3773218.462499999900,11888790.944250001000
FS( 51 ),3890777.713500000100,4197405.499999999100,3749563.600499999700,11837747.813999999000
FS( 52 ),3915029.920500000000,4183218.556250000400,3749563.600499999700,11847813.077250000000
FS( 53 ),3762587.476499999900,4169031.612500000300,3664800.344999999300,11596420.433999998000
FS( 54 ),3854399.403000000400,4133091.355000000000,3718023.784499999100,11705515.542500000000
FS( 55 ),3902903.816999999800,3900425.477500000000,3625375.574999999700,11428705.869500000000
FS( 56 ),3908100.718500000000,3865431.016250000300,3585950.805000000200,11359483.539750000000
FS( 57 ),4096921.472999999800,3977980.770000000000,3757448.554500000100,11832351.797499999000
FS( 58 ),4126370.581500000300,4083909.949999999300,3765333.508499999500,11975615.039999999000
FS( 59 ),4223379.409500000100,4055536.062500000000,3810671.993999999900,12089588.466000000000
FS( 60 ),4102118.374499999900,4020541.601250000300,3818556.947999999900,11941217.923750000000
FS( 61 ),4121173.680000000200,4034728.544999999900,3850096.763999999500,12005999.989000000000
FS( 62 ),4121173.680000000200,4055536.062500000000,3873751.625999999700,12050462.368500000000
FS( 63 ),4121173.680000000200,4069723.006249999600,3889521.534000000000,12080419.220249999000
FS( 64 ),4145425.886999999600,4048915.488750000000,3873751.625999999700,12068094.001750000000
