代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11731963.199250001000
真實報酬,1731963.199250001500

夏普值報酬,0.164496319925
夏普值風險,0.043728069754
夏普值,3.761801535004

預期報酬,25486.373353588326
風險,63294.270654066720
起點值,0.402664776610
找到最佳解世代,3503
找到最佳解實驗#,13
找到最佳解次數,2

投資組合檔數,7
1102(1),1301(3),1303(4),2884(33),2887(36),3008(41),4938(46),
Stock#,1102(1),1301(3),1303(4),2884(33),2887(36),3008(41),4938(46),
張數,45,21,26,123,142,1,38,
分配資金,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,1428571.000000000000,
剩餘資金,13557.475000000000,40385.650750000001,24913.634500000233,9591.832000000000,2281.429500000000,29379.990000000002,17523.117999999999,
FS( 1 ),1426557.475000000100,1426595.650750000000,1426573.634499999900,1426551.831999999900,1426541.429500000100,1426579.990000000000,1426563.118000000000,9985966.129750002200
FS( 2 ),1420304.950000000200,1429660.784499999800,1426842.526499999900,1420281.784000000000,1415997.929500000100,1462699.361749999900,1436974.130000000100,10012764.466250001000
FS( 3 ),1420304.950000000200,1435096.623999999800,1426842.526499999900,1420281.784000000000,1420239.079000000100,1448602.019750000000,1443405.544499999800,10014775.527750000000
FS( 4 ),1420304.950000000200,1435096.623999999800,1428913.322500000200,1420281.784000000000,1415997.929500000100,1434504.677749999800,1415788.294000000000,9970890.581750001800
FS( 5 ),1422096.985000000100,1442205.029500000200,1428913.322500000200,1427629.127499999900,1441444.826500000200,1528486.957749999800,1401790.509499999900,10092569.758250002000
FS( 6 ),1422096.985000000100,1442205.029500000200,1431242.968000000100,1466814.959499999900,1441444.826500000200,1570778.983749999900,1409356.879500000000,10183943.631750001000
FS( 7 ),1449425.518749999800,1442205.029500000200,1448585.884500000200,1477835.974749999800,1456995.707999999900,1556681.641750000000,1421841.390000000100,10253574.147250000000
FS( 8 ),1473617.991250000400,1442205.029500000200,1461787.209000000000,1470488.631249999900,1451340.842000000200,1566079.869749999800,1415788.294000000000,10281310.866750000000
