代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11373570.517999999000
真實報酬,1373570.517999999200

夏普值報酬,0.128657051800
夏普值風險,0.039574891014
夏普值,3.250976781093

預期報酬,23424.080820875071
風險,72234.443832923571
起點值,0.324278551588
找到最佳解世代,3400
找到最佳解實驗#,1
找到最佳解次數,47

投資組合檔數,4
2357(20),2412(25),2912(40),6505(47),
Stock#,2357(20),2412(25),2912(40),6505(47),
張數,10,27,13,35,
分配資金,2500000.000000000000,2500000.000000000000,2500000.000000000000,2500000.000000000000,
剩餘資金,166179.037500000010,77623.024749999531,46528.778500000000,55972.216249999998,
FS( 1 ),2496679.037500000100,2496553.024749999900,2496508.778500000000,2496522.216250000100,9986263.057000000000
FS( 2 ),2481986.045000000900,2500364.742999999300,2479455.228999999800,2466906.415000000000,9928712.432000000000
FS( 3 ),2504087.810000000100,2497945.495749999800,2528248.359749999800,2488858.843750000000,10019140.509250000000
FS( 4 ),2539530.279999999300,2510310.537249999600,2436874.486250000100,2463770.353750000200,9950485.657249998300
FS( 5 ),2614795.750000000000,2515149.031749999200,2449040.412750000100,2457149.780000000300,10036134.974500000000
FS( 6 ),2605935.132500000300,2529933.320499999400,2400247.282000000600,2457149.780000000300,9993265.515000000600
FS( 7 ),2592693.984999999900,2554394.598249999300,2418496.171750000200,2485722.782500000200,10051307.537500000000
FS( 8 ),2597074.515000000100,2566759.639749999200,2485667.617000000100,2548792.458749999800,10198294.230500000000
FS( 9 ),2597074.515000000100,2591220.917499999500,2442957.449499999600,2551928.519999999600,10183181.401999999000
FS( 10 ),2623656.367499999700,2554394.598249999300,2485667.617000000100,2545656.397500000000,10209374.980250001000
FS( 11 ),2561632.045000000900,2529933.320499999400,2558792.600750000200,2551928.519999999600,10202286.486250000000
FS( 12 ),2561632.045000000900,2566759.639749999200,2607585.731500000200,2529976.091250000100,10265953.507500000000
FS( 13 ),2499707.279999999300,2566759.639749999200,2619751.657999999800,2548792.458749999800,10235011.036499998000
FS( 14 ),2490846.662500000100,2542029.556749999500,2570958.527249999800,2548792.458749999800,10152627.205249999000
