代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12175052.641250001000
真實報酬,2175052.641250001300

夏普值報酬,0.208805264125
夏普值風險,0.058788320919
夏普值,3.551815409267

預期報酬,35875.605197699580
風險,137323.242311938930
起點值,0.261249331094
找到最佳解世代,3566
找到最佳解實驗#,4
找到最佳解次數,19

投資組合檔數,4
1802(8),2308(15),2357(24),2892(40),
Stock#,1802(8),2308(15),2357(24),2892(40),
張數,105,34,13,251,
FS( 54 ),2996583.403750000100,3273925.824500000100,3000883.071000000000,2837763.232750000000,12109155.532000002000
FS( 55 ),3032125.431249999900,3259709.013500000400,3028968.241749999600,2815273.193500000100,12136075.879999999000
FS( 56 ),3026898.662500000600,3230936.895999999700,3019520.234999999900,2800279.834000000300,12077635.627500001000
FS( 57 ),3100073.425000000700,3288142.635500000300,3024308.950749999800,2822769.873249999700,12235294.884500001000
FS( 58 ),3047805.737500000700,3245153.706999999900,2991564.488999999600,2800279.834000000300,12084803.767500002000
FS( 59 ),3100073.425000000700,3245153.706999999900,2935652.997000000000,2830266.552999999800,12111146.682000000000
FS( 60 ),3079166.350000000600,3216720.085000000900,2944971.578999999900,2830266.552999999800,12071124.567000002000
FS( 61 ),3130388.683749999900,3174069.652000000200,3005542.362000000200,2815273.193500000100,12125273.891249999000
FS( 62 ),3109481.608750000100,3273925.824500000100,2982245.906999999700,2777789.794750000400,12143443.135000002000
FS( 63 ),3114708.377499999900,3188286.463000000000,3042946.114750000200,2792783.154250000100,12138724.109500000000
FS( 64 ),3073939.581250000700,3259709.013500000400,3033627.532749999800,2807776.513750000400,12175052.641250001000
