代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12501469.849999998000
真實報酬,2501469.849999997800

夏普值報酬,0.241446985000
夏普值風險,0.081768622279
夏普值,2.952807302742

預期報酬,53281.785540286437
風險,278537.784880378170
起點值,0.191291050739
找到最佳解世代,3297
找到最佳解實驗#,1
找到最佳解次數,50

投資組合檔數,3
1301(3),2347(18),2454(26),
Stock#,1301(3),2347(18),2454(26),
張數,123,185,20,
分配資金,3333333.000000000000,3333333.000000000000,3333333.000000000000,
剩餘資金,10064.080500000000,9703.567500000001,141190.670000000010,
FS( 1 ),3328604.080500000200,3328603.567499999900,3328790.669999999900,9985999.318000000000
FS( 2 ),3452294.510249999800,3483364.300000000300,3402296.140000000100,10337955.950250000000
FS( 3 ),3693532.288499999800,3516516.947499999300,3611167.774999999900,10821218.011000000000
FS( 4 ),3612711.510000000700,3295499.297499999900,3415835.960000000400,10324047.767500002000
FS( 5 ),3666592.028999999600,3295499.297499999900,3483136.830000000100,10445229.156500001000
FS( 6 ),3616385.181750000500,3242086.698750000000,3456256.305000000200,10314729.185500000000
FS( 7 ),3681286.716000000000,3188674.100000000600,3523557.174999999800,10393518.991000000000
FS( 8 ),3681286.716000000000,3289973.856250000200,3698778.374999999100,10670039.947249999000
FS( 9 ),3623732.525250000400,3371013.661249999900,3483136.830000000100,10477884.016500000000
FS( 10 ),3482908.441499999700,3269713.904999999800,3307915.629999999400,10060538.976499999000
FS( 11 ),3463315.525500000500,3492573.368749999900,3381986.409999999700,10337876.304250000000
FS( 12 ),3551483.647500000400,3510991.506250000600,3341566.064999999900,10404042.218750000000
FS( 13 ),3639651.769500000400,3617816.703749999900,3510017.355000000000,10767486.828250000000
FS( 14 ),3551483.647500000400,3545985.967499999800,3429176.665000000000,10526647.280000001000
FS( 15 ),3646999.113000000400,3623342.145000000500,3375415.615000000700,10645757.873000002000
FS( 16 ),3681286.716000000000,3463104.348749999900,3537096.995000000100,10681489.059750000000
FS( 17 ),3681286.716000000000,3623342.145000000500,3510017.355000000000,10814647.216000000000
FS( 18 ),3635978.097749999700,3674912.929999999200,3456256.305000000200,10767148.332749998000
FS( 19 ),3574750.235249999900,3599398.566249999200,3456256.305000000200,10630406.106500000000
FS( 20 ),3628630.754249999800,3564404.105000000000,3584287.249999999100,10777323.109249998000
FS( 21 ),3666592.028999999600,3540460.526250000100,3820039.409999999700,11027092.965250000000
FS( 22 ),3704553.303750000400,3787263.568750000600,3846919.935000000500,11338737.807500001000
FS( 23 ),3754760.150999999600,3912506.903749999600,3954840.265000000100,11622108.319750000000
FS( 24 ),3635978.097749999700,3674912.929999999200,3813269.499999999100,11124161.527749997000
FS( 25 ),3697205.960250000000,3921715.972499999200,4062561.480000000000,11681484.412750000000
FS( 26 ),3681286.716000000000,3916190.531250000500,4049220.774999999900,11646699.022250000000
FS( 27 ),3697205.960250000000,3757794.548750000500,3860459.754999999400,11315461.264000000000
FS( 28 ),3688634.059500000400,3695172.881250000600,3948070.355000000000,11331878.295750001000
FS( 29 ),3681286.716000000000,3838834.353749999300,4022141.134999999800,11542263.204750000000
FS( 30 ),3612711.510000000700,3733850.969999999700,3927760.624999999100,11274324.105000000000
FS( 31 ),3643325.441250000600,3763319.989999999300,4069331.390000000100,11475977.821250001000
FS( 32 ),3589444.922249999800,3743060.038749999800,4076101.299999999800,11408607.261000000000
FS( 33 ),3620058.853500000200,3743060.038749999800,4062561.480000000000,11425681.372250000000
FS( 34 ),3650672.784750000100,3811207.147499999500,4076101.299999999800,11537982.232249999000
FS( 35 ),3658020.128250000500,3888563.325000000200,4237782.680000000600,11784367.133250002000
FS( 36 ),3567402.891750000000,3752269.107500000400,4062561.480000000000,11382234.479250001000
FS( 37 ),3571076.563499999700,3772529.058749999400,4109751.734999999900,11453358.357249999000
FS( 38 ),3612711.510000000700,4032224.797499999900,4190592.424999999800,11835529.732500002000
FS( 39 ),3711900.647249999900,4216406.172499999400,4156941.990000000700,12085249.809750000000
FS( 40 ),3719247.990750000300,4157468.132499999800,4156941.990000000700,12033659.113250000000
FS( 41 ),3780475.853250000200,4273502.398749999700,4076101.299999999800,12130080.552000001000
FS( 42 ),3789047.753999999700,4446632.891249999400,4089641.120000000100,12325322.765249999000
FS( 43 ),4041306.547500000800,4302971.418749999300,4170481.810000000500,12514760.776250001000
FS( 44 ),4010692.616250000400,4255084.261249999500,4224242.860000000300,12490020.737500001000
FS( 45 ),4079267.822249999700,4360067.645000000500,4264663.205000000100,12703999.672250001000
FS( 46 ),4140495.684750000000,4317705.928750000900,4258092.410000000100,12716295.023500001000
FS( 47 ),4232337.478500000200,4297445.977499999100,4325393.279999999300,12855177.736000000000
FS( 48 ),4171109.615999999900,4312180.487499998900,4271433.115000001200,12754724.218499999000
FS( 49 ),4071920.478750000700,4302971.418749999300,4291742.844999999700,12666635.742500000000
FS( 50 ),4109881.753500000100,4258767.888749999900,4197362.335000000900,12566012.977250000000
FS( 51 ),4247032.165500000100,4389536.664999999100,4291742.844999999700,12928312.675499998000
FS( 52 ),4247032.165500000100,4389536.664999999100,4466964.044999999900,13103533.875499999000
FS( 53 ),4239684.822000000600,4472418.283749999500,4716256.025000000400,13428360.130750000000
FS( 54 ),4209070.890750000300,4544249.020000000500,4635415.335000000000,13388736.245750003000
FS( 55 ),4140495.684750000000,4419005.685000000500,4507384.389999999700,13066886.759750001000
FS( 56 ),4025387.303250000300,4234824.310000000500,4365813.625000000000,12626026.238250000000
FS( 57 ),3918850.822500000700,4142733.622500000100,4439884.404999998400,12501469.849999998000
