代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,11274236.057500001000
真實報酬,1274236.057500001000

夏普值報酬,0.118723605750
夏普值風險,0.036018867753
夏普值,3.296150411052

預期報酬,22635.426154896399
風險,134312.056593475190
起點值,0.168528624526
找到最佳解世代,3520
找到最佳解實驗#,2
找到最佳解次數,39

投資組合檔數,5
2325(18),2357(21),2382(22),2474(26),3008(41),
Stock#,2325(18),2357(21),2382(22),2474(26),3008(41),
張數,70,9,36,11,1,
分配資金,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,2000000.000000000000,
剩餘資金,2157.125000000000,99465.592250000002,5281.571000000233,50776.308750000229,860788.934250000050,
FS( 1 ),1997157.125000000000,1997295.592250000000,1997161.571000000000,1997226.308750000100,1998378.934249999900,9987219.531250000000
FS( 2 ),2018992.960000000400,1988897.694500000000,1962183.791000000400,1968900.882500000300,2002743.326500000000,9941718.654500000200
FS( 3 ),1979966.419999999900,1978414.289750000000,2025980.237000000200,1924657.529500000400,1965150.414500000000,9874168.890750000300
FS( 4 ),1999479.689999999900,1988897.694500000000,2011285.550000000300,1963972.786249999900,1969849.528500000000,9933485.249249998500
FS( 5 ),2024568.179999999700,2058876.661250000100,2025980.237000000200,1963972.786249999900,1927547.546750000200,10000945.411250001000
FS( 6 ),2027355.789999999600,2051887.724750000300,2025980.237000000200,2013144.235500000200,1922848.432750000200,10041216.420000000000
FS( 7 ),2060807.109999999900,2034415.383500000000,2028847.493000000200,2047640.909250000300,1941654.844500000100,10113365.740250001000
FS( 8 ),2091470.820000000100,2121866.691500000200,2086551.020000000300,2057387.588500000300,1941654.844500000100,10298930.964500001000
FS( 9 ),2071957.550000000000,2128855.628000000000,2161458.083000000100,2013144.235500000200,1908751.090750000000,10284166.587250000000
FS( 10 ),2094258.429999999900,2111383.286750000000,2251059.833000000100,2062315.684750000500,1979247.756500000100,10498264.991000000000
FS( 11 ),2119346.920000000400,2107888.818500000500,2201958.074000000500,2047640.909250000300,1965150.414500000000,10441985.136250002000
