代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,10741259.679750001000
真實報酬,741259.679750001060

夏普值報酬,0.065425967975
夏普值風險,0.027954750514
夏普值,2.340423962694

預期報酬,16075.856177873447
風險,145617.296286402530
起點值,0.110397985595
找到最佳解世代,3862
找到最佳解實驗#,2
找到最佳解次數,14

投資組合檔數,2
1216(2),2002(7),
Stock#,1216(2),2002(7),
張數,116,229,
分配資金,5000000.000000000000,5000000.000000000000,
剩餘資金,9538.712000000000,14445.694500000000,
FS( 1 ),4992898.712000000300,4992905.694500000200,9985804.406500000500
FS( 2 ),5055152.634999999800,4970876.009000000500,10026028.644000001000
FS( 3 ),5119825.186999999900,4959476.675250000300,10079301.862250000000
FS( 4 ),5193736.675000000700,4941237.741250000000,10134974.416250002000
FS( 5 ),5212214.546999999300,4959476.675250000300,10171691.222250000000
FS( 6 ),5250325.157999999800,4979995.475999999800,10230320.634000000000
FS( 7 ),5230692.418999999800,4970876.009000000500,10201568.427999999000
FS( 8 ),5305758.774000000200,4959476.675250000300,10265235.449250001000
FS( 9 ),5239931.355000000400,4941237.741250000000,10181169.096250001000
FS( 10 ),5202975.610999999600,4929838.407500000700,10132814.018500000000
FS( 11 ),5296519.838000000500,4929838.407500000700,10226358.245500002000
FS( 12 ),5184497.739000000100,4941237.741250000000,10125735.480250001000
FS( 13 ),5212214.546999999300,4959476.675250000300,10171691.222250000000
FS( 14 ),5230692.418999999800,4941237.741250000000,10171930.160250001000
FS( 15 ),5250325.157999999800,5018753.210749999600,10269078.368749999000
FS( 16 ),5305758.774000000200,5030152.544499999800,10335911.318500001000
FS( 17 ),5278041.966000000900,5039272.011500000000,10317313.977500001000
FS( 18 ),5259564.094000000500,5059790.812249999500,10319354.906250000000
FS( 19 ),5388909.198000000800,5107668.014000000400,10496577.212000001000
FS( 20 ),5416626.006000000100,5157825.082500000500,10574451.088500001000
FS( 21 ),5435103.877999999600,5187463.350250000100,10622567.228250001000
FS( 22 ),5342714.518000001100,5128186.814749999900,10470901.332750000000
FS( 23 ),5333475.582000000400,5128186.814749999900,10461662.396749999000
FS( 24 ),5296519.838000000500,5146425.748750000300,10442945.586750001000
FS( 25 ),5184497.739000000100,5087149.213250000000,10271646.952250000000
FS( 26 ),5092108.378999999700,5068910.279250000600,10161018.658250000000
FS( 27 ),5194891.542000000400,5107668.014000000400,10302559.556000002000
FS( 28 ),5194891.542000000400,5068910.279250000600,10263801.821250001000
FS( 29 ),5275732.232000000800,5098548.547000000300,10374280.779000001000
FS( 30 ),5226072.951000000400,5137306.281750001000,10363379.232750002000
FS( 31 ),5286126.035000000100,5166944.549500000700,10453070.584500000000
FS( 32 ),5296519.838000000500,5198862.684000000400,10495382.522000000000
FS( 33 ),5226072.951000000400,5219381.484749999800,10445454.435750000000
FS( 34 ),5226072.951000000400,5219381.484749999800,10445454.435750000000
FS( 35 ),5296519.838000000500,5280937.887000001000,10577457.725000001000
FS( 36 ),5458201.218000000300,5333374.822250000200,10791576.040250000000
FS( 37 ),5407387.070000000300,5321975.488500000000,10729362.558499999000
FS( 38 ),5489382.627000001300,5363013.090000000800,10852395.717000002000
FS( 39 ),5447807.415000001000,5363013.090000000800,10810820.505000003000
FS( 40 ),5509015.366000000400,5363013.090000000800,10872028.456000000000
FS( 41 ),5570223.316999999800,5383531.890750000300,10953755.207750000000
FS( 42 ),5579462.252999999600,5383531.890750000300,10962994.143750001000
FS( 43 ),5549435.711000000100,5342494.289250000400,10891930.000250001000
FS( 44 ),5559829.514000000400,5374412.423750000100,10934241.937750001000
FS( 45 ),5458201.218000000300,5374412.423750000100,10832613.641750000000
FS( 46 ),5478988.824000000000,5383531.890750000300,10862520.714749999000
FS( 47 ),5498621.563000001000,5383531.890750000300,10882153.453750001000
FS( 48 ),5428174.676000000000,5394931.224500001400,10823105.900500001000
FS( 49 ),5458201.218000000300,5415450.025249999900,10873651.243250001000
FS( 50 ),5407387.070000000300,5394931.224500001400,10802318.294500001000
FS( 51 ),5447807.415000001000,5424569.492250000100,10872376.907250002000
FS( 52 ),5417780.873000000600,5404050.691500000700,10821831.564500000000
FS( 53 ),5489382.627000001300,5404050.691500000700,10893433.318500001000
FS( 54 ),5357727.789000000800,5353893.623000000600,10711621.412000000000
FS( 55 ),5417780.873000000600,5424569.492250000100,10842350.365250001000
FS( 56 ),5428174.676000000000,5508924.562000000800,10937099.238000002000
FS( 57 ),5387754.331000000200,5486125.894500000400,10873880.225500001000
FS( 58 ),5266493.296000001000,5465607.093750000000,10732100.389750000000
FS( 59 ),5275732.232000000800,5394931.224500001400,10670663.456500001000
FS( 60 ),5357727.789000000800,5456487.626750000800,10814215.415750001000
FS( 61 ),5428174.676000000000,5415450.025249999900,10843624.701250000000
FS( 62 ),5447807.415000001000,5383531.890750000300,10831339.305750001000
FS( 63 ),5458201.218000000300,5301456.687749999600,10759657.905749999000
FS( 64 ),5357727.789000000800,5383531.890750000300,10741259.679750001000
