代數,10000
粒子數,10
旋轉角度上界,0.0004
旋轉角度下界,0.0004
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000
最後資金,12674878.929000000000
真實報酬,2674878.928999999500

夏普值報酬,0.258787892900
夏普值風險,0.069467800855
夏普值,3.725292721463

預期報酬,41402.450136385007
風險,153147.849980509930
起點值,0.270343006067
找到最佳解世代,3807
找到最佳解實驗#,5
找到最佳解次數,27

投資組合檔數,6
1326(5),2353(19),2357(21),2454(26),2912(40),3045(41),
Stock#,1326(5),2353(19),2357(21),2454(26),2912(40),3045(41),
張數,50,36,16,6,28,44,
分配資金,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,1666666.000000000000,
剩餘資金,22826.862499999999,36065.701000000001,43556.360000000001,44177.243500000230,55493.345999999998,23567.917000000001,
FS( 1 ),1664326.862500000000,1664345.700999999900,1664356.360000000100,1664357.243500000100,1664373.345999999900,1664327.916999999900,9986091.429999999700
FS( 2 ),1673490.212499999900,1730972.404000000100,1682830.332000000200,1683471.127000000300,1664780.598999999700,1637355.169000000000,10072903.843499999000
FS( 3 ),1660547.737500000000,1762153.812999999600,1690157.764000000200,1693625.992000000300,1657254.051999999900,1648744.547000000000,10112487.905500000000
FS( 4 ),1632671.637500000200,1745308.683999999900,1690157.764000000200,1721880.410500000500,1641922.196999999900,1626841.896999999900,10058786.590000000000
FS( 5 ),1624707.037500000100,1787600.710000000000,1702901.124000000300,1806763.135000000200,1645824.850999999800,1629908.267999999900,10197709.125499999000
FS( 6 ),1611266.775000000100,1745308.683999999900,1682830.332000000200,1843201.180000000200,1622966.448999999600,1629908.267999999900,10135485.687999999000
FS( 7 ),1640636.237500000000,1773622.836999999800,1715644.483999999900,1806763.135000000200,1628541.668999999800,1611071.989000000300,10176284.351500001000
FS( 8 ),1647107.475000000300,1824516.630999999600,1748458.636000000200,1764351.640000000600,1634395.649999999900,1632974.639000000200,10251808.671000000000
FS( 9 ),1596830.937500000000,1824516.630999999600,1711980.768000000200,1782510.928000000300,1600108.047000000000,1632974.639000000200,10148925.950500000000
FS( 10 ),1609773.412500000100,1816273.270000000000,1746706.424000000100,1827013.130500000000,1613488.575000000000,1626841.896999999900,10240100.708999999000
FS( 11 ),1631178.275000000100,1884370.600000000100,1759449.784000000000,1847203.391500000100,1613488.575000000000,1623775.526000000100,10359470.151500000000
FS( 12 ),1660547.737500000000,1995118.362999999900,1808830.304000000000,1853296.310500000400,1630492.995999999800,1620271.102000000200,10568560.813000001000
FS( 13 ),1657063.225000000100,2066082.949000000000,1810582.516000000300,1907117.095000000400,1643873.523999999500,1642173.752000000300,10726897.061000001000
FS( 14 ),1683445.962500000100,2042069.680000000200,1795927.652000000200,1896663.557500000300,1647776.177999999800,1645240.122999999900,10711127.153000001000
FS( 15 ),1712815.425000000300,2000852.875000000000,1777768.364000000100,1934296.292500000200,1647776.177999999800,1632974.639000000200,10706487.773500001000
FS( 16 ),1702859.675000000000,2015547.561999999900,1783184.292000000100,1934296.292500000200,1641922.196999999900,1629908.267999999900,10707722.286499999000
FS( 17 ),1731233.562500000000,2027374.993000000200,1850724.100000000100,1917570.632500000500,1639970.869999999900,1639107.381000000100,10805985.539000001000
FS( 18 ),1736211.437500000000,2065724.541999999900,1828901.095999999900,1886210.020000000500,1655302.724999999900,1620271.102000000200,10792624.922500001000
FS( 19 ),1781012.312500000000,2101206.835000000000,1869042.680000000200,1925933.462500000100,1657254.051999999900,1626841.896999999900,10961295.239000000000
FS( 20 ),1790968.062500000200,2145290.896000000200,1941998.416000000200,1980291.857500000400,1687639.000999999700,1595740.133999999800,11141932.367000001000
FS( 21 ),1790968.062500000200,2101206.835000000000,1941998.416000000200,2040922.375000000200,1699068.202000000000,1580408.278999999900,11154576.169499999000
FS( 22 ),1794452.575000000200,2059631.623000000100,1905520.548000000200,2068101.572500000200,1693214.220999999900,1577341.907999999600,11098266.447500002000
FS( 23 ),1777527.800000000000,2077551.973000000200,1941998.416000000200,2015833.885000000200,1685687.673999999600,1571209.165999999700,11069812.913999999000
FS( 24 ),1777527.800000000000,2000852.875000000000,1920175.412000000200,2030468.837500000100,1679833.693000000200,1580408.278999999900,10989270.896500001000
FS( 25 ),1821830.887500000000,2012680.305999999900,1883538.252000000100,1938477.707500000500,1689590.327999999700,1565076.423999999900,10911197.905000001000
FS( 26 ),1825315.400000000100,2006587.387000000100,1850724.100000000100,2026287.422500000300,1681785.019999999800,1562010.052999999800,10952713.382500000000
FS( 27 ),1845724.687499999800,2059631.623000000100,1883538.252000000100,2022106.007500000500,1689590.327999999700,1577341.907999999600,11077936.806000000000
FS( 28 ),1852693.712500000100,2053897.111000000000,1905520.548000000200,2114097.137500000200,1693214.220999999900,1571209.165999999700,11190635.896000000000
FS( 29 ),1944784.400000000100,2053897.111000000000,1916511.696000000000,2135004.212499999900,1679833.693000000200,1565076.423999999900,11295111.536500001000
FS( 30 ),1934828.649999999900,2077551.973000000200,1938334.700000000000,2130822.797500000300,1687360.239999999800,1568142.794999999700,11337045.155500000000
FS( 31 ),1968678.200000000200,2101206.835000000000,1934670.983999999900,2130822.797500000300,1702970.855999999900,1614138.359999999900,11452492.032500001000
FS( 32 ),1999541.025000000100,2133463.465000000300,2004122.296000000100,2066010.865000000700,1736143.414999999800,1626841.896999999900,11566126.963000000000
FS( 33 ),1951753.425000000000,2101206.835000000000,1982140.000000000000,2055557.327500000600,1764855.798000000000,1611071.989000000300,11466589.374500001000
FS( 34 ),1913921.575000000000,2056764.367000000100,1982617.876000000200,2022106.007500000500,1747293.855000000000,1580408.278999999900,11303115.959500000000
FS( 35 ),1880072.025000000100,2042069.680000000200,2013042.648000000000,2017924.592500000300,1753705.357999999800,1595740.133999999800,11302558.437500000000
FS( 36 ),1845724.687499999800,2042069.680000000200,2031998.395999999900,2038831.667500000200,1749523.943000000200,1604939.247000000000,11313091.620999999000
FS( 37 ),1852693.712500000100,2068591.798000000000,2020529.372000000000,1971929.027500000500,1745063.767000000000,1586541.020999999900,11245352.698000001000
FS( 38 ),1965691.475000000100,2101206.835000000000,2020529.372000000000,1974019.735000000300,1758165.534000000000,1580408.278999999900,11400025.230000000000
FS( 39 ),1955237.937500000000,2130596.208999999800,2039644.412000000200,2001198.932500000300,1762625.710000000000,1583474.649999999900,11472781.851000002000
FS( 40 ),1924375.112500000300,2145290.896000000200,2035821.404000000100,1955203.367500000200,1736143.414999999800,1592673.762999999800,11389511.958000001000
FS( 41 ),1903965.825000000000,2124503.290000000500,2013042.648000000000,1978201.150000000100,1718581.472000000100,1583474.649999999900,11321773.035000002000
FS( 42 ),1972162.712499999900,2198335.131999999800,2043467.420000000200,2026287.422500000300,1742833.679000000000,1598806.504999999900,11581896.870999999000
FS( 43 ),1996056.512500000000,2248512.111999999700,2035821.404000000100,2043013.082500000500,1731683.239000000100,1617204.730999999900,11672295.081000002000
FS( 44 ),1996056.512500000000,2236684.680999999900,2054777.152000000200,2180999.777500000300,1747293.855000000000,1617204.730999999900,11833020.709000001000
FS( 45 ),1986100.762500000000,2292954.580000000100,2058600.160000000100,2151729.872500000500,1729453.150999999600,1601872.876000000200,11820715.402000001000
FS( 46 ),1958722.450000000000,2337038.641000000300,2107980.680000000200,2206088.267500000100,1776006.237999999700,1598806.504999999900,11984646.781500001000
FS( 47 ),1982616.249999999800,2392950.132999999900,2119449.703999999900,2256265.247500000500,1762625.710000000000,1623775.526000000100,12137686.570500001000
FS( 48 ),1975647.224999999900,2375388.189999999900,2184122.255999999600,2210269.682500000600,1762625.710000000000,1614138.359999999900,12122195.423500001000
FS( 49 ),2023434.825000000000,2410870.483000000000,2195431.987999999900,2168455.532500000700,1784647.829000000100,1626841.896999999900,12209686.554500001000
FS( 50 ),2023434.825000000000,2381481.108999999700,2172653.231999999800,2114097.137500000200,1773776.149999999900,1617204.730999999900,12082651.184500001000
FS( 51 ),2112538.787500000100,2437392.600999999800,2210724.020000000000,2135004.212499999900,1798028.356999999800,1620271.102000000200,12313963.080000000000
FS( 52 ),2160326.387499999700,2366428.014999999700,2184122.255999999600,2101552.892500000100,1793568.181000000100,1620271.102000000200,12226272.833999999000
FS( 53 ),2156841.875000000000,2307649.267000000500,2134582.444000000100,2143367.042500000400,1784647.829000000100,1626841.896999999900,12153934.354500001000
FS( 54 ),2150370.637499999700,2384348.364999999800,2168830.223999999900,2160092.702500000600,1776006.237999999700,1623775.526000000100,12263427.693000000000
FS( 55 ),2191189.212499999900,2396175.796000000100,2225856.759999999800,2176818.362500000300,1786877.916999999900,1642173.752000000300,12419095.800000001000
