代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12201540.100000001490116
真實報酬,2201540.100000001490116

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,19857.420753418678942
風險,253194.245010553102475
起點值,0.078427614942792
找到最佳解世代,1997
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
MRK[17](1),PG[21](2),
Stock#,MRK[17](1),PG[21](2),
張數,82699,63995,
分配資金,5000000.000000000000000,5000000.000000000000000,
剩餘資金,18.459999999962747,70.650000000372529,
FS( 1 ),5000000.000000000000000,5000000.000000000000000,10000000.000000000000000
FS( 2 ),5020674.750000000000000,4985281.150000000372529,10005955.900000000372529
FS( 3 ),5097584.820000000298023,5069114.599999999627471,10166699.419999999925494
FS( 4 ),5143896.259999999776483,5075514.100000000558794,10219410.359999999403954
FS( 5 ),5129010.440000000409782,4982721.350000000558794,10111731.790000000968575
FS( 6 ),5152166.160000000149012,5108151.549999999813735,10260317.710000000894070
FS( 7 ),5119086.559999999590218,5065914.850000000558794,10185001.410000000149012
FS( 8 ),5181937.799999999813735,5048636.200000000186265,10230574.000000000000000
FS( 9 ),5200958.570000000298023,5075514.100000000558794,10276472.670000001788139
FS( 10 ),5176148.870000000111759,5089593.000000000000000,10265741.870000001043081
FS( 11 ),5171186.929999999701977,5121590.500000000000000,10292777.429999999701977
FS( 12 ),5205093.519999999552965,5101752.050000000745058,10306845.570000000298023
FS( 13 ),5169532.950000000186265,5038397.000000000931323,10207929.950000001117587
FS( 14 ),5170359.940000000409782,5035197.250000000931323,10205557.190000001341105
FS( 15 ),5184418.769999999552965,5024318.100000000558794,10208736.870000001043081
FS( 16 ),5244789.040000000037253,5055035.700000000186265,10299824.740000000223517
FS( 17 ),5333276.969999999739230,5085753.300000000745058,10419030.269999999552965
FS( 18 ),5293581.450000000186265,5125430.200000000186265,10419011.650000000372529
FS( 19 ),5250577.969999999739230,5156787.750000000000000,10407365.719999998807907
FS( 20 ),5359740.650000000372529,5132469.650000000372529,10492210.300000000745058
FS( 21 ),5447401.590000000782311,5175986.250000000000000,10623387.839999999850988
FS( 22 ),5415975.969999999739230,5161267.400000000372529,10577243.370000001043081
FS( 23 ),5393647.240000000223517,5247660.650000000372529,10641307.890000000596046
FS( 24 ),5452363.530000000260770,5268779.000000000000000,10721142.530000001192093
FS( 25 ),5476346.240000000223517,5280938.049999999813735,10757284.289999999105930
FS( 26 ),5506117.879999999888241,5288617.450000000186265,10794735.330000000074506
FS( 27 ),5515214.769999999552965,5270058.900000000372529,10785273.669999999925494
FS( 28 ),5458152.459999999962747,5209263.650000000372529,10667416.109999999403954
FS( 29 ),5463941.389999999664724,5211183.500000000931323,10675124.890000000596046
FS( 30 ),5517695.740000000223517,5216943.049999999813735,10734638.789999999105930
FS( 31 ),5496193.999999999068677,5203504.100000000558794,10699698.099999999627471
FS( 32 ),5571450.090000000782311,5266859.150000000372529,10838309.240000002086163
FS( 33 ),5693844.609999999403954,5355812.200000000186265,11049656.809999998658895
FS( 34 ),5711211.400000000372529,5355812.200000000186265,11067023.600000001490116
FS( 35 ),5803007.290000000037253,5352612.450000000186265,11155619.740000000223517
